"its","яго"
"Land holder population trigger ","Трыгер землеўладання ад насельніцтва "
" (mods)"," (моды)"
"Land holder production trigger ","Трыгер землеўладання ад вытворчасці "
"Land holder trade trigger ","Трыгер землеўладання ад гандлю "
"Value of temple","Значэнне храма"
"Value of temple complex","Значэнне храмавага комплексу"
"Priesthood unit count","Колькасць юнітаў святарства"
"High priesthood unit count","Колькасць юнітаў вярхоўнага святарства"
"Value of guildhall","Значэнне гільдзалы"
"Value of grand guildhall","Значэнне вялікай гільдзалы"
"Guild unit count","Колькасць юнітаў гільдыі"
"Grand guild unit count","Колькасць юнітаў вялікай гільдыі"
"Mandate period (more = fewer)","Перыяд паўнамоцтваў (больш = менш)"
"Demand period (more = fewer)","Перыяд попыту (больш = менш)"
"Failed to open ","Не ўдалося адкрыць "
" for writing"," для запісу"
"prefs","перавагі"
" met with "," сустрэўся з "
", where the latter",", дзе апошні"
" to a meeting with "," на сустрэчу з "
"offered a bribe","прапанаваў хабар"
" using the position "," выкарыстоўваючы пасаду "
"made a blackmail threat, due to embezzlement","выступіў з пагрозай шантажу з - за растраты"
"a jealous grudge, ","зайздроснік, "
"could not accept the uncertainty following death and agreed","не мог змірыцца з нявызначанасцю пасля смерці і пагадзіўся"
"was too unsettled by death to face it and agreed","быў занадта ўсхваляваны смерцю, каб сутыкнуцца з ёй, і пагадзіўся"
"hatred of","нянавісць да"
"lack of loyalty toward","недахоп вернасці да"
"distrust of","недавер да"
"loathing the powerful","ненавідзячы магутных"
"spurned the law and agreed willingly","адхіліў закон і ахвотна пагадзіўся"
"lack of respect of","адсутнасць павагі"
"lack of fear toward","адсутнасць страха да"
"being unafraid","бясстрашна"
"being unafraid of death","не баючыся смерці"
"a business rival,","дзелавы канкурэнт,"
"was too afraid not to comply","занадта баяўся, каб не выканаць"
"was too vain to accept death and agreed","быў занадта фанабэрлівым, каб прыняць смерць, і пагадзіўся"
"Locations such as taverns, temples","Такія месцы, як корчмы, храмы"
"Histories of ","Гісторыі "
"Gluttony","Абжорства"
"Cupidity","Сквапнасці"
"Jealousy","Зайздрасці"
"Avarice","Скупасці"
"Greed","Хцівасці"
"Industry","Прамысловасці"
"Enterprise","Прадпрыемства"
"Resourcefulness","Кемлівасці"
"Determination","Рашучасці"
"Mettle","Адважнасці"
"Dynamism","Дынамічнасці"
"Toil","Знясільваючай працы"
"Diligence","Руплівасці"
"Exertion","Напружання"
"Tenacity","Упартасці"
"Click Publish to upload a mod to Steam Workshop.","Націсніце ""Апублікаваць"", каб загрузіць мод у Steam Workshop."
"Publish","Апублікаваць"
"Unnamed mod","Безназоўны мод"
"Author: ","Аўтар: "
"Unknown author","Невядомы аўтар"
"Version: ","Версія: "
"Steam title: ","Загаловак Steam: "
"Steam file id: ","Ідэнтыфікатар файла Steam: "
"None yet","Пакуль нічога"
"Steam changelog: ","Спіс зменаў Steam: "
"Steam metadata: ","Метададзеныя Steam: "
"Earliest compatible version: ","Самая ранняя сумяшчальная версія: "
"Steam description:","Апісанне Steam:"
"Must be after ","Павінен быць пасля "
"Must be before ","Павінен быць перад "
"Requires ","Патрабуе "
"Conflicts with ","Канфліктуе з "
"Uploading mod","Загрузка мода"
"Publish mods","Апубл. моды"
"Mods install automatically when chosen during world creation.","Моды ўсталёўваюцца аўтаматычна пры выбары падчас стварэння свету."
"Installed","Усталяваны"
"Description:","Апісанне:"
"  Dwarf Fortress: Arena  ","  Dwarf Fortress: Арэна  "
"Loading object files...","Загрузка файлаў аб'ектаў..."
"Languages...","Мовы..."
"Text...","Тэкст..."
"Music...","Музыка..."
"Sound...","Гук..."
"Shapes...","Формы..."
"Colors...","Колеры..."
"Patterns...","Шаблоны..."
"Material templates...","Шаблоны матэрыялаў..."
"Inorganics...","Неарганіка..."
"Plants...","Расліны..."
"Tissue templates...","Шаблоны трантаў..."
"Items...","Прадметы..."
"Buildings...","Будынкі..."
"Body detail plans...","Планы частак цела..."
"Creature bodies...","Целы істот..."
"Creature variations...","Разнастайнасць істот..."
"Creatures...","Істоты..."
"Entities...","Сутнасці..."
"Reactions...","Рэакцыі..."
