"more presumptious","domìçlivØjç¡"
"A vile force of darkness has arrived!","Pýiçla hnusn  s¡la temnoty!"
" Or "," nebo "
", with ",", s "
"law-giver","z konod rce"
"slightly smooth","lehce hladk‚"
"Show frames-per-second","Zobrazovat FPS"
" was destroyed"," byl zniŸen"
"Seek Splint","Hledat dlahu"
"Crucial","Kl¡Ÿov‚"
"[C:3:0:1].Some sluggishness","[C:3:0:1].Jist  mal tnost"
"Talking","Mluvil s"
"withdraw","st hnout se"
"Popup: Inventory","Vyskakovac¡ okno: Invent ý"
"Scatterbrained","RoztØkanì"
"Cancel the agreement","Zruçit dohodu"
"Sorting inorganics...","Tý¡dØn¡ nerost…..."
"You cannot construct here","Zde nelze stavØt"
"astronomer","astronom"
"State feelings of great empathy","Vyj dýit velkou empatii"
" finale"," fin le"
"construction of a gruesome sculpture from","vìstavba hr…zn‚ sochy z "
"avoid","vyhìbat se"
"an agreement to construct a temple for ","dohoda o stavbØ chr mu pro "
"box","krabice"
"the Plains","Pl nØ"
" scale"," stupnice"
"hospital wards","nemocniŸn¡ oddØlen¡"
"attack on","£tok na"
"Gather fruit","Sb¡rejte ovoce"
"Patient","TrpØliv¡"
"Abduction","énos"
"  Prepare for the Journey to ","  Pýipravte se na cestu do "
"the removal of the seat of power of","odstranØn¡ s¡dla moci "
"upward","nahoru"
"Merchant","Kupec"
"Impossible throw","Nemo§nì hod"
"advisors","r dci"
"Cancel","Zruçit"
" opens."," se otev¡r ."
"Temperate Freshwater Swamp","M¡rn‚ sladkovodn¡ ba§iny"
"Need trigger type","Vy§aduje typ spouçtØ"
"melting","taj¡c¡"
"Ghost","Duch"
"Make cloth into clothing and tools here, such as bags and ropes.","Zde se z l tky vyr b¡ obleŸen¡ a n stroje, napý¡klad taçky a lana."
"Kick listener out of ","Vyhodit posluchaŸe z "
"Horns/hooves","Rohy/kopyta"
" of the instrument.]"," n stroje.]"
"Mount","Nasednout"
" is there."," je tam."
"How will you respond to this passive reply?","Jak odpov¡ç na tuto pasivn¡ reakci?"
"Profess total ignorance","Prohl sit £plnou nevØdomost"
"education, its forms and recommendations","vzdØl v n¡, jeho formy a doporuŸen¡"
"Citizens, especially soldiers, will rarely name items.","ObŸan‚, zejm‚na voj ci, pojmenov vaj¡ pýedmØty jen zý¡dka."
"cooling lava","chladnouc¡ l va"
"extremely long series of","mimoý dnØ dlouhou s‚rii"
"You pack the ","Zabal¡ç "
"Unconscious","V bezvØdom¡"
" boldly slew "," smØle zabil "
"a legendary flatterer","legend rn¡ lichotn¡k"
"square blocks","Ÿtvercovìch blok…"
"Masterpiece defaced","Mistrovsk‚ d¡lo poçkozeno"
"Last I saw, it was in ","Naposledy jsem vidØl, §e to bylo v "
"rarely speaks when ","mluv¡ zý¡dka, kdy§ "
"is forceful","je r znì"
"equations","rovnice"
"Pen","Ohrada"
"been crucified.","byli ukýi§ov ni."
"constantly mutters under ","neust le si muml  pod "
" is yours.  Please consider my offer."," je tv‚. Zva§ pros¡m mou nab¡dku."
" intellectual values"," intelektu ln¡ hodnoty"
"Really?  Please come closer.","Opravdu? Pýistup bl¡§."
"Workers gather outdoor refuse","Pracovn¡ci sb¡raj¡ venkovn¡ odpad"
"'s march","pochod"
"breaks sharply between topics with regularity","pravidelnØ ostýe pýeskakuje mezi t‚maty"
"laughs at ","smØje se "
"Max barrels","Max sud…"
"Recenter button","TlaŸ¡tko pýesunut¡ pohledu"
" cackles when "," skýehot , kdy§ "
"Catatonic","Katatonickì"
"in doubt","v pochyb ch"
"A dusting of ","Popraçek "
"homage","hold"
"This furniture is a part of","Tento n bytek je souŸ st¡"
" out to the "," smØrem na "
"I have no interest in your objectives.","Tv‚ c¡le mØ nezaj¡maj¡."
"I shared a personal insight with an acquaintance.","Sd¡lel jsem osobn¡ postýeh se zn mìm."
"furniture ","n bytek "
"smoke","kouý"
"MEDIUM ISLAND","STüEDNÖ OSTROV"
"To easily see which ramps go up or down, click the [C:5:0:1]Ramp Vision[C:7:0:0] button by the minimap.","Pro snadn‚ rozliçen¡ ramp vedouc¡ch nahoru a dol… klikni na tlaŸ¡tko [C:5:0:1]Zobrazen¡ ramp[C:7:0:0] u minimapy."
"You're wrong.","Mìl¡ç se."
"Demand that the listener drop ","Po§adovat, aby posluchaŸ upustil "
"I feel miserable.","C¡t¡m se b¡dnØ."
"the Contradiction","Rozpor"
"a trenches","z kopy"
"I am wrathful.","Jsem plnì hnØvu."
"Eventually the [C:6:0:1]Clothing[C:7:0:0] that your residents start with will rot away. ","¬asem se [C:6:0:1]ObleŸen¡[C:7:0:0], se kterìm obyvatel‚ zaŸ¡naj¡, rozpadne. "
"This is the projectile aiming menu.  You can shoot projectiles with a launcher like a bow or crossbow, and you can throw almost any object that you are carrying in a grasp.  ","Toto je nab¡dka m¡ýen¡ projektil….  M…§eç stý¡let projektily z vrhaŸ…, jako je luk nebo kuçe, a m…§eç h zet t‚mØý jakìkoli pýedmØt, kterì dr§¡ç v ruce.  "
" dressing on "," obvaz na "
"mounted ","jezdeckì "
"equinoxes","rovnodennosti"
"is sometimes cruel","je nØkdy krutì"
"Group symbol","Skupinovì symbol"
"has a jutting","m  vystouplou"
"Gather fallen fruit in this zone.","Sb¡rat spadan‚ ovoce v t‚to z¢nØ."
"Gathering fruit and leaves blueprint","Pl n sbØru ovoce a list¡"
"a legendary brigand","legend rn¡ bandita"
"Economic","Ekonomick‚"
"State minor feeling of fondness","Stav drobn‚ho pocitu n klonnosti"
"cave","jeskynØ"
" its way out of confinement!"," se dere ven z uzavýen¡!"
"When all other bonds wither, friendship will remain.","Kdy§ vçechny ostatn¡ vazby uvadnou, pý telstv¡ z…stane."
"Wound Dressing","Oçetýen¡ ran"
" for too long"," pý¡liç dlouho"
"hopeless","beznadØjnì"
"Grab Gloves","Vz¡t rukavice"
"Some [C:6:0:1]Refuse[C:7:0:0] can be put to use, for instance [C:6:0:1]Shells[C:7:0:0] can be turned into [C:6:0:1]Crafts[C:7:0:0]. ","NØkterì [C:6:0:1]odpad[C:7:0:0] lze vyu§¡t, napý¡klad [C:6:0:1]lastury[C:7:0:0] lze zpracovat na [C:6:0:1]vìrobky[C:7:0:0]. "
"You are catatonic.","Jsi katatonickì."
"a good intellect","dobrì rozum"
"[C:5:0:1].Minor rot","[C:5:0:1].Lehk  hniloba"
"Do not hide yourself behind an unfeeling mask.","Neschov vej se za necitelnou masku."
"Green Glass","Zelen‚ sklo"
"degrees of the fundamental perfect fourth division","stupnØ z kladn¡ho dØlen¡ Ÿist‚ kvarty"
"Affects response to attempts at flattery in arguments and generally.","Ovlivåuje reakci na lichocen¡ v argumentaci i mimo ni."
"Masterwork construction lost","Mistrovsk  konstrukce zniŸena"
" is here."," je zde."
"Creating ","Tvoýen¡ "
"Adventure Move","Pohyb v dobrodru§stv¡"
"weapon rack","stojan na zbranØ"
"chieftains","n Ÿeln¡ci"
"has a very thin build buried underneath endless muscles and fat","m  velmi hubenou postavu ukrytou pod vrstvami sval… a tuku"
"Conflict","Konflikt"
"Pumps from the south","¬erp  z jihu"
"Leave this menu and recenter on the task's building.","Opustit nab¡dku a vycentrovat na budovu £kolu."
"blow","rozlet¡ se"
"laughs in a unique way when ","smØje se jedineŸnìm zp…sobem, kdy§ "
" mind is made up"," si nØco um¡n¡"
"a group calling itself ","skupina nazìvaj¡c¡ se "
"Mortally afraid","SmrtelnØ vydØçenì"
"Converting mining to blueprint","Pýevod tØ§by na pl n"
"cycles","cykly"
"Corrupt Strange Mood: ","Zka§en  podivn  n lada: "
"Now we'll unpause the game and let the miner finish the task.  Press ","Nyn¡ hru odpauzujeme a nech me horn¡ka dokonŸit £kol. StisknØte "
"Furnaces are used for smelting, glassmaking, pottery, ashmaking, or to make fuel from wood or raw coal.  Furnaces require fuel to function, or they can be set above magma.","Pece se pou§¡vaj¡ k taven¡, vìrobØ skla, keramiky, pop¡lku nebo k vìrobØ paliva ze dýeva Ÿi surov‚ho uhl¡. Pece vy§aduj¡ ke sv‚mu provozu palivo nebo mohou bìt postaveny nad magmatem."
"sound","zvuk"
"Did you hear the one about the ","Slyçel jsi tu historku o "
"Target inaccessible","C¡l nedostupnì"
"being mutilated by ","bìt zmrzaŸen od "
"is intellectually stubborn, rarely changing ","je intelektu lnØ tvrdohlavì, jen zý¡dka mØn¡ "
"Interact with this item in a different way (opens menu.)","Interagovat s t¡mto pýedmØtem jinìm zp…sobem (otevýe nab¡dku)."
" own looks and accomplishments"," vlastn¡m vzhledem a £spØchy"
"buzzy","bzuŸivì"
"rotten ","shnil‚ "
"absolutely inexhaustible","naprosto nevyŸerpatelnì"
" pull"," t hne"
"is long, thin and somewhat weak","je dlouhì, hubenì a ponØkud slabì"
"chair","§idle"
" fewer wounds."," m‚nØ ran."
"the Sea","Moýe"
"Spearman","Kopin¡k"
"Save and return to title menu","Ulo§it a vr tit se do hlavn¡ho menu"
" out of "," z "
"Thank you for all you do.","DØkuji za vçe, co dØl ç."
"Your Attributes and Skills","Tv‚ atributy a dovednosti"
"What do you want to drop?","Co chceç zahodit?"
" has returned."," se vr til."
"Burned up in a magma mist","Sp len v magmatick‚ mlze"
" own body"," vlastn¡ho tØla"
"conic sections","ku§eloseŸky"
" was accepted by "," bylo pýijato "
"Admirer of ","Obdivovatel "
"plucks","brnk "
"the Revolution","Revoluce"
"receiving justice through a criminal's conviction","obdr§en¡ spravedlnosti skrze odsouzen¡ zloŸince"
"is short and very fat","je malì a velmi tlustì"
"building material ","stavebn¡ materi l "
"Shrine to ","SvatynØ zasvØcen  "
"medicine:method:surgery ligature","medic¡na:metoda:chirurgick  ligatura"
"Good","Dobr‚"
"Grateful","VdØŸnì"
"after a scholarly lecture in ","po uŸen‚ pýedn çce v "
"famous fighter","skvØlì bojovn¡k"
" appears unperturbed."," vypad  neotýesitelnØ."
"32 x 32","32 x 32"
"This organizational activity will branch into specific worship events.","Tato organizaŸn¡ Ÿinnost se rozvØtv¡ do konkr‚tn¡ch n bo§enskìch ud lost¡."
"superior quality","vysok‚ kvality"
"The amount of practice that goes into mastering a skill is so impressive.","Mno§stv¡ cviŸen¡ potýebn‚ho k ovl dnut¡ dovednosti je opravdu p…sobiv‚."
"Some self-sacrifice is worthy, but do not forget yourself in devotion to the well-being of others.","UrŸit‚ sebeobØtov n¡ je z slu§n‚, ale nezapom¡nejte na sebe, kdy§ se vØnujete blahu druhìch."
"very square","velmi pýesnì"
"being away from traditions for too long","bìt pý¡liç dlouho pryŸ od tradic"
"Your happiness is still desired.","Tv‚ çtØst¡ je st le § douc¡."
"Pressure plates, like levers, are used with machines, doors, floodgates, bridges, cages, and other structures to change their state.  The trigger for pressure plates can be set by creature weight, fluid, or minecart passage.","Tlakov‚ desky se stejnØ jako p ky pou§¡vaj¡ se stroji, dveými, stavidly, mosty, klecemi a dalç¡mi konstrukcemi ke zmØnØ jejich stavu.  Spouçœ tlakovìch desek lze nastavit podle hmotnosti tvora, kapaliny nebo pr…jezdu d…ln¡ho voz¡ku."
"Tricky shot","Z ludnì vìstýel"
"Periodically Erode Extreme Cliffs","PravidelnØ erodovat extr‚mn¡ £tesy"
"the construction and use of the orrery","stavba a pou§it¡ planet ria (orrery)"
"became crazed","zeç¡lel"
"You need a free grasp to hold the terrain.","K dr§en¡ ter‚nu potýebujeç volnou ruku."
"south-southwest","jih-jihoz pad"
"Possessed by unknown forces!","Posedlì nezn mìmi silami!"
"deformity","deformace"
"'s exasperated"," je rozhoýŸenì"
"is quick to form negative views about things","rychle si vytv ý¡ negativn¡ n zory na vØci"
" tangled up."," zamotan‚"
"Unnumbered","NeŸ¡slovanì"
"hammerman","kladiv ý"
"nearby ","bl¡zk‚ "
"No name","Bez jm‚na"
"Legendary brigand","Legend rn¡ bandita"
" (4 of 8)"," (4 z 8)"
"Make lye","Vyrob louh"
"is short, broad and morbidly obese","je kr tkì, çirokì a chorobnØ ob‚zn¡"
"older half-sibling","starç¡ nevlastn¡ sourozenec"
"smooth","hladk‚"
"A ballista fires a ballista arrow in a fixed direction.  The operator can adjust the aim freely within a cone.","Balista vystýeluje balistickou stýelu pevnìm smØrem.  Obsluha m…§e volnØ upravovat m¡ýen¡ v r mci ku§ele."
"Request suggestion for course of action","Po§ dat o n vrh dalç¡ho postupu"
"philosophy:specialized:politics economic policy","filozofie:specializace:politika hospod ýsk  politika"
"Wander Depot","NeurŸen‚ skladiçtØ"
"known storyteller","znalì vypravØŸ"
" section is distinct.  "," Ÿ st je odliçn .  "
"I've always dreamed of seeing far-away places.","V§dy jsem snil o tom vidØt vzd len  m¡sta."
"love of","l ska k"
"a purge","oŸistØ"
"Quarreler    <->    Flatterer","H davì   <->   Lichotivì"
"write","ps t"
"I'd like to get away from it.","R d bych od toho odeçel."
"Values nature","Cen¡ si pý¡rody"
"Master Blowgunner","Mistr foukaŸky"
"Tenacity","Hou§evnatost"
"attached","pýipojeno"
"leather","k…§e"
"naturalist:observation:foraging behavior and diet","pý¡rodovØdec:pozorov n¡:sh nØn¡ potravy a strava"
"is incredibly short and skinny","je neuvØýitelnØ malì a hubenì"
"Listen to Music","Naslouchej HudbØ"
"geography:surveying:engineering","geografie:geod‚zie:in§enìrsk "
"I learned about ","DozvØdØl jsem se o "
"general purpose asset","obecnØ pou§itelnì prostýedek"
"cloth shop (200,200,200)","obchod s l tkami (200,200,200)"
"the Overthrow","Svr§en¡"
"Furnace Operating","Obsluha pece"
"Starting fist fight","Zah jen¡ pØstn¡ho souboje"
"Fearful     <->      Fearless","B zlivì   <->   Neboj cnì"
"You'll have to talk to somebody older.","Mus¡ç mluvit s nØkìm starç¡m."
"All ","Vçe "
"General Mood: ","Celkov  n lada: "
" Track (SEW)"," Cesta (J-V-Z)"
"Track (SEW)","Traœ (J-V-Z)"
"is generally quite confident of ","obecnØ je pomØrnØ sebejistì ohlednØ "
"Click [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Carpenter[C:7:0:0] and place the shop in an empty area on the surface or underground.","Klikni na [C:5:0:1]D¡lny[C:7:0:0] - [C:5:0:1]Tesaý[C:7:0:0] a um¡sti d¡lnu na voln‚ m¡sto na povrchu nebo pod zem¡."
"neighbors","soused‚"
"Foiled Embezzlement Conspiracy","Zmaýen‚ spiknut¡ zpronevØry"
"dormitories.","ubytovny."
"Mat","Materi l"
"Random","N hodn‚"
"The view will be dark underground until you begin mining.  You can move the camera to the surface with the surface button (highlighted.)  The ","Pohled bude pod zem¡ tmavì, dokud nezaŸneç tØ§it. Kameru m…§eç pýesunout na povrch pomoc¡ tlaŸ¡tka povrchu (zvìraznØno). "
"Removal inactive.","OdstranØn¡ neaktivn¡."
"Still","Pal¡rna"
"monastery","kl çter"
" because you can't breathe."," proto§e nem…§eç dìchat."
"State minor feeling of disillusionment","Vyj dýit m¡rn‚ rozŸarov n¡"
"Acknowledge lack of bliss","Konstatovat nepý¡tomnost bla§enosti"
"Make the decision quickly.","Rozhodni se rychle."
"being unable to make merry for so long","neschopnost se veselit po tak dlouhou dobu"
"An ambush!  Skulking vermin!","Pýepad! Z keýn  havØœ!"
" draws "," tas¡ "
"Acknowledge lack of aversion","Konstatovat nepý¡tomnost odporu"
"Abort","Zruçit"
"attacked by zombie possible relative","napaden zombiem, mo§n  pý¡buznìm"
"Furnace Operator","Obsluha pece"
"Grab Cage","Vz¡t klec"
"captains","kapit ni"
"Nothing in cage","V kleci nic nen¡"
"alright","v pohodØ"
"Green glass","Zelen‚ sklo"
"Unit has misaligned body modifiers.  Adjusting.","Jednotka m  nespr vnØ zarovnan‚ modifik tory tØla. Opravuji."
"The ending of each line ","Konec ka§d‚ho verçe "
"bringing up job scarcity in a meeting","zm¡nil nedostatek pr ce na sch…zi"
"Injuries","ZranØn¡"
", a force",", s¡ly"
"Beat criminal","Zb¡t zloŸince"
"plan","z mØr"
"performed horrible experiments","prov dØl hrozn‚ pokusy"
"Child is elected","D¡tØ je volen‚"
"Certain injuries such as overlapping fractures require advanced medical contraptions like the traction bench for treatment.  A traction bench object must be made before it can be placed.","NØkter  zranØn¡, jako napý¡klad pýekrìvaj¡c¡ se zlomeniny, vy§aduj¡ pokroŸil‚ l‚kaýsk‚ zaý¡zen¡, napý¡klad trakŸn¡ lavici.  TrakŸn¡ lavice mus¡ bìt vyrobena pýed jej¡m um¡stØn¡m."
"Dejected","Skleslì"
"Agreed to build temple complex","Souhlasil(a) s vìstavbou chr mov‚ho komplexu"
"The sun is directly above you","Slunce je pý¡mo nad v mi"
"begins speaking in a monotone whenever ","zaŸne mluvit monot¢nnØ poka§d‚, kdy§ "
"patience","trpØlivost"
"eleven","jeden ct"
"2 food","2 j¡dla"
" own worthlessness"," vlastn¡ bezcennosti"
"pentameter","pentametr"
"[DESCRIPTION:The strings of the instrument are attached to the ","[DESCRIPTION:Struny n stroje jsou pýipevnØny k "
"Jumping","Sk Ÿe"
"Non-alcoholic water is essential to a functioning fortress.  The most favored place to ","Nealkoholick  voda je pro funguj¡c¡ pevnost nezbytn . NejŸastØji se z¡sk v  "
"Untitled/unnamed","Bez n zvu/jm‚na"
"Kidnap","Un‚st"
"It's so great when everybody just gets along.","Je skvØl‚, kdy§ si vçichni rozum¡."
