"more presumptious","mais presunáoso"
"The glowing barrier has disappeared, replaced by terrible shrieks from the underworld!","A barreira de incandescància desapareceu, substitu°do por gritos terr°veis do submundo!"
"Magma-safe","Seguro de magma"
"raises a high fever in","gera uma febre alta em"
"eradicating monsters.","erradicando monstros."
"[C:6:0:0].Minor burn","[C:6:0:0].Queimadura pequena"
"shame","Vergonha"
"combat","Ir ao Treinamento de Combate"
"Failed to find vanilla world map header.","Falha ao encontrar o cabeáalho do mapa-m£ndi vanilla."
"a desire for vengeance","um desejo de vinganáa"
"tattered clothing","roupas esfarrapadas"
"and mulling over the recurring memory ","e refletindo sobre a mem¢ria recorrente "
"active performance dancer","danáarina de performance ativa"
"View your status.","Veja seu status."
"more singleminded","mais obstinado "
"Left shoulder","Ombro esquerdo"
"lives a fast-paced life","vive uma vida acelerada"
"--- Logging Reaction ","--- Reaá∆o de registro "
"feet","pÇ"
"bandits","Bandidos"
"believes that self-mastery and the denial of impulses are of the highest ideals","acredita que o autodom°nio e a negaá∆o dos impulsos s∆o os ideais mais elevados"
"Don't let the enemy rest.","N∆o deixe que o resto de inimigos."
"is fat","Ç gorda"
" poorly."," fracamente."
" is troubled by "," Ç perturbada por "
"Once a strike hits, the materials and velocity are used to determine the damage.  ","Quando um golpe acerta, os materiais e a velocidade s∆o usados para determinar o dano. "
"Slow to love","Lento para amar"
"race","raáa"
"to make an assertion","para fazer uma afirmaá∆o"
"unintelligible","inintelig°vel"
"worshippers","FiÇis"
"disturbing","perturbar"
"The creature is ","uma criatura segura. "
"Although accounts vary, it is universally agreed that ","Embora os relatos variam, Ç universalmente aceite que "
"Minimum Number of Low-Volcanism Squares","N£mero m°nimo de quadrados de baixo-vulcanismo"
"There have been a few already!","J† foram alguns!"
"forest retreat","o Retiro Floresta"
"engineering:machine:verge escapement","engenharia:m†quina:escape de beira"
"quit","Quit"
"(Wrestling) Break grip","(Luta livre) Quebrar aderància"
" casual"," casual "
"a war starting plot","uma trama de in°cio de guerra"
"leapt from a great height.","saltou de uma grande altura."
"State feelings of great ambivalence","Sentimentos de ambivalància grande do estado"
"Crucified","Crucificado"
"In Agony","Em agonia"
"frame actor","autor do quadro"
"Dialog","Di†logo"
" created a masterpiece "," criou uma obra-prima "
"What do you think of me?","O que vocà acha que eu sou?"""
"the Straight Road","a rua reta"
" hardly visible behind the clouds"," quase invis°vel atr†s das nuvens "
"more stubborn","mais teimoso"
"buy","comprar "
"in ","na "
"Have faith and all shall be rejuvenated.","Tenha fÇ e tudo ser† rejuvenescido. "
"Noble","Lista de nobre: substituir"
"agent","agente"
"Reorganize possessions","Reorganizar posses"
"philosophy:logic:deductive reasoning","filosofia:l¢gica:racioc°nio dedutivo"
" constantly when "," constantemente, quando "
" was abducted"," foi abduzido"
"has a habit of staring at others","tem o h†bito de olhar para os outros"
"does not find most jokes humorous","n∆o acha a maioria das piadas engraáadas"
" to frame "," enquadrar "
"Seek Animal for Slaughter","Buscando Animal para Abater"
"Save Profile","Salvar Perfil"
"pressed coral","coral pressionado"
"Autopsy","Aut¢psia"
"I need more.","Eu preciso de mais."
"chest","ba£"
"Crawl","Rastreamento"
"Seek Unit For Item Drop","Procurar unidade para deixar item "
"writing ","escrevendo "
"Furniture","M¢veis"
"Objects","Objetos"
" less nauseated."," menos enjoado. "
"No specific orders","Sem ordem especifica"
"is somewhat disgusted by romance","Ç um pouco enojado pelo romance"
"Sinister","Sinistro"
"Make sure your parameters and presets can support low elevation areas.  ","Certifique-se de seus parÉmetros e predefiniá‰es podem oferecer suporte a †reas de baixa elevaá∆o. "
" chairs"," cadeiras"
"sees competition as wasteful and silly","và a competiá∆o como um desperd°cio e bobagem"
"Outsider","Forasteiro "
"is very short, very weak and very skinny","Ç muito curto, muito fraco e muito magro"
"Values martial prowess","Valoriza a destreza marcial"
"muck","estrume"
"There is no value in telling the truth thoughtlessly.  Consider the circumstances and say what is best.","N∆o h† nenhum valor em dizer a verdade sem pensar. Considere as circunstÉncias e diga aquilo que for melhor."
"Randomize personality","Aleatorizar personalidade "
"Seek Unit For Job","Procurar unidade para trabalho"
"Loading written content...","Carregamento de conte£do escrito..."
" the only one of "," o £nico de "
"Treatise on technological evolution","Tratado sobre a evoluá∆o tecnol¢gica"
" straight walk"," caminhada em linha reta"
"Below freezing","Abaixo do congelamento"
"is long and slim","Ç longo e fino"
"a noted quarreler","um brig∆o renomado"
"dye ","corantes tàxteis "
"several days ago","H† v†rios dias."
"appears","aparece "
"an approximate value of the ratio of the circumference of a circle to its diameter, using the circumference of polygons and the method of exhaustion","um valor aproximado da raz∆o entre a circunferància de um c°rculo e seu diÉmetro, usando a circunferància de pol°gonos e o mÇtodo de exaust∆o"
"after being prevented from leaving","depois de ser impedido de sair"
"been found melted.","foi encontrado derretido."
"I so love the performing arts.  It's time to go!","Eu amo tanto as artes cànicas. ê hora de ir!"
"great","¢timo "
"unburied at site","N∆o enterrados no local"
"Enable artifact moods","Habilitar artefatos de esp°ritos ancestrais"
"Acknowledge lack of glumness","Reconhecer a falta de glumness"
"to renounce","renunciar"
"Acknowledge lack of wrath","Reconhecer a falta da ira"
"little natural inclination toward music","pequena inclinaá∆o natural para a m£sica"
"Unit lists: Sort by name","Lista de unidades: Ordenar por nome"
"the Magma","o Magma"
"Assign leader","Atribuir l°der"
"Alternatively, you can reduce the number of non-mountain caves required by the parameters.","Como alternativa, vocà pode reduzir o n£mero de n∆o-montanha grutas exigidos pelos parÉmetros."
"is very compassionate","Ç muito compassivo"
"the Maiming","o Mutilar"
"visiting with an animal training partner","visitante com um parceiro de treinamento animal"
"Confused","Confuso "
"vivid imagery","imagens v°vidas"
"is generally unhindered by the thoughts of others concerning ","geralmente Ç desimpedido pelos pensamentos dos outros sobre "
"Track (N)","Trilho (N)"
"Rainbows","Arco-°ris "
" of the great "," Isto Ç esplàndido. "
"only child","apenas uma crianáa"
"Performance troupe","trupe de desempenho"
"The refrain occurs as lines ","O refr∆o ocorre como linhas "
"Left out in the air","Esquerda para fora no ar"
"Maximum embark dimension","Dimens∆o de embarque m†xima"
"stress the rhythm","enfatizar o ritmo"
"form","Formato"
"chairs","cadeiras"
"Night creature!","Criatura da noite!"
"stone furniture shop sign","sinal de loja de m¢veis de pedra"
"An evil lurks within.","Um mal que se esconde dentro."
"Not enough high altitudes after shift up","N∆o bastante altas altitudes ap¢s turno acima"
" quite often"," frequentemente "
"State feelings of great adoration","Sentimentos de grande adoraáao do estado"
"View all announcements.","Veja todos os an£ncios."
"indignation","Sentimentos de grande indignaáao do estado"
"Priesthood needs recognized","Sacerd¢cio precisa ser reconhecido"
"do not have enough cabinets","n∆o h† arm†rios suficientes"
"fracture","fratura"
"slave","escravo"
"Abduction Plot","Conspiraá∆o de Abduá∆o"
"You can create these with [C:5:0:1]Zones[C:7:0:0] -> [C:5:0:1]Office[C:7:0:0]. ","Vocà pode criar esses com [C:5:0:1]Zonas[C:7:0:0] -> [C:5:0:1]Escrit¢rio[C:7:0:0]. "
"population of two hundred thousand","populaá∆o de duzentos mil "
"baroness","baronesa"
"Dye thread ","Tingir fio "
" will be leaving soon."," sair† em breve."
" no longer stunned."," n∆o est† mais atordoado."
"Those in Need","Aqueles com necessidade"
"dean","decano"
"export prohibition violation","violaá∆o da proibiá∆o de exportaá∆o"
"reliving ","revivendo "
"Express horror at the gift","Expressar horror pelo presente "
"You do not have a broker.","Vocà n∆o tem um corretor."
"State feelings of great bitterness","Sentimentos de grande amargura do estado"
"has a habit of interrupting speakers","tem o h†bito de interromper os alto-falantes"
"[C:7:0:1].Extreme pain","[C:7:0:1].Dor extrema"
"By now you should have a room underground where your residents can hide from the creatures above. ","AtÇ agora vocà deve ter uma sala subterrÉnea onde seus moradores podem se esconder das criaturas acima. "
"Webbed","Na teia"
"known quarreler","encrenqueiro conhecido"
"Yes, and trade we will!  Simply tell me ","Sim, e negociaremos! Simplesmente me diga "
"rain","chuva"
" Downward Track (E)"," Pista descendente (E)"
"been found dead, dehydrated.","foi encontrado morto, desidratado."
"[C:1:0:0]Burrows[C:7:0:0] are work and living areas where citizens can be assigned. ","[C:1:0:0]Abrigos[C:7:0:0] s∆o †reas de trabalho e vivància onde cidad∆os podem ser atribu°dos. "
"Ruined house","Casa ru°na"
"Seek Eating Chair 2","Procurando Cadeira de Comer 2"
" charge at "," Carregue em "
" backward bend"," dobrar para tr†s"
"Humorless      <->       Zany","Sem humor      <->       Excàntrico"
"** Starting Reclaim **","** Iniciando Recuperaá∆o **"
"Farming","Agricultura"
"Forbid cages from sprung traps during sieges","Proibir jaulas de armadilhas suspensas durante cercos"
"My lover discussed their problems with me.","Meu amor discutiu seus problemas comigo."
"Some migrants have arrived, despite the danger.","Alguns imigrantes chegaram, apesar do perigo."
"A towering gray cloud descends from the white sky above you.","Uma nuvem cinza imensa desce do cÇu branco acima de vocà. "
" sold "," vendido "
"Padding","Enchimento"
"feels that introspection and all forms of self-examination are the keys to a good life and worthy of respect","sente que a introspecá∆o e todas as formas de conhecimento pr¢prio s∆o as chaves para uma vida boa e digna de respeito"
"victim convicted","V°tima condenada"
"outsider","forasteiro "
"I just want to slow down and take it easy for a while.","Eu s¢ quero desacelerar um pouco, e pegar um pouco mais leve por um tempo."
"the guildhall","o sal∆o da guilda"
"feeling caring","sentindo carinho"
":neck bowl:neck bowls",":tigela de pescoáo:tigelas de pescoáo"
"Magma Pool","a piscina de magma"
"You just aren't good enough yet, but you should keep performing.","Vocà ainda n∆o Ç bom o suficiente, mas deve continuar se apresentando."
"destroyed our homes","destru°ram as nossas casas"
"a party to a debate","uma parte para um debate"
"nothing","nada"
"worried","Estou tao preocupada!"
"Height Measurement","Mediá∆o de Altura"
"Need accessible mechanisms.","Precissa de mecanismos acess°veis."
"anatomical studies for medical edification","estudos anatìmicos para edificaá∆o mÇdica"
"Track/Ramp (NW)","Trilho/Rampa (NO)"
"the natural issue of their oneness with ","a questao natural de sua unidade com "
"Reunion/","Reuni∆o"
"Attempted to build","Tentativa de construir"
"It makes me very grouchy.","Faz-me muito ranzinza."
"Loading world and continuing active game","Carregando o mundo e continuando o jogo ativo"
"Already leading creature","J† levando a criatura"
"The guildhall","O sal∆o da guilda"
"A forlorn haunt, seeking out known locations or drifting around the place of death.","Uma assombraá∆o cabisbaixo, procura de locais conhecidos ou Ö deriva ao redor do local da morte."
" has a habit of licking "," tem o h†bito de lamber "
"I'm going to visit the temple.","Vou visitar o templo."
"Name the ","Dà um nome ao "
", force","Foráa"
"broad-chinned","-de-queixo-largo"
"Activity","Atividade"
"Dye leather ","Tingir couro "
"Bandages","Curativos"
"Offerings from ","Ofertas de "
"the Facts","os Fatos"
"Refuse conversation","Me recuso a conversa"
"A violent ghost.","Um fantasma violento."
"infamous killer","matador infame"
"For musical accompaniment, the choreographer has selected ","Para acompanhamento musical, o core¢grafo selecionou "
"established as land holder","estabelecido como propriet†rio de terras"
"finds romance distasteful","acha o romance desagrad†vel"
" is currently "," est† atualmente "
