"its","それの"
"giant coyote","巨大コヨーテ"
"giant coyotes","巨大コヨーテ"
"giant coyote pup","巨大コヨーテの子供"
"giant coyote pups","巨大コヨーテの子供の"
"A large dog-like monster with a haunting howl.","コヨーテの姿をした巨大な怪物だ. "
"A medium-sized creature that can be found hopping through the grassland.","草原に棲む中型動物. 跳ねて移動する. "
"kangaroo","カンガルー"
"kangaroos","カンガルー"
"kangaroo joey","カンガルーの子供"
"kangaroo joeys","カンガルーの子供の"
"pouches","お腹の袋"
"kangaroo doe","カンガルーの雌"
"kangaroo does","カンガルーの雌"
"frozen kangaroo's milk","凍ったカンガルーのミルク"
"kangaroo's milk","カンガルーのミルク"
"boiling kangaroo's milk","蒸気化したカンガルーのミルク"
"kangaroo cheese","カンガルーのチーズ"
"kangaroo cheese powder","カンガルーのチーズ粉末"
"melted kangaroo cheese","溶けたカンガルーのチーズ"
"boiling kangaroo cheese","蒸気化したカンガルーのチーズ"
"kangaroo buck","カンガルーの雄"
"kangaroo bucks","カンガルーの雄"
"kangaroo man","カンガルー男"
"kangaroo men","カンガルー男"
"kangaroo woman","カンガルー女"
"kangaroo women","カンガルー女"
"A person with the head and powerful legs of a kangaroo.","カンガルーの頭と足を持った人間だ. "
"giant kangaroo","巨大カンガルー"
"giant kangaroos","巨大カンガルー"
"giant kangaroo joey","巨大カンガルーの子供"
"giant kangaroo joeys","巨大カンガルーの子供の"
"A huge monster in the shape of a kangaroo.","カンガルーのような姿をした巨大な怪物だ. "
"A small, grey, tree-dwelling creature.","小さくて灰色の, 樹上性の生物. "
"koala","コアラ"
"koalas","コアラ"
"koala joey","コアラの子供"
"koala joeys","コアラの子供の"
"adorable appearance","愛らしい外観"
"koala man","コアラ男"
"koala men","コアラ男"
"koala woman","コアラ女"
"koala women","コアラ女"
"A grey person with the head of a koala.","コアラの頭を持った灰色の人間だ. "
"giant koala","巨大コアラ"
"giant koalas","巨大コアラ"
"A large koala-shaped monster.","コアラのような姿をした巨大な怪物だ. "
"A tiny snake with ridged scales and a powerful venomous bite.","強力な毒牙を持った小さな蛇だ. "
"adder","クサリヘビ"
"adders","クサリヘビ"
"warning hisses","警告音"
"frozen adder venom","凍ったクサリヘビの毒液"
"adder venom","クサリヘビの毒液"
"boiling adder venom","蒸気化したクサリヘビの毒液"
"adder bite","クサリヘビの牙"
"adder man","クサリヘビ男"
"adder men","クサリヘビ男"
"adder woman","クサリヘビ女"
"adder women","クサリヘビ女"
"A large adder with the torso and arms of a man.","大きなクサリヘビに人の上半身がついている. "
"giant adder","巨大クサリヘビ"
"giant adders","巨大クサリヘビ"
"A large monster in the form of an adder.","クサリヘビのような姿をした巨大な怪物だ. "
"A small spiny mammal with a long snout.  It eats ants and termites and reproduces by laying eggs.","長い鼻ととげを持った小型哺乳類. アリを主食とし, 卵を産む. "
"echidna","ハリモグラ"
"echidnas","ハリモグラ"
"puggle","ハリモグラの子供"
"puggles","ハリモグラの子供の"
"spines","とげ"
"egg-laying","産卵"
"echidna man","ハリモグラ男"
"echidna men","ハリモグラ男"
"echidna woman","ハリモグラ女"
"echidna women","ハリモグラ女"
"A spiny person with the head of an echidna.","ハリモグラの頭を持ったとげだらけの人間だ. "
"giant echidna","巨大ハリモグラ"
"giant echidnas","巨大ハリモグラ"
"giant echidna puggle","巨大ハリモグラの子供"
"giant echidna puggles","巨大ハリモグラの子供の"
"A large monster in the shape of an echidna.","ハリモグラのような姿をした巨大な怪物だ. "
"A small rodent covered with sharp quills.  They eat grass and leaves and can even climb trees.","全身にとげの生えた小型の草食げっ歯類だ. 木登りが上手い. "
"porcupine","ヤマアラシ"
"porcupines","ヤマアラシ"
"porcupine pup","ヤマアラシの子供"
"porcupine pups","ヤマアラシの子供の"
"quills","とげ"
"porcupine man","ヤマアラシ男"
"porcupine men","ヤマアラシ男"
"porcupine woman","ヤマアラシ女"
"porcupine women","ヤマアラシ女"
"A person with the head and quills of a porcupine.","ヤマアラシの頭ととげを持った人間だ. "
"giant porcupine","巨大ヤマアラシ"
"giant porcupines","巨大ヤマアラシ"
"giant porcupine pup","巨大ヤマアラシの子供"
"giant porcupine pups","巨大ヤマアラシの子供の"
"A large monster in the form of a porcupine.","ヤマアラシのような姿をした巨大な怪物だ. "
"A small, brightly-colored snake.  It is known for eating other snakes and being mistaken for its venomous cousins.","鮮やかな色をした小型のヘビ. 他のヘビを食べることもある. . "
"kingsnake","キングヘビ"
"kingsnakes","キングヘビ"
"habit of eating other snakes","ほかのヘビを食べる"
"kingsnake man","キングヘビ男"
"kingsnake men","キングヘビ男"
"kingsnake woman","キングヘビ女"
"kingsnake women","キングヘビ女"
"A legless person with the head and tail of a kingsnake.","キングヘビの頭と尾を持った足の無い人間だ. "
"giant kingsnake","巨大キングヘビ"
"giant kingsnakes","巨大キングヘビ"
"A large monster in the form of a kingsnake.","キングヘビのような姿をした巨大な怪物だ. "
"A small monkey that can be found in forests and the streets of towns.","森や人里に棲息する, 灰色をした小型のサル. "
"gray langur","ハヌマンラングール"
"gray langurs","ハヌマンラングール"
"vocalizations","発声"
"gray langur man","ハヌマンラングール男"
"gray langur men","ハヌマンラングール男"
"gray langur woman","ハヌマンラングール女"
"gray langur women","ハヌマンラングール女"
"A grey person with the head and tail of a gray langur.","ハヌマンラングールの頭と尾を持つ灰色の人間だ. "
"giant gray langur","巨大ハヌマンラングール"
"giant gray langurs","巨大ハヌマンラングール"
"A huge monster in the shape of a gray langur.","ハヌマンラングールのような姿をした巨大な怪物だ. "
"bobcat","ボブキャット"
"bobcats","ボブキャット"
"bobcat kitten","ボブキャットの仔"
"bobcat kittens","ボブキャットの仔の"
"short tails","短い尾"
"bobcat man","ボブキャット男"
"bobcat men","ボブキャット男"
"bobcat woman","ボブキャット女"
"bobcat women","ボブキャット女"
"A person with the head and short tail of a bobcat.","ボブキャットの頭と短いを持つ人間だ. "
"giant bobcat","巨大ボブキャット"
"giant bobcats","巨大ボブキャット"
"giant bobcat kitten","巨大ボブキャットの仔"
"giant bobcat kittens","巨大ボブキャットの仔の"
"A large monster in the form of a bobcat.","ボブキャットのような姿をした巨大な怪物だ. "
"A small black and white mammal.  It is capable of spraying a stinking fluid.","白黒の小型哺乳類. くさい体液をかけてくる. "
"skunk","スカンク"
"skunks","スカンク"
"skunk kit","スカンクの仔"
"skunk kits","スカンクの仔の"
"distinctive striping","独特な縞模様"
"foul smell","悪臭"
"skunk man","スカンク男"
"skunk men","スカンク男"
"skunk woman","スカンク女"
"skunk women","スカンク女"
"A striped person with the head and tail of a skunk.","スカンクの頭と尾を持つ縞模様の人間だ. "
"giant skunk","巨大スカンク"
"giant skunks","巨大スカンク"
"giant skunk kit","巨大スカンクの仔"
"giant skunk kits","巨大スカンクの仔の"
"A large monster in the form of a skunk.","スカンクのような姿をした巨大な怪物だ. "
"A tiny amphibian that lives in the trees.","全長10センチほどの樹上性の両生類. "
"green tree frog","イエアメガエル"
"green tree frogs","イエアメガエル"
"distinct mating call","メスを求めて鳴く"
"green tree frog man","イエアメガエル男"
"green tree frog men","イエアメガエル男"
"green tree frog woman","イエアメガエル女"
"green tree frog women","イエアメガエル女"
"A green person with the head of a green tree frog.","イエアメガエルの頭を持つ緑色の人間だ. "
"giant green tree frog","巨大イエアメガエル"
"giant green tree frogs","巨大イエアメガエル"
"A large monster in the shape of a green tree frog.","イエアメガエルのような姿をした巨大な怪物だ. "
"A swift, long-eared rodent with long legs and a short fluffy tail.","長い脚と短いふわふわした尾を持つ, 速くて耳の長い齧歯動物. "
"hare","野ウサギ"
"hares","野ウサギ"
"leveret","野ウサギの子供t"
"leverets","野ウサギの子供の"
"long ears","長い耳"
"fluffy tails","ふわふわの尻尾"
"doe hare","野ウサギの雌"
"doe hares","野ウサギの雌"
"buck hare","野ウサギの雄"
"buck hares","野ウサギの雄"
"hare man","野ウサギ男"
"hare men","野ウサギ男"
"hare woman","野ウサギ女"
"hare women","野ウサギ女"
"A long-eared person with the head and tail of a hare.","野ウサギの頭と尾を持つ, 耳の長い人間だ. "
"giant hare","巨大野ウサギ"
"giant hares","巨大野ウサギ"
"giant leveret","巨大野ウサギの子供"
"giant leverets","巨大野ウサギの子供の"
"A large monster in the shape of a hare.","野ウサギのような姿をした巨大な怪物だ. "
"A small reptile with a tell-tale rattle and vicious bite that leads to a quick death.","ガラガラと鳴き, すぐに死に至るほど強力な毒牙の噛みつきをする小型のヘビだ. "
"rattlesnake","ガラガラヘビ"
"rattlesnakes","ガラガラヘビ"
"warning rattle","ガラガラと響く警告"
"frozen rattlesnake venom","凍ったガラガラヘビの毒液"
"rattlesnake venom","ガラガラヘビの毒液"
"boiling rattlesnake venom","蒸気化したガラガラヘビの毒液"
"rattlesnake bite","ガラガラヘビ bite"
"rattlesnake man","ガラガラヘビ男"
"rattlesnake men","ガラガラヘビ男"
"rattlesnake woman","ガラガラヘビ女"
"rattlesnake women","ガラガラヘビ女"
"A person resembling a large rattlesnake with arms.","ガラガラヘビに腕が生えたような人間だ. "
"giant rattlesnake","巨大ガラガラヘビ"
"giant rattlesnakes","巨大ガラガラヘビ"
"A huge monster taking the shape of a rattlesnake.","ガラガラヘビのような姿をした巨大な怪物だ. "
"A tiny mammal with a slender body.  It hunts in mouse holes as well as barn yards.","ほっそりした体の小さな哺乳類. ネズミの穴や納屋の庭で狩りをします. "
"weasel","イタチ"
"weasels","イタチ"
"weasel kit","イタチの仔"
"weasel kits","イタチの仔の"
"short legs","短い脚"
"weasel man","イタチ男"
"weasel men","イタチ男"
