"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"figurine","figurka"
"rotten ","zepsuty "
"filthy ","paskudny "
"sticky ","lepki "
"vomitous ","wymiotny "
"slimy ","oòlizgày "
"dirty ","brudny "
"gooey ","g©sty "
"purulent ","ropny "
"ichorous ","ichoryczny "
"bloody ","krwawy "
" paste"," pasta"
" laced with "," spleciony z "
"powder","proszek"
"cheese","ser"
"catapult parts","cz©òci katapulty"
"mechanisms","mechanizmy"
"tube","tuba"
"pipe section","odcinek rury"
"trap component","element puàapki"
"ballista parts","cz©òci balisty"
"anvil","kowadào"
"ballista arrow head","gàowica strzaày balisty"
"siege ammo","amunicja obl©ænicza"
"ammunition","amunicja"
"scepter","berào"
"crown","korona"
"coin","moneta"
"perfect ","doskonaày "
"green glass ","zielone szkào "
"clear glass ","przezroczyste szkào "
"crystal glass ","szkào krysztaàowe "
" gem"," klejnot"
"ring","pieròcie‰"
"earring","kolczyk"
"bracelet","bransoletka"
"traction bench","wyci•g ortopedyczny"
"quern","æarna"
"millstone","kamie‰ mày‰ski"
"statue","statua"
"memorial","pomnik"
"food imports sign","symbol importu æywnoòci"
"clothing imports sign","symbol importu odzieæy"
"general imports sign","oznaczenie importu og¢lnego"
"cloth shop sign","szyld sklepu z tkaninami"
"leather shop sign","szyld sklepu sk¢rzanego"
"woven clothing shop sign","znak sklepu z odzieæ• tkan•"
"leather clothing shop sign","szyld sklepu z odzieæ• sk¢rzan•"
"bone carver's shop sign","szyld rze´biarza w koòci"
"gem cutter's shop sign","szyld sklepu z kamieniami szlachetnymi"
"weaponsmith's shop sign","szyld sklepu z broni•"
"bowyer's shop sign","szyld warsztatu àuczarza"
"blacksmith's shop sign","szyld warsztatu kowalskiego"
"armorsmith's shop sign","szyld sklepu pàatnerza"
"metal craft shop sign","metalowy szyld sklepu rzemieòlniczego"
"leather goods shop sign","szyld sklepu z wyrobami sk¢rzanymi"
"carpenter's shop sign","szyld warsztatu stolarskiego"
"stone furniture shop sign","kamienny szyld sklepu meblowego"
"metal furniture shop sign","metalowy szyld sklepu meblowego"
"tavern sign","znak tawerny"
"slab","pàyta"
"corpse","zwàoki"
"teeth","z©by"
"plant part","cz©òÜ roòliny"
"silk body part","jedwabna cz©òÜ ciaàa"
"leather body part","sk¢rzany element ciaàa"
"wooden body part","drewniana cz©òÜ ciaàa"
"soap body part","mydlana cz©òÜ ciaàa"
"yarn body part","cz©òÜ ciaàa z prz©dzy"
"strand body part","æylasta cz©òÜ ciaàa"
"Rotten ","Zgniày "
"seeds","nasiona"
"withered ","uschni©ty "
"leaves and fruit","liòcie i owoce"
"leaf or fruit","liòÜ lub owoc"
"raw ","surowy "
"live ","æywy "
"small live animal","maàe æywe zwierz©"
"tame ","oswojony "
"small tame animal","maàe oswojone zwierz©"
"prepared meal","przygotowany posiàek"
"preserved ","zachowany "
" chops"," kotlety"
" chop"," kotlet"
"meat","mi©so"
"suits of ","kombinezony "
"chain ","àa‰cuch "
"handwear","odzieæ na r©ce"
"footwear","obuwie"
"headwear","nakrycia gàowy"
"legwear","odzieæ na nogi"
"A kidnapper has made off with ","Porywacz uciekà z "
" has stolen "," ukradà "
"A thief has stolen ","Zàodziej ukradà "
"of ","z "
" begins to stalk and brood..."," zaczyna przeòladowaÜ i zastanawiaÜ si©..."
" looses a roaring laughter, fell and terrible!"," traci rycz•cy òmiech, upadày i straszny!"
" has been possessed!"," zostaà op©tany!"
" withdraws from society..."," wycofuje si© ze spoàecze‰stwa..."
" is taken by a fey mood!"," jest w magicznym nastroju!"
"the Moves","Ruch"
"Seasons and the Moon","Pory roku a Ksi©æyc"
" has created "," stworzyà "
"claims it as an heirloom in the name of the family ancestor ","twierdzi, æe jest to pami•tka w imieniu przodka rodziny "
"claims it as a family heirloom","twierdzi, æe jest to pami•tka rodzinna"
" claims it as a personal treasure."," uwaæa go za osobisty skarb."
" offers it to "," oferuje to "
"interacting with a pet","interakcja ze zwierz©ciem domowym"
"no material","brak materiaàu"
"items","przedmioty"
" caught in a cloud of flames!"," pochàoni©ty przez chmur© pàomieni!"
" caught up in the web!"," zàapany w sieÜ!"
" laughs very loudly"," òmieje si© bardzo gàoòno"
"No access to ","Brak dost©pu do "
"No access","Brak dost©pu"
"Capital","Stolica"
"Metropolis","Metropolia"
"City","Miasto"
"Town","Miasteczko"
"Village","Wioska"
"Hamlet","Osada"
"Outpost","Plac¢wka"
"Royal Mausoleum","Kr¢lewskie Mauzoleum"
"Grand Mausoleum","Wielkie Mauzoleum"
"Mausoleum","Mauzoleum"
"Fine Tomb","Pi©kny grobowiec"
"Burial Chamber","Komora grobowa"
"Servant's Burial Chamber","Komnata grobowa sàugi"
"Grave","Gr¢b"
"No Tomb","Nie ma grobowca"
"Royal Dining Room","Kr¢lewska jadalnia"
"Grand Dining Room","Wielka jadalnia"
"Great Dining Room","Wspaniaàa jadalnia"
"Fine Dining Room","Wytworna jadalnia"
"Decent Dining Room","Przyzwoita jadalnia"
"Modest Dining Room","Skromna jadalnia"
"Meager Dining Room","Maàa jadalnia"
"No Dining Room","Brak jadalni"
"Royal Bedroom","Kr¢lewska sypialnia "
"Grand Bedroom","Wielka sypialnia "
"Great Bedroom","Wspaniaàa sypialnia."
"Fine Quarters","Dobre kwatery"
"Decent Quarters","Przyzwoite kwatery"
"Quarters","Kwatery"
"Modest Quarters","Skromne kwatery"
"Meager Quarters","Mizerne kwatery"
"No Quarters","Brak kwater"
"Royal Throne Room","Kr¢lewska sala tronowa"
"Opulent Throne Room","Bogata sala tronowa"
"Throne Room","Sala tronowa"
"Splendid Study","Wspaniaàe studium"
"Decent Study","Przyzwoite badanie"
"Study","Badanie"
"Modest Study","Skromne badanie"
"Meager Study","Skromne badanie"
"No Study","Brak bada‰"
" has been disturbed."," zostaà zakà¢cony."
"group of ","grupa "
"Many ","Wiele "
" have been disturbed."," zostaày zakà¢cone."
"swarm of ","r¢j "
" its way out of confinement!"," wydostaje si© z zamkni©cia!"
" caught in a burst of "," zàapany w wybuch "
"an official land of the realm","oficjalna kraina kr¢lestwa"
" and the surrounding lands have been made "," i okoliczne ziemie zostaày "
"an even more official land of the realm","jeszcze wi©cej oficjalnych ziem kr¢lestwa"
"lumber limits","limity tarcicy"
"Stone Hauling","Transport kamienia"
"Wood Hauling","Przew¢z drewna"
"Food Hauling","Przew¢z æywnoòci"
"Item Hauling","Przew¢z przedmiot¢w"
"Animal Hauling","Przew¢z zwierz•t"
"Push/Haul Vehicles","Pojazdy do pchania/holowania"
"Stone Engraving","Grawerowanie w kamieniu"
"Animal Care","Opieka nad zwierz©tami"
"Diagnosis","Diagnoza"
"Setting Bones","Nastawianie koòci"
"Dressing Wounds","Opatrywanie ran"
"Feed Patients/Prisoners","Karmienie rannych/wi©´ni¢w"
"Recovering Wounded","Przenoszenie rannych"
"Small Animal Dissection","Wiwisekcja maàych zwierz•t"
"Clothesmaking","Szycie ubra‰"
"Plant Processing","Przetwarzanie roòlin"
"Farming (Fields)","Hodowanie (pola uprawne)"
"Furnace Operating","Operowanie piecem"
"Armoring","Kucie zbroi"
"Blacksmithing","Kowalstwo"
"Metalcrafting","Obr¢bka metalu"
"Stonecrafting","Kamieniarstwo"
"Siege Operating","Dziaàanie obl©ænicze"
"Crossbow-making","wytwarzanie kuszy"
"Mechanics","Mechanika"
"Pump Operating","Praca pompy"
"Trade Good Hauling","Przew¢z towar¢w handlowych"
"Water Hauling","Transport wody"
"Lever Operation","Obsàuga d´wigni"
"Road Building","Budowa dr¢g"
"Wall/Floor Construction","Konstrukcja òciany/podàogi"
"Woodworking","Obr¢bka drewna"
"Stoneworking","Kamieniarstwo"
"Hunting/Related","ùowiectwo/Powi•zane"
"Healthcare","Opieka zdrowotna"
"Farming/Related","Rolnictwo/Powi•zane"
"Fishing/Related","W©dkarstwo/Powi•zane"
"Jewelry","Biæuteria"
"Other Jobs","Inne Prace"
"You have","Masz"
" created a masterpiece "," stworzyà arcydzieào "
"impalement on ","wbicie na "
"Received signal ","Odebrany sygnaà "
"stopped being a ","przestaà byÜ "
"Caravans","Przyczepy kempingowe"
"Hunger","Gà¢d"
"smoke","dym"
"filth","brud"
"vomit","wymiociny"
"There is a ","Istnieje "
"eastern","wschodni"
"western","zachodni"
"Attack","Zaatakuj"
"Jump","Skocz"
"Push Object","Pchnij przedmiot"
"Hold","Przytrzymaj"
"Load","Wczytaj"
"and more","i wi©cej"
"the method of comparing and contrasting different cultures","metoda por¢wnywania i zestawiania r¢ænych kultur"
"Fail to schedule the chore!","Nie udaào si© zaplanowaÜ obowi•zku!"
"no state","brak pa‰stwa"
"broken promise","zàamana obietnica"
"Could not load music file ","Nie moæna zaàadowaÜ pliku audio "
"Could not load sound file ","Nie moæna zaàadowaÜ pliku d´wi©kowego "
"sound","d´wi©k"
"Could not load file ","Nie moæna zaàadowaÜ pliku "
": couldn't perform seek operation.",": nie moæna wykonaÜ operacji wyszukiwania."
": end of file unexpectedly reached while trying to read essential data.",": nieoczekiwanie osi•gni©to koniec pliku podczas pr¢by odczytania istotnych danych."
": unsupported file or audio format.","nieobsàugiwany format pliku lub d´wi©ku."
"rescued","uratowany"
"sphere alignment","wyr¢wnanie kuli"
"maintain balance in universe","utrzymywaÜ r¢wnowag© we wszechòwiecie"
"highlight boundaries between worlds","podkreòlaj• granice mi©dzy òwiatami"
"sow the seeds of chaos in the world","zasiaÜ ziarna chaosu na òwiecie"
"provide opportunities for courage","dawaÜ okazje do odwagi"
"bring death to the world","przynieòÜ òmierÜ òwiatu"
"liked appearance","lubiany wygl•d"
"because it was destined","poniewaæ byào to przeznaczone"
"great fortresses built and tested","wielkie fortece zbudowane i przetestowane"
"whim","kaprys"
"bring misery to the world","sprowadziÜ nieszcz©òcie na òwiat"
"bring murder to the world","przynieòÜ òwiatu morderstwo"
"bring nightmares into reality","przenieòÜ koszmary do rzeczywistoòci"
"bring thralldom to the world","przynieòÜ òwiatu wàadz©"
"bring torture to the world","przynieòÜ òwiatu tortury"
"provide opportunities for acts of valor","zapewniaÜ okazje do akt¢w m©stwa"
"bring war to the world","sprowadziÜ wojn© na òwiat"
"find relative","znale´Ü krewnego"
"offer condolences","zàoæyÜ kondolencje"
"be brought to safety","byÜ sprowadzonym w bezpieczne miejsce"
"help with rescue","pomoc w ratowaniu"
"insufficient work","niewystarczaj•ca iloòÜ pracy"
"work request","æ•danie pracy"
"make weapon","stworzyÜ bro‰"
"vent at priest","wyàaduj si© na kapàana"
"cry on priest","wyæal si© u kapàana"
"vent at boss","wyàadowaÜ si© na szefie"
"cry on boss","pàakaÜ nad szefem"
"should have reached goal","powinien osi•gn•Ü cel"
"insufficient progress toward goal","Niewystarczaj•cy post©p w kierunku osi•gni©cia celu"
"going wrong direction","pod•æanie w zàym kierunku"
"arrived at location","przybyà na miejsce"
"entity no longer rules","jednostka juæ nie rz•dzi"
"left site","lewa strona"
"reunited with loved one","Ponowne poà•czenie z ukochan• osob•"
"violent disagreement","gwaàtowna niezgoda"
"adopted","przyj©ty"
"true name invocation","prawdziwa nazwa wywoàania"
"arrived at person","dotarà do osoby"
"eradicate beasts","wyeliminowaÜ bestie"
"entertain people","zabawiaÜ ludzi"
"make a living as a warrior","zarabiaÜ na æycie jako wojownik"
"study","badanie"
"exiled after conviction","wygnany po skazaniu"
"be with master","byÜ z mistrzem"
"become citizen","zostaÜ obywatelem"
"prefers working alone","preferuje prac© w pojedynk©"
"glorify hf","gloryfikuj"
"have not performed","nie wykonaày"
"prevented from leaving","uniemoæliwione opuszczenie"
"curiosity","ciekawoòÜ"
"hire on as mercenary","zatrudniÜ si© jako najemnik"
"hire on as performer","zatrudniÜ jako wykonawc©"
"hire on as scholar","zatrudniony jako stypendysta"
"admire architecture","podziwiaÜ architektur©"
"pray","modliÜ si©"
"relax","relaks"
"danger","niebezpiecze‰stwo"
"cannot find artifact","nie mog© znale´Ü artefaktu"
"failed mood","nieudany nastr¢j"
"lack of sleep","brak snu"
"trapped in cage","uwi©ziony w klatce"
"great deal of stress","duæy stres"
"unable to leave location","Nie moæna opuòciÜ lokalizacji"
"sanctify hf","uòwi©ciÜ hf"
"artifact is heirloom of family hfid","artefakt jest pami•tk• rodzinn•"
"cement bonds of friendship","cementuj• wi©zi przyja´ni"
"as a symbol of everlasting peace","jako symbol wiecznego pokoju"
"on a pilgrimage","na pielgrzymce"
"gather information","zbieranie informacji"
"seek sanctuary","szukaÜ schronienia"
"part of trade negotiation","cz©òÜ negocjacji handlowych"
"artifact is symbol of entity position","artefakt jest symbolem pozycji jednostki"
"afraid of persecution","obawiaÜ si© przeòladowa‰"
"smoother operation of entity","sprawniejsze dziaàanie jednostki"
"holds high value","posiada wysok• wartoòÜ"
"shared interest in profession","wsp¢lne zainteresowanie zawodem"
"envious of those that live on","Zazdrosny o tych, kt¢rzy æyj• dalej"
"panicked about what happens after death","spanikowany tym, co dzieje si© po òmierci"
"afraid to die","baÜ si© òmierci"
"not ready to face the afterlife","nie s• gotowi stawiÜ czoàa æyciu pozagrobowemu"
"too proud to give in to death","zbyt dumny, by poddaÜ si© òmierci"
"too vain to give in to death","zbyt pr¢æny, by ulec òmierci"
"had ambitions for which death is only a small obstacle","miaà ambicje, dla kt¢rych òmierÜ jest tylko maà• przeszkod•"
"lack of funds","brak funduszy"
"heavy losses in battle","ci©ækie straty w bitwie"
"death and injury","òmierÜ i obraæenia"
"witnessed death in incident","òwiadek òmierci podczas incydentu"
"found body in incident","znalezione ciaào"
"hf died unexpectedly","zmarà niespodziewanie"
"hf is dead","nie æyje"
"slayer in incident","zab¢jca w incydencie"
"separated from hf","oddzielony od hf"
"reunited with hf","poà•czyà si© z nim"
"jump into existing conflict","wskoczyÜ w istniej•cy konflikt"
"caught sneaking last stand","przyàapany na skradaniu si©"
"produced masterwork","wyprodukowane arcydzieào"
"produced artifact","wytworzony artefakt"
"mastered skill","opanowana umiej©tnoòÜ"
"broke up with lover","zerwaà z kochank•"
"divorced","rozwiedziony"
"fell in love","zakochaà si©"
"became parent","zostaà rodzicem"
"nearby conflict","pobliski konflikt"
"agreement cancelled","umowa anulowana"
"being an agreement companion","bycie czàonkiem porozumienia"
"kicked out of squad","wyrzucony z druæyny"
"stranger advancing with weapon","nieznajomy zbliæaj•cy si© z broni•"
"stranger sneaking around","nieznajomy zakradaj•cy si©"
"witnessed blood drinking in incident","byàem òwiadkiem picia krwi w incydencie"
"made complaint","zàoæyà skarg©"
"listened to complaint","wysàuchaà skargi"
"admire building","podziwiaÜ budynek"
"admire owned building","podziwia posiadany budynek"
"admire arranged building","podziwiaÜ zaaranæowany budynek"
"admire owned arranged building","podziwiany zaaranæowany budynek"
"viewed item in own display","ogl•dany przedmiot na wàasnym wyòwietlaczu"
"viewed displayed item","ogl•dany wyòwietlany przedmiot"
"pet lost","zagubiony zwierzak"
"threw hauled item in tantrum","rzucià przedmiot w napadzie zàoòci"
"freed from prison","uwolniony z wi©zienia"
"had miscarriage","poronienie"
"spouse had miscarriage","maàæonka poroniàa"
"old clothing","stara odzie"
"tattered clothing","potargana odzieæ"
"clothing rots away","ubrania gnij•"
"haunted in dreams","nawiedzony w snach"
"good spar","dobry sparing"
"complaint unregistered","skarga niezarejestrowana"
"long patrol","dàugi patrol"
"sun nauseated","mdàoòci od sào‰ca"
"sun irritated","podraæniony sào‰cem"
"drowsy","sennoòÜ"
"very drowsy","bardzo senny"
"thirsty","spragniony"
"dehydrated","odwodniony"
"hungry","gàodny"
"starving","gà¢d"
"suffered major injury","doznaà powaænych obraæe‰"
"suffered minor injury","doznaà niewielkich obraæe‰"
"rough sleep","nier¢wny sen"
"resting","odpoczynek"
"caught in freakish weather","zàapany w dziwaczn• pogod©"
"caught in rain","zàapany w deszczu"
