"more presumptious","更加自以为是"
"good creativity","好的创造力"
"is greatly pleased by ","非常高兴 "
"Stocks","库存"
"Stairs","楼梯"
"You maintain possession of the ","你维持拥有权之于 "
"unhappy","不快乐"
"silk","丝绸"
"Good spatial sense","良好的空间感"
" but"," 但"
"A story recital","一个故事叙述"
"No weapon for execution","没有执行武器"
"Ask listener to join you as entertainer","邀请听众加入您的艺人行列"
"Nostalgic","怀乡"
"to praise","赞扬"
"Tell Story","讲故事"
"The humiliation!","屈辱!"
"surprised by the ferocity of ","惊讶于凶猛 "
"Types of Diseases","疾病类型"
" in the year "," 在那一年 "
"Completing the Square","完善广场"
"MEDIUM REGION","中等地区"
"There was an incident.","发生了一件事. "
"play staccato","玩断奏"
"food","餐饮"
"in order to drink","为了喝酒"
"Full reversion","全部回归"
"[C:3:0:1]You are a ","[C:3:0:1]您是 "
"Magma Layer","岩浆层"
"There must be something else to discuss.","一定有其他东西能讨论. "
"glacier","冰川"
"Name your settlement","命名你的定居点"
" my prisoner."," 我的囚犯"
"Cages/restraints","笼子/约束装置"
"more of a thrill-seeker","更加追求刺激的人"
"counterclockwise ","逆时针 "
"has a deeply recessed, narrow","深凹而窄小的"
"the siphon","虹吸管"
"Seasons and the Moon","季节和月亮"
"history","历史"
"Saving general information...","保存一般信息......"
"Popup: Nobles","弹窗:贵族"
"is very muscular with a large body","身材庞大肌肉发达"
"is quite humorous","非常幽默"
"If you'd like to focus a few of your citizens on farming, which gives skill benefits, you can assign them to the [C:2:0:0]Planters[C:7:0:0] work detail from the [C:5:0:1]Labor[C:7:0:0] menu. ","如果你想让你的一些公民专注于农业,这可以提供技能收益,你可以在[C:5:0:1]劳动[C:7:0:0]菜单将他们指派到[C: 2:0:0]播种者[C: 7:0:0]的工作中.  "
"the construction and use of the dioptra","望筒的结构和使用"
"stick","棒"
" presence"," 存在"
"You are prone.  Click to stand.","你是俯卧的.  单击可站立. "
"It might be very difficult to survive here.","这里可能非常难以生存."
"small ","小 "
"No, I mean it.","不,我说真的. "
"a legendary murderer","一个传奇的凶手"
"Record Keeping","记录"
"being removed from a military group","被从军事组织中移除"
"I love the ribald lyrics of the accompaniment.","我喜欢伴奏的抒情歌词. "
"the detection of the forces of ","检测力量 "
"You must drive ","你必须驱逐 "
"has a broad","宽阔的"
" skills"," 技能"
"It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving ","是时候在地下建造 [C:6:0:0]储物堆[C:7:0:0] 去卸载货物了.  [C:6:0:0]储物堆[C:7:0:0] 对于搬家是重要的 "
"the dining hall","餐厅"
"are free-lobed","是自由腹腔的"
"died in the dark.","在黑暗中死去. "
"What are a few pesky demons after all?","几个讨厌的恶魔到底是什么?"
"more proud","更自豪"
"Friendly terms","友善的条款"
"Chairs: ","椅子: "
"State that you don't care","表明你不在乎"
"begins","开始"
"flatterer","奉承者"
"Make cheese","制作奶酪"
"created","创建"
"is somewhat weak and very short","有点弱,而且很短"
"the bribery of","行贿于"
"Fortifications block creature movement but allow projectiles through.  Soldiers near fortifications are reasonably safe from incoming projectiles.  Requires boulder, block, or wood.","防御工事能阻挡住其他生物通过,但投掷物能越过它们. 在防御工事附近的战士们面对飞来的炮弹来说是相对安全的. 它需要石块, 石头或原木. "
"I slept on a rough cave floor.","我睡在一个粗糙的洞穴地板上. "
"Track stop","轨道站点"
"seventeen","十七"
"Finished Goods","成品"
"Demons from the underworld must not be permitted to walk freely upon the land.","绝不允许来自黑社会的恶魔在陆地上自由行走. "
"Cataracts","白内障"
"I'm feeling really worn down.","我感觉真的很疲惫. "
"Seek Vermin Catch Location","寻求害虫捕获位置"
"You continue the sermon.","你继续这场布道"
"made a blackmail threat, due to embezzlement","发出勒索威胁,因盗用公款"
"more emotionally obsessive","经常有情绪困扰"
"is slow to anger","不易被激怒"
"Unnamed water source","未命名水源区"
"Values craftwork","重视手工艺品"
"The [C:6:0:0]Carpenter's Workshop[C:7:0:0] is the best place to make lightweight [C:6:0:1]Bins[C:7:0:0] and [C:6:0:1]Barrels[C:7:0:0], but they can also be made at "," [C:6:0:0]木匠工坊[C:7:0:0]是制造重量轻的[C:6:0:1]储物箱[C:7:0:0]和[C:6:0:1]圆桶[C:7:0:0]最好的地方,同时这两种物品也可以被制造于 "
"How blissful I am.","我多么幸福. "
"Centralize","集中"
"a very good sense of the position of ","非常好的空间感 "
"It has always been my dream to start a family.","家庭一直是我的梦想. "
"collected ","集 "
"Be mindful of others around you.","注意你周围的人. "
"in order to study","为了学习"
"The dancers imitate the movement of the ","舞者的运动模仿 "
"pacify","安抚"
"get it is from a [C:6:0:0]Well[C:7:0:0]. ","它是从一口[C:6:0:0]井[C:7:0:0]里得到的.  "
"One-time order","一次性订单"
"Unfortunately, no new pertinent information was revealed.","不幸的是,没有新的相关信息被披露. "
"is repelled by the idea of honesty and lies without compunction","被""诚实""和""不撒谎""的谎言所排斥. "
" associating armor out of range: "," 关联的盔甲超出范围: "
"beaver","海狸"
"Cage Trap","笼式陷阱装载"
"Finalizing...","即将完成..."
"Ask listener to come to your store later","让 listener 稍后来您的商店"
"I had a nightmare about the dead.","我对死者做了一个噩梦. "
"is half the tempo of the last passage","是最后一段的节奏的一半"
"the River Mouth","河口"
"State minor feeling of disgust","状态轻微的厌恶感"
"[C:5:0:0]Militia Commanders[C:7:0:0] are assigned here. ","[C:5:0:0]民兵指挥官[C:7:0:0]在这里指派.  "
"the construction and use of the glass lens","玻璃镜片的结构和使用"
" at this location"," 在此位置"
"CONTINUE until you give me another warning.","继续,直到你再次警告我. "
", inveighing against ","叹息,反对 "
"Nothing","没有"
"the hammer","锤子"
" could nearly pass for the voice of the "," 几乎可以被认为是那种声音,即 "
"What would you like to name this timeline?","您想为这个时间线命名吗?"
"the looting of ","抢劫 "
"Villains!  The seizure of ","恶棍!被扣押自 "
"in agony","在痛苦中"
"When possible","如果可能"
", and you have never strayed far from home.",",你从来没有离家太远. "
"personal punishment reduced","个人惩罚减少了"
"The gloom blankets me...","阴郁笼罩着我......"
"Once a beautiful tree, and now?  It is a rude bauble, fit only for your kind.","曾经是一棵美丽的树,现在是? 这是一个粗鲁的小玩意,只适合你的同类. "
"Number of Night Troll Types","夜间巨魔类型数量"
"Woven Clothing","编织服装"
"the Burrow","洞所"
"Keyboard Instrument","键盘乐器"
"is tall and fat","又高又胖"
"is confident under pressure","在压力下更有信心"
"The Wise","智者"
"Fishery Worker","渔业工人"
"Curse this fog!  I cannot see a thing.","诅咒这雾!我看不到一件事. "
"Cling not to material things.","不要执着于物质. "
"Overbearing","咄咄逼人"
"In existential crisis","处于危险中"
"start loud then be immediately soft","大声开始然后立即变软"
"Minimum Number of Low-Rain Squares","最小数量的低雨广场"
"a legendary poet","一位传奇诗人"
"filthy ","肮脏 "
"Change the number of times the task will be performed.","更改任务将被执行的次数. "
"Historical figures","历史人物"
"Move keyboard cursor down, fast","将键盘光标向下移动,快速"
"Nature can be enjoyed and used for myriad purposes, but there must always be respect and even fear of its power.","大自然可以被享受和用于无数目的,但必须始终尊重甚至害怕它的力量. "
"made flattering remarks","发表奉承的言论"
"The musician directs air through chosen pipes by playing a ","乐师通过弹奏乐器来引导空气通过选定的管道.  "
"water-filled spheres","充满水的球体"
"Legs","腿"
" guild, has been established."," 行会,已经建立. "
"Only one pitch is ever played at a time in this passage.  ","在这段经文中,一次只播放一个音高.  "
"chord lengths","弦长"
" was found"," 被发现"
"Elevation negative on graphical map export (midmap)","图形化地图导出时的海拔负值(midmap). "
"is somewhat scatterbrained","有点漫不经心"
"Do not automate tannery","取消制革作坊自动化"
"Disdains stoicism","鄙弃恬淡寡欲"
"in order to make a living as a warrior","为了以战士为生"
"generic","一般"
"a method of classify the hardness of materials by scratching them against each other","通过相互摩擦来区分材料硬度的一种方法"
"Minimum Number of High-Drainage Squares","最小数量的高排水广场"
" is the head of the family."," 是这个家庭的负责人. "
"sanctuary.","避难所. "
"trichord","三弦"
" / Born "," /出生 "
"due to insufficient work","由于工作不足"
" of the skins of"," 的皮肤"
"the process involved in creating maps","创建地图所涉及的过程"
"Gem Setting","宝石镶嵌"
"Friend","朋友"
"I'm so gleeful.","我很高兴. "
"Sparring Site","陪练现场"
"Fall over","倒"
"the anatomical study of creatures","对生物的解剖学研究"
"You can optionally choose to designate a [C:3:0:0]Fishing[C:7:0:0] zone if you don't want your workers going far afield.","如果你不想让你的工人们去很远的地方,你可以选择指定一个[C:3:0:0]钓鱼[C:7:0:0]区域. "
"cooling magma","冷却岩浆"
"I do not know!  My instructions come from ","我不知道!我的这个命令来自于 "
"The upward face is ","向上的面是 "
"Approximation","近似"
"sees lying as an important means to an end","将谎言视为达到目的的重要手段"
"[C:6:0:1]Ability to fly somewhat impaired","[C:6:0:1]飞行能力有所受损"
"Yarn","纱线"
"Really delete this routine?","真的要删除这个时间表吗?"
"the Clash","冲突"
"State feelings of suspicion","陈述怀疑的感觉"
"I've been feeling anxious.","我一直感到焦虑. "
"Debauchery","放荡"
"Somebody grows up","有人长大了"
" catapult parts"," 弹射部件"
"Nomadic group","游牧族群"
", but that bond seems so thin now.","但是现在这种联系似乎很薄弱. "
"Need office","需要办公室"
"Waterfall","瀑布"
"philosophy:specialized:language dictionary","哲学:专业:语言词典"
" aided "," 辅助 "
"Corpses","尸体"
"Blocks: metal","砖块:金属"
"Vermin bite","害虫叮咬"
"Seek Vermin for Catching","寻求害虫捕获"
"Thresher","打谷工"
" again"," 再次"
"was the very first to discover","是第一个发现的"
