"more presumptious","бўльш зухвалий"
"lasher","батогар"
"Throneroom","Тронний зал"
" have returned."," повернулися."
"Custom Workshop","Майстерня"
"The assigned vehicle wants to be at this stop but is not currently there.  A worker may be bringing it, or it may be stranded.","Закрўплений транспорт маї перебувати на цўй зупинцў, але наразў вўдсутнўй. Можливо, працўвник саме доставляї його, або ж транспорт застряг."
"Move the camera up","Перемўстити камеру вгору"
"thinks that the entire concept of sacrifice for others is truly disgusting","вважаї саму ўдею жертовностў заради ўнших справдў огидною"
"Counting House Storage","Склад розрахунково∙ палати"
"this character to play them again.","цього персонажа, щоб грати ним знову."
"LARGE ISLAND","ВЕЛИКИЙ ОСТРЎВ"
" a piece of"," шматок"
"retrieve","повернув"
"The pain!","Бўль!"
"flux ","флюс "
"generals","головнў"
"Using [C:5:0:1]Mining[C:7:0:0] orders, you'll need to carve out a rectangular area underground for your [C:6:0:0]Farmplot[C:7:0:0]. ","Використовуючи накази [C:5:0:1]Копання[C:7:0:0], вам потрўбно буде видовбати прямокутну дўлянку пўд землею для вашо∙ [C:6:0:0]Грядки[C:7:0:0]. "
"second eldest daughter","друга дочка"
"Noble quarters","Поко∙ знатў"
"Overthrow Agreement","Угода про повалення"
"I guess that would be alienating.","Мабуть, це б вўдштовхувало."
"No assigned or assignable work animals","Немаї призначених або доступних для призначення робочих тварин"
"The [C:5:0:1]Schedule menu[C:7:0:0] is a powerful tool to give automatic orders to the selected squad. ","Меню [C:5:0:1]Розклад[C:7:0:0] - це потужний ўнструмент для надання автоматичних наказўв вибраному загону. "
"Percussionist","Ударник"
"As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. ","Чим глибше ви копаїте ў чим бўльше громадян оселяїться у вашому форпостў, тим бўльше вашў дў∙ привертатимуть увагу, як бажану, так ў небажану. "
" in "," в "
"Unnamed fishing area","Безўменна рибальська зона"
"Entertainment Agreement","Розважальна угода"
"faint ","слабкий "
"Unit report tabs","Вкладки звўту пўдроздўлу"
"Number:","Кўлькўсть:"
"Mining continues through new damp stone","Копання триваї крўзь новий вологий камўнь"
"Please understand the journey must be profitable.  Perhaps you'd consider tossing in a little extra?","Будь ласка, зрозумўйте, що подорож маї бути прибутковою. Можливо, ви подумаїте про те, щоб докинути ще трохи?"
"ninth eldest child","дев'ята дитина"
"due to a lack of funds","через брак коштўв"
"after leading an unexciting life","пўсля нецўкавого життя"
" screaming"," кричить"
"Unknown item","Невўдомий предмет"
"Saving projectiles...","Збереження снарядўв..."
"the Tundra","Тундра"
"It is traditionally thought to be ","Традицўйно вважаїться, що це "
" gives you "," даї вам "
"Cloth (yarn)","Тканина (пряжа)"
" hammerstroke"," удар молотом"
"Getting food","Бере ∙жу"
"Attend Meeting","Вўдвўдуї зустрўч"
" Given"," Дарування"
"I'm not expecting anything.","Я нўчого не очўкую."
"population of nearly two million","населення майже два мўльйони"
"Deathly cold","Смертельний холод"
"Weave thread into silk","Ткати нитки у шовк"
"a good setting","гарнў умови"
