"its","øia"
"Small Animal Dissection","Sekcado de Malgrandaj Bestoj"
"Clothesmaking","Vestofarado"
"Plant Processing","Prilaborado de Vegetaloj"
"Farming (Fields)","Kulturado (Kampoj)"
"Hunting","Æasado"
"Furnace Operating","Operaciado de Fornoj"
"Armoring","Arma¼farado"
"Blacksmithing","Øenerala Forøado"
"Metalcrafting","Metalmetio"
"Stonecrafting","Þtonmetio"
"Siege Operating","Operaciado de Sieøo"
"Crossbow-making","Arbalestfarado"
"Mechanics","Me¶aniko"
"Pump Operating","Operaciado de Pumpiloj"
"Trade Good Hauling","Alportado de Komerca¼oj"
"Water Hauling","Alportado de Akvo"
"Lever Operation","Operacio de Levilo"
"Road Building","Konstruado de Vojo"
"Wall/Floor Construction","Konstruado de Muro/Planko"
"Woodworking","Lignolaborado"
"Stoneworking","Þtonlaborado"
"Hunting/Related","Æasado/Rilata"
"Healthcare","Sanzorgado"
"Farming/Related","Kulturado/Rilata"
"Fishing/Related","Fiþado/Rilata"
"Jewelry","Juvelaro"
"Other Jobs","Aliaj Taskoj"
"You have","Vi"
" created a masterpiece "," kreis majstra¼on "
"weaving of a masterful sewn image","teksado de majstran kudrita bildo"
"valves","valvoj"
"due to a shared scholarly interest","pro komuna scienca intereso"
" over the latter's romantic relationship"," super la romantika rilato de æi-lasta"
"rescued","savita"
"sphere alignment","sfera vicigo"
"maintain balance in universe","konservi ekvilibron en universo"
"highlight boundaries between worlds","elstarigi limojn inter mondojn"
"sow the seeds of chaos in the world","semi ¶aoson en la mondo"
"provide opportunities for courage","provizi þancojn por kuraøo"
"bring death to the world","alporti morton al la mondo"
"liked appearance","þatata aspekto"
"because it was destined","æar øi destinis"
"great fortresses built and tested","bonegan fortresojn konstrui kaj provi"
"whim","kaprico"
"bring misery to the world","alporti mizeron al la mondo"
"bring murder to the world","alporti murdon al la mondo"
"bring nightmares into reality","alporti inkubsonøojn en la realon"
"bring thralldom to the world","alporti subregadon al la mondo"
"bring torture to the world","alporti torturon al la mondo"
"provide opportunities for acts of valor","provizi þancojn por agoj de braveco"
"bring war to the world","alporti militon al la mondon"
"find relative","trovi parencon"
"offer condolences","prezenti kondolecon"
"be brought to safety","esti sekurigita"
"help with rescue","helpi pri savo"
"make weapon","fari armilon"
"study","studado"
"have not performed","ne estas interpretinta"
"hire on as performer","dungi kiel interpretisto"
"hire on as scholar","dungi kiel klerulo"
"admire architecture","admiri ar¶itekturon"
"trapped in cage","kaptita en kaøo"
"part of trade negotiation","parto de komerca negoco"
"death and injury","morto kaj vundo"
"witnessed death in incident","atestis morton dum incidento"
"hf died unexpectedly","hf mortis neatendite"
"hf is dead","hf estas mortinta"
"mastered skill","tutlernis kapablon"
"witnessed blood drinking in incident","atestis sangotrinkado dum incidento"
"admire building","admiri konstrua¼on"
"admire arranged building","admiri aranøitan konstrua¼on"
"admire owned arranged building","admiri propran aranøitan konstrua¼on"
"had miscarriage","havis aborton"
"spouse had miscarriage","edzino havis aborton"
"old clothing","malnovaj vestoj"
"tattered clothing","difektitaj vestoj"
"clothing rots away","vestoj forputras"
"good spar","bona ekzercluktado"
"sun nauseated","naýzita per suno"
"sun irritated","iritita per suno"
"drowsy","dormema"
"very drowsy","tre dormema"
"thirsty","soifa"
"dehydrated","dehidrata"
"starving","malsatmortonta"
"punishment of victimizer reduced","punon de viktimiganto reduktita"
"personal punishment reduced","personan punon reduktita"
"elected","elektita"
"reelected","reelektita"
"request ignored","peto ignorita"
"nobody to punish for failed mandate","neniu por puni pro malsukcesita komisio"
"personal punishment delayed","personan punon malfruita"
"punishment of victimizer delayed","puno de viktimiganto malfruita"
"insufficient justice buildings","nesufiæaj justicaj konstrua¼oj"
"mandate ignored","komision ignoritan"
"mandate only partially completed","komisio nur parte plenumita"
"destroyed building","detruis konstrua¼on"
"mandate was obeyed","komisio estis obeita"
"no shirt","nenian æemizon"
"no shoes","neniajn þuojn"
"ate own pet while starving","manøis sian dorlotbeston kiam malsatmortonta"
"ate favorite animal while starving","manøis plej preferatan beston kiam malsatmortonta"
"ate vermin while starving","manøis fibeston kiam malsatmortonta"
"beat somebody up","batis iun"
"punished somebody with beating","punis ion per batado"
"punished by beating","punita per batado"
"punished somebody with tool","punis iun per ilo"
"punished by tool","punis per ilo"
"cannot get punishment tool","ne povi preni ilon por puni"
"do not have enough chests","ne havas sufiæaj kestoj"
"do not have enough cabinets","ne havas sufiæajn þrankojn"
"do not have enough weapon racks","ne havas sufiæajn armilbretarojn"
"do not have enough armor stands","ne havas sufiæajn rakojn por arma¼o"
"eating without table","manøi sen tablo"
"eating at crowded table","manøi æe homplena tablo"
"eating in dining room","manøi en manøoæambro"
"eating without dining room","manøi sen manøoæambro"
"eating without chair","manøi sen seøo"
"rescued somebody","savis iun"
"completed job","plenumita tasko"
"lost property to taxes","perdi hava¼on je imposoj"
"pleased nobility","plaæis nobelaron"
"disappointed nobility","malkontenti nobelaron"
"pestered by flying micro vermin","koleretigita de flugantaj minifibestoj"
"cleaned self with soap","lavi sin per sapo"
"killed somebody in training accident","mortigis iun dum akcidento de ekzercado"
"drinking blood","trinkanta sangon"
"drinking without well","trinki sen puto"
"view favorite animal caged","vidis plej preferatan beston enkaøitan"
"view hated vermin caged","vidis plej malpreferatan fibeston enkaøitan"
"slept in room","dormis en æambro"
"slept on smooth floor","dormis sur glata planko"
"slept in mud","dormis sur koto"
"slept on grass","dormis sur herbo"
"slept on rough stone","dormis sur kruda þtono"
"slept on driftwood","dormis sur driva ligno"
"gave birth","naskis"
"received water","ricevis akvon"
"received food","ricevis manøa¼on"
"official meeting in bedroom","oficiala kunveno en dormoæambro"
"official meeting in dining room","oficiala kunveno en manøoæambro"
"official meeting without room","oficiala kunveno sen æambro"
"have tomb","havi tombon"
"have no tomb","havi nenian tombon"
"dead unit convicted","mortinta unuo kondamnita"
"research breakthrough","malkovro de esplorado"
"stuck on research topic","fiksita en esplortemo"
"ponder research topic","pripensi esplortemon"
"discuss research topic","diserti esplortemon"
"performed in incident","interpretis en incidento"
"saw performance in incident","spektis prezentadon en incidento"
"learned skill","lernis kapablon"
"learned written content","lernis skribitan enhavon"
"learned poetic form","lernis poezian formon"
"learned musical form","lernis muzikan formon"
"learned dance form","lernis dancan formon"
"taught skill","instruis kapablon"
"read written content","legis skribitan enhavon"
"wrote written content","verkis skribitan enhavon"
"make believe","imagino"
"play with toy","ludi per ludilo"
"did individual melee drills","faris individuajn batalajn simuladojn"
"improved skill","plibonigis kapablon"
"put on quality worn item","surmetis altkvalita eluzita¼o"
"active performance storyteller","aktiva prezentista rakontisto"
"active performance poem reciter","aktiva prezentista poema deklamisto"
"active performance simulated instrument","aktiva prezenta simulata instrumento"
"active performance instrument","aktiva prezenta instrumento"
"active performance singer","aktiva prezentista kantisto"
"active performance chanter","aktiva prezentista æantisto"
"active performance dancer","aktiva prezentista dancisto"
"active poetic form","aktiva poezia formo"
"active musical form","aktiva muzika formo"
"active dance form","aktiva danca formo"
"historical event collection","kolekto de historiaj eventoj"
"claimed artifact given away","pretendis artefakton fordonitan"
"preying on civilized for blood","predanta civiliziton por sango"
"after pondering the ineffable subtleties of ","post pripensi la neeldireblajn subtila¼ojn de "
"to provide opportunities for acts of valor to be performed","provizi þancojn je agoj kuraøaj esti interpretataj"
"that weapons be made","ke estu farotaj armiloj"
"in order to study","por lerni"
"in order to pursue scholarship","celi klerecon"
"due to a lack of performances","pro manko de prezentadoj"
"to fill a role as a performer","ludi rolon kiel interpretisto"
"to fill a role as a scholar","plenumi rolon kiel klerulo"
"in order to admire architecture","admiri ar¶itekturon"
"after being trapped in a cage","poste esti kaptita en kaøo"
"as part of a trade negotiation","kiel parto de komerca negoco"
"chemistry","¶emio"
"after the death of ","post la morto de "
"after ","post "
"after preying on the blood of civilized creatures","post predi la sangon de civilizitaj esta¼oj."
" became infatuated with "," enamiøis al "
" was bent toward supernatural vengeance upon "," estis klinita al supernatura venøo kontraý "
" held a deep hatred of "," tenis profundan malamon al "
" due to religious persecution"," pro religia persekuto"
" formed a grudge against "," kreis rankoron kontraý þi "
" became lovers"," iøis amantoj"
" broke up"," rompis"
" became friends "," amikiøis "
"due to a shared artistic interest","pro komuna belarta intereso"
" become friends over a shared love of athletics"," amikiøis pro komuna amo por al atletiko"
" developed an athletic rivalry"," evoluigis atletikan rivalecon"
" developed a business rivalry"," evoluigis komercan rivalecon"
" constructed a masterful "," konstruis majstra "
" masterfully dyed a "," majstre tinkturis "
"added a masterful image","aligis majstran bildon"
"added a masterful covering","aligis majstran kovron"
"added masterful rings","aligis majstraj ringojn"
"added masterful bands","aligis majstran bendojn"
"added masterful spikes","aligis majstrajn pikilojn"
"added a masterful chain","aligis majstran katenon"
"added a masterful rope","aligis majstran þnuron"
"added masterful rollers","aligis majstrajn rulilojn"
"added a masterful handle","aligis majstran tenilon"
"added masterful thread","aligis majstran fadenon"
"added masterful cloth","aligis majstra þtofo"
"wove a masterful sewn image","teksis majstran kudrobildon"
" prepared a masterful "," preparis majstran "
" created a masterful engraving"," kreis majstran gravura¼on"
" destroyed "," detruis "
" by melting"," per fandado"
" during fortification carving"," dum tajlado de fortika¼o"
" masterfully constructed by "," majstre konstruita de "
" masterfully dyed with "," majstre tinkturita per "
"addition of a masterful covering","aligo de majstran kovron"
"addition of masterful rings","aligo de majstraj ringojn"
"addition of masterful bands","aligo de majstrajn bandojn"
"addition of masterful spikes","aligo de majstraj pikiloj"
"addition of masterful rollers","aligo de majstrajn rulilojn"
"addition of a masterful handle","aligo de majstran tenilon"
"addition of masterful thread","aligo de majstra fadeno"
"addition of masterful cloth","aligo de majstra þtofo"
"writing of a masterpiece","verkis majstra¼on"
" prepared by "," preparita de "
"the masterful engraving","la majstran gravura¼on"
" led the attack"," kondukis la atakon"
"  The defenders were led by "," La defendantoj estis gvidataj de "
", and the defenders were led by ",", kaj la defendantoj estis gvidataj de "
" were hired "," estis dungitaj "
"as scouts ","kiel skoltoj "
"by the attackers.","de la atakantoj."
"  The defenders hired "," La defendantoj dungis "
" as scouts "," kiel skoltoj "
"the rampage of the forces of ","la furiozado de la fortoj de "
" throughout "," tra la tuta "
" fled "," fuøis "
"the fleeing of ","la fuøo de "
" searched "," seræis "
" and found nothing"," kaj trovis nenion"
"the search of ","la trovo de "
" by the forces of "," de la fortoj de "
" slipped into "," englitis en "
", undetected by ",", nerimarkite de "
"the infiltration of ","la enfiltriøado de "
"the attack on ","la atako al "
" defeated "," venkis "
"the defeat of ","la venko de "
" destruction of "," detruo de "
"looted treasure and seized livestock from","marodis trezoron kaj forkaptis brutaron de"
"stole treasure and livestock from","þtelis trezoron kaj brutaro el"
"looted treasure from","marodis trezoron de"
"stole treasure from","þtelis trezoron de"
"seized livestock from","forkaptis brutaron de"
"stole livestock from","þtelis brutaron de"
"raided","rudeniris"
"pillaged","marodis"
"raiding of ","trudenirado de "
"pillaging of ","marodado de "
" freed "," liberis "
"the freeing of ","la libero de "
" and placed "," kaj metis "
" in charge of "," estron de "
"The new government was called ","La nova regado estis nomita "
" and lordship of "," kaj sinjoreco de "
" over "," super "
" Summer"," Somero"
" tribute from "," tributo de "
" and took over "," kaj konkeris "
" and takeover of "," kaj konkero de "
" declared "," deklaris "
" to be a holy city"," por esti sankta situo"
"the declaration that ","la deklaro, ke "
" is a holy city"," estas sankta urbo"
" surrendered "," kapitulacis "
"the surrender of ","la kapitulaco de "
" routed "," disvenkis "
" and destroyed "," kaj detruis "
"the rout of ","la disvenko de "
" and destruction of "," kaj detruo de "
" spotted the forces of "," ekvidis la fortojn de "
" slipping out of "," glitante el "
"the detection of the forces of ","la malkovro de la fortojn de "
" leaving "," forirante "
"the attack of ","la atako de "
"several","pluraj"
" into "," en "
" repealed numerous oppressive laws"," nuligis multnombrajn subpremajn leøojn"
"the proclamation of a series of oppressive edicts upon ","la proklamo de serio de subpremaj ediktoj sur "
"the lifting of numerous oppressive laws from ","la æesigoj de multnombraj subpremaj leøoj el "
"the enactment of a series of oppressive laws","la promulgado de serio de subpremaj leøoj"
"the repeal of numerous oppressive laws","la nuligoj de multnombraj subpremaj leøoj"
" finished the construction of "," finigis la konstruado de "
" as a part of "," kiel parto de "
" connecting "," kunligante "
"the completion of ","la kompletigo de "
" thrust a spire of slade up from the underworld, naming it "," puþis spajron el slado supren el la submondo, nomante øin "
" rebuilt "," rekonstruis "
" constructed "," konstruis "
", and established a gateway between worlds",", kaj starigis enirejon inter mondoj"
" replaced "," anstataýigis "
"asked about","demandis pri"
" created "," kreis "
"the creation of ","la kreado de "
"the construction of ","la konstruado de "
"the foundation of ","la fondo de "
"the emergence of ","la apero de "
"the rebuilding of ","la rekonstruado de "
" from the underworld through the power of "," el la submondo per la potenco de "
"the replacement of ","la anstataýigo de "
"the razing of ","la detruado de "
"prayer inside","preøo ene de"
"disturbing","perturbante"
"profaning","profanante"
"inquiry after","enketo post"
"viewing of","spektado de"
", an insurrection",", popolribelo"
" launched an expedition to reclaim "," lanæis ekspedicion por pretendi "
"the reclamation of ","la rekupero de "
" devoured "," formanøis "
"but","sed"
"the tactical contest between ","la taktika konkurso inter "
"the tactics of ","la taktiko de "
"dying","mortonta"
" tamed the "," aldomigis la "
"the taming of the ","la aldomigado de "
" ambushed "," embuskis "
" despite the latter's wounds"," malgraý ci tiuj vundoj"
"ambush of","embuskado de"
" after a horrific combat"," poste horora batalo"
" after a punishing fight"," post malmilda batalo"
"discourse on ethics as it regards the benefit of the state","diserta¼o pri la etiko kiel øi koncernas la beneficon þtatan"
"discourse on medical ethics","diserta¼o pri la klinika etiko"
"discourse on the nature of truth","diserta¼o pri la naturo de la vero"
"discourse on the nature of justification","diserta¼o pri la naturo de la pravigo"
