"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Civilization symbol","Сымбаль цывiлiзацыi"
"Such an offense!","Як абразлiва!"
"thralldom","рабства"
"was intellectually stubborn and refused to listen","быў iнтэлектуальна ўпартым i адмовiўся слухаць"
" laughing"," смяецца"
"the production order violation","парушэннi вытворчага загаду"
"You do not have any zones.","У вас няма зон."
"Once a ramp is present, you can start using the regular mining command on the higher level.","Калi пандус з'явiцца, вы можаце пачаць выкарыстоўваць звычайную каманду здабычы на больш высокiм узроўнi."
"Items designated for dumping will be tossed into open air spaces included in this zone.  If no open air tiles are included, they will dump the items on the floor.","Рэчы, якiя выкiдваюцца на сметнiк, будуць выкiдвацца менавiта ў гэтую абмежаваную зону адкрытай прасторы. Калi такой зоны няма, то рэчы будуць скiнуты наўпрост на падлогу."
"Libraries are a location that can be created at a zone.","Бiблiятэкi - гэта месца, якое можна стварыць з зоны."
"Greatly respected for heroic acts","Вялiкая павага за гераiчныя ўчынкi"
"sacred ","сакральны "
"Quarreler","Спрачальнiк"
"Thirsty","Смага"
"noted murderer","адметны галаварэз"
"a few years ago","некалькi гадоў таму"
"Paper","Папера"
"the nature of truth","прырода iсцiны"
"I am not proud.","Я не ганаруся."
"Finish mining","Скончыць здабычу"
"to relax","каб адпачыць"
"I have nothing to say to you.","Мне няма чаго табе сказаць."
"Water wheel","Вадзяное кола"
"fell","упаў"
"Really quit without saving?","Выйсцi без захавання?"
"Change the material of the item being checked.","Змянiць матэрыял правяраемай рэчы."
"Now we just need to wait for the woodcutter to chop down the tree.  ","Цяпер застаецца толькi чакаць, пакуль дрывасек ссячэ дрэва. "
" assigned"," прызначаны"
"This creature is ecstatic right now.","Гэтая iстота зараз ў сапраўдным экстазе."
"a guildhall","гiльдзалу"
"Subject has used ","Суб'ект выкарыстаў "
"Haul: ","Перанесцi: "
"winter","зiмы"
"View","Прагляд"
"seeking work as a scholar","шукае працу ў якасцi навукоўца"
"Retire the fortress (for the time being)","Кiнуць крэпасць (на час)"
"job order violation","парушэнне працоўнага загаду"
"Horizontal axle","Гарызантальны вал"
"Preparing text objects...","Падрыхтоўка тэкставых аб'ектаў..."
"As your dwarves live and work in your fortress they will generate [C:6:0:1]Refuse[C:7:0:0]. ","Пакуль вашы гномы жывуць i працуюць у вашай крэпасцi, яны будуць ствараць [C:6:0:1]Адходы[C:7:0:0]. "
"  Subject was cagey and refused to comply.","  Суб'ект быў хiтры i адмовiўся падпарадкоўвацца."
"Talented hunter","Таленавiты паляўнiчы"
"the robbery","рабаванне"
"lords consort","лорды - кансорты"
"Setting material","Набор матэрыялаў"
"Tooltip","Падказка"
"the job order violation","парушэннi працоўнага загаду"
"Total number of each to scribe: ","Агульная колькасць рэчаў для напiсання: "
"to paint the stockpile.","каб абазначыць склад."
"Pets/Livestock","Гадав./Скацiна"
"discourse on ethics as applied to interpersonal conduct","дыскурс аб этыцы ў дачыненнi мiжасобасных стасункаў"
"Show improvement quality in item names","Паказаць якасць паляпшэння ў назвах прадметаў"
"Click on category headings to collapse and expand them. ","Нацiснiце на загалоўкi катэгорый, каб згарнуць i разгарнуць iх. "
"a distrustful nature","недаверлiвы характар"
"General work orders allowed: ","Агульна - працоўныя загады дазволены: "
"were ","былi "
"Paralyzed","Паралiзаваны"
"Instrument","Музычны iнструмент"
"Clothing and leather","Адзенне i скура"
"being swayed by the emotional appeal","пад уплывам эмацыйнай прывабнасцi"
"must first be activated","трэба спачатку актываваць"
"glass and burning wood","шкло i гаручае дрэва"
"elevation ","узвышэннi "
"valuing harmony","шануючы гармонiю"
"belief in the law","вера ў закон"
"Select or create a route.","Выберыце або стварыце маршрут."
" ambushed "," трапiў у засаду "
"panics","панiкуючы"
"star catalogue","зорны каталог"
"accepted out of loyalty to","пагадзiўся праз лаяльнасць да"
"Gather fruit in trees in and just above this zone.  Requires a stepladder.","Збiраць садавiну на дрэвах i ў гэтай зоне. Патрабуюцца драбiнкi."
"Creature","Iстота"
"Needs to be anchored on edge","Неабходна замацаваць на краi"
"respected for heroic acts","паважаны за гераiчныя ўчынкi"
"It is recommended to place a certain number of [C:6:0:0]Cages[C:7:0:0] and [C:6:0:0]Chains[C:7:0:0] and assign them to a [C:3:0:0]Dungeon[C:7:0:0] zone. ","Рэкамендуецца размясцiць пэўную колькасць [C:6:0:0]Клетак[C:7:0:0] i [C:6:0:0]Ланцугоў[C:7:0:0] i прызначыць iх у зону[C:3:0:0]Падзямелля[C:7:0:0 ]. "
"[C:6:0:0]Traction Benches[C:7:0:0] which can be built at the [C:6:0:0]Mechanic's Shop[C:7:0:0].","[C:6:0:0]Тракцыённыя сталы[C:7:0:0], якiя можна вырабiць  у [C:6:0:0]Механiчнай майстэрнi[C:7:0:0]."
"Cupidity","Сквапнасцi"
"burning ","палае "
"passionate","палкi"
"Other stone","Iншыя камянi"
"Accepting tribute","Прымаючы аброк"
"Preach on ","Прапаведаваць "
"Locations such as taverns, temples","Такiя месцы, як корчмы, храмы"
" Corpse"," Труп"
"Take it easy","Супакоiцца"
"accepting","прымаючы"
"acquiesced to the argument","мiмаволi пагадзiўся з аргументам"
"admiring ","захапляецца "
"I'm not feeling very affectionate.","Я не адчуваю ласкi."
"Adding water","Даданне вады"
"Framr","Падставiць"
"Astonished?  No.","Здзiўленне?  Не."
"Drowning","Тоне"
"an improvised dance, ","iмправiзаваны танец, "
"looks dejected","выглядае прыгнечаным"
"Saving belief systems...","Захаванне сiстэм вераванняў..."
"Recenter to ","Перайсцi да "
"Your site government","Ваш мясцовы ўрад"
