"more presumptious","m†s presuntuoso"
"Two uninstalled mods have the same id and numeric version: ","Dos mods desinstalados tienen la misma identificaci¢n y versi¢n numÇrica: "
"Load cage trap","Cargar una trampa de jaula"
"I am unfit to brave danger with you.","No soy digno de desafiar el peligro contigo."
"Subject confessed to ","Sujeto confes¢ a "
"Valuable gems and precious metals can be found, along with richer soil, ","Se pueden encontrar valiosas gemas y metales preciosos, junto con un suelo m†s rico, "
"I'm not planning a journey.","No estoy planeando un viaje."
" has grown attached to a "," ha crecido unido a una "
"metaphor","metafora"
"Click to request workers","Haga clic para solicitar trabajadores"
"direct inference","inferencia directa"
"will be installed at ","se instalar† en "
"Handle charging attacks according to the opponent.","Maneja los ataques de carga seg£n el oponente."
" held a deep hatred of "," sent°a un profundo odio por "
"values a harmonious existence","valora una existencia harmoniosa"
"You cannot travel through the ","No puedes viajar a travÇs del "
"Owner","Due§o"
"Work orders cannot be assigned to this building.","No se pueden asignar ¢rdenes de trabajo a este edificio"
"was in ","estaba en "
"is very long and incredibly muscular","es muy largo y es incre°blemente musculoso"
"addition of a masterful instrument piece","incorporaci¢n de una pieza instrumental magistral"
" always points at others when greeting them"," siempre apunta a otros cuando los saluda"
"Tracking","Rastrear"
" worthy of respect"," digno de respeto"
"Some migrants have arrived at this miserable place.","Algunos migrantes han llegado a este miserable lugar."
"been found dead, completely drained of blood!","sido encontrado muerto, sin una gota de sangre!"
"became obsessed with ","se obsesion¢ con "
"Track/Ramp (NSE)","Trayectoria/Rampa (NSE)"
"collaborative creation","creacion colaborativa"
"Priesthood unit count","Recuento de unidades del sacerdocio"
"history:form:biographical dictionaries","historia:forma:diccionario biogr†fico"
"Glazing","Esmaltar"
"It's too much!  You might not be able to keep it down.","≠Es demasiado! Es posible que no puedas mantenerlo bajo."
"a meager ability with social relationships","una escasa capacidad con las relaciones sociales"
"doesn't care about nature one way or another","no se preocupa por la naturaleza de una forma u otra"
"     --> Vulnerable to stress","     --> Vulnerable a estrÇs"
"phrases of varied length","frases de longitud variada"
"plays ","toca "
"Prosperity","Prosperidad"
"[C:6:0:1]Ore[C:7:0:0] is mined underground, below the soil layers.","El [C:6:0:1]Mineral[C:7:0:0] se extrae bajo tierra, debajo de las capas del suelo."
"very good intuition","muy buena intuicion"
"jubilation","j£bilo"
"Speaker","Lancero"
"The sky is striped with thin clouds.","El cielo est† cubierto de finas nubes."
"Animal Care","Cuidado animal"
"This is a small creature within the trap.","Esta es una peque§a criatura dentro de la trampa."
"less inclined to create","menos inclinado a crear"
"Fire","fuego"
"stopped being the parent of","dej¢ de ser el padre de"
"Area inaccessible","Area inacesible"
"distant","distante"
"the delayed punishment of a criminal","el castigo tard°o de un criminal"
"Change the squad's symbol.","Cambia el s°mbolo de la escuadra."
"/Water","/Agua"
"Probing","Sondeado"
"is concerned only with matters practical to the situation at hand, with absolutely no inclination toward abstract discussion","se ocupa solo de asuntos pr†cticos para la situaci¢n en cuesti¢n, sin ninguna inclinaci¢n hacia la discusi¢n abstracta"
"Your location","Tu ubicaci¢n"
"Architecture:","Arquitectura:"
" and puts it in "," y ponlos en "
" covers "," coberturas "
"cup-bearer","portador de la copa"
"To fully function your [C:1:0:1]Hospital[C:7:0:0] needs to have [C:6:0:0]Beds[C:7:0:0], ","Para funcionar completamente, tu [C:1:0:1]Hospital[C:7:0:0] necesita tener [C:6:0:0]Camas[C:7:0:0], "
"Woodcutters","Le§adores"
" scramble"," mezclar"
"is very tall and skinny","es muy alto/a y delgado/a"
"Pick ","Elegir "
"I just don't know.","Simplemente no lo se. "
"Legends speak of ","Las leyendas hablan de "
"Workers save bones","Los trabajadores guardan los huesos"
"Ice Track (NW)","V°a Congelada (NO)"
"is prone to strong feelings of lust","es propenso a fuertes sentimientos de lujuria"
"Any trainer","Cualquier entrenador"
"Link a building to trigger","Vincular un edificio para desencadenar"
" that isn't a bin"," eso no es un contenedor"
" octave range "," octavo rango "
"Fog","Niebla"
"Do not automate smelter","No automatice la fundici¢n"
" was lost"," se perdi¢"
"stole livestock from","rob¢ ganado de"
"a strongly favored","un fuertemente favorecido"
"an attack by a beast","un ataque de una bestia"
"Saving units...","Guardando unidades..."
"Stone ","Piedra "
" arrangements than I do."," Arreglos que hago."
"Population: ~300","Poblaci¢n: ~300"
"Polish ","Pulir "
"Appraiser","Tasador"
"geometric objects","objetos geomÇtricos"
"the river","el r°o"
"waxing half moon","cuarto creciente"
"lanky","larguirucho"
"has an extremely broad body with very little fat","tiene un cuerpo extremadamente ancho con muy poca gordura"
"Choose which squads will use this barracks.","Elige quÇ escuadrones usar†n estas barracas."
"fear","miedo"
"the ampoule","la ampolla"
"You can alternate between standing and a prone position by clicking the indicated button or pressing ","Puede alternar entre la posici¢n de pie y la de dec£bito prono pulsando el bot¢n indicado o pulsando "
" to rethink "," repensar "
"shows a hint of tenderness","muestra un toque de ternura"
"State minor feeling of patience","Expresar ligera sensaci¢n de paciencia"
"Adequate","Adecuado"
"The World","El Mundo"
"being yelled at by an unhappy worshipper","ser gritado por un adorador infeliz"
"geography:theory:latitude climate zones","geograf°a: teor°a: latitud zonas clim†ticas"
" created "," creado "
"  This "," Esto "
"anxiety","ansiedad"
"[C:7:0:1]Libraries[C:7:0:0]","[C:7:0:1]Bibliotecas[C:7:0:0]"
"did not find instrument piece ","no encuentra pieza instrumental "
"You might want to check your maximum volcanism value.  ","Es posible que desee comprobar su valor m†ximo de vulcanismo. "
"Any ability you possess that doesn't fit elsewhere will appear here.  For instance, many creatures can spit or pet animals.  Others can breathe fire.  ","Cualquier habilidad que poseas y que no encaje en ning£n otro lugar aparecer† aqu°. Por ejemplo, muchas criaturas pueden escupir o acariciar animales. Otros pueden escupir fuego. "
"Creatures...","Criaturas..."
"dark tower","torre oscura"
" voice very quiet when "," voz muy tranquila cuando "
"the Frozen Wastes","los bald°os helados"
"vomit","v¢mito"
"In memory of","En memoria de"
"the force pump","la bomba de fuerza"
"Tantrum (possessed by ghost)","Rabieta (pose°do por un fantasma)"
"Light","Luz"
"reproductive behavior","comportamiento reproductivo"
"Population: ~30","Poblaci¢n: ~30"
" is terrible."," es terrible."
"Good focus","Buena concentracion "
"Verge Escapements","Escapes de borde"
"a free room","un cuarto libre"
" Track (E)"," V°a (E)"
"Card unrecognized: ","Tarjeta no reconocida: "
"[C:6:0:1].Extreme swelling","[C:6:0:1].Hinchaz¢n extrema"
"State feelings of great grouchiness","Expresar sentimientos de gran mal humor"
" line of "," linea de "
"Strand Extractor","Sacahebras"
"State that you are conflicted","Manifestar que est†s en conflicto"
"Shield","Escudo"
"Only a fool would travel alone at night!  Take shelter or the bogeyman will get you.","≠Solo un idiota viajar°a en solitario por la noche! Busca refugio o el bogeyman te coger†."
"exec hacked to pieces","ejecutado cortado en pedazos"
"lengthy ","largo "
"assassinate actor","asesinar actor"
"methods of adjusting maps to account for the shape of the world","los mÇtodos de ajuste de mapas teniendo en cuenta la forma del mundo"
"Honesty","Honestidad"
"improvised music, ","musica improvisada, "
"Stagnant salt water [","Agua salada estancada ["
" play"," jugar"
"Infamous intruder","Intruso infame"
"the plot of ","la trama de "
"by","por"
"Quiet","Tranquilo"
"active performance chanter","cantor de actuaci¢n activo"
"Many ","Mucho "
"sewn-imageless ","cosido-sin patr¢n "
"bag-processable ","bolsa procesable "
"Holding terrain","Terreno de retenci¢n"
"water displacement","desplazamiento de agua"
"the rampage of the forces of ","el arrasamiento de las fuerzas de "
"!  Today only","! Solo por hoy"
"Embezzlement","Malversaci¢n"
" values parties and merrymaking in the abstract"," valora las fiestas y el jolgorio en el sentido abstracto"
"Reclaim ","Recoger "
"Along with combat, conversations are where most of the events in play happen.  You can obtain quests, followers, information, ","Junto con el combate, en las conversaciones es donde ocurren la mayor°a de eventos. Puedes conseguir misiones, seguidores, informaci¢n "
"steady","estable"
"Removed from guard","Eliminado de la guardia"
"Woven clothing shop","Tienda de ropa tejida"
"corrupt dealings","tratos corruptos"
"joining a traveling group","uniÇndose a un grupo viajero"
"asset","activo"
"skulking vermin","alima§a escurridiza"
"Unnamed sculpture garden","Jardin de esculturas sin nombre"
"I conducted an official meeting in a dining room.","Dirig° una reuni¢n oficial en un comedor."
", - is silent",", - es mudo"
"(Wrestle) Strangle","(Lucha) Estrangular"
"I am returning it to ","Lo estoy devolviendo a "
"entering the nobility","entrando en la nobleza"
"Toggle the dump status of the item.  Items are dumped in dumping zones.","Alternar el estado de volcado del elemento. Los art°culos se arrojan en las zonas de descarga."
"greatly respects artists and their works","respeta mucho a los artistas y sus obras"
"finds something humorous in everything, no matter how serious or inappropriate","encuentra algo gracioso en todo, no importa cu†n serio o inapropiado"
"select [C:5:0:1]""Trade""[C:7:0:0].  Don't worry if you have no [C:5:0:0]Broker[C:7:0:0], just select [C:5:0:1]""Anyone can Trade""[C:7:0:0].  You cannot trade ","seleccione [C:C:5:0:1]""Comercio""[C:C:7:0:0]. No se preocupe si no tienes [C:C:5:0:0]Br¢ker/agente comercial[C:C:7:0:0], simplemente seleccione[C:C:5:0:1]""Cualquiera puede comerciar""[C:C:7:0 :0]. No puedes comerciar "
"anapaestic","anapÇstico"
"father","padre"
"lasher","azotador"
"It sure is dark down here.","Seguro que est† oscuro aqu° abajo."
":heads:heads",":cabezas:cabezas"
"Throneroom","Sal¢n del Trono"
"Make Believe","Imaginaci¢n"
"We will be successful.","Nosotros seremos exitosos."
" have returned."," han regresado."
"An ambush!  Curse them!","≠Una emboscada! ≠Malditos sean!"
"nocking","encocando"
"Custom Workshop","Taller Personalizado"
"Requires an item with a sharp edge.","Requiere un objeto con un borde afilado."
"high precision","alta precisi¢n"
" confronted "," confrontado "
"Ask for directions (new menu)","Preguntar por direcciones (nuevo menu)"
"Learned a power","Aprendi¢ un poder"
"shrill","estridente"
" witnesses"," Testigos"
"executioner","verdugo"
"This isn't confusing.","Esto no es confuso."
"The assigned vehicle wants to be at this stop but is not currently there.  A worker may be bringing it, or it may be stranded.","El veh°culo asignado quiere estar en esta parada pero actualmente no est† all°. Un trabajador puede traerlo, o puede estar varado."
"An ambush!  Curse all friends of nature!","≠Una emboscada! ≠Malditos sean todos los enemigos de la naturaleza!"
"refugee","refugiado"
"Move the camera up","Mover la c†mara hacia arriba"
"thinks that the entire concept of sacrifice for others is truly disgusting","piensa que todo el concepto de sacrificio por los dem†s es realmente repugnante"
"mathematics:geometry:area of triangle from side lengths","matem†ticas:geometr°a:†rea de un tri†ngulo por la longitud de sus lados"
"Plant growth (?)","Crecimiento de la planta (?)"
"Counting House Storage","Almacenamiento de la casa de conteo"
