"more presumptious","бўльш зухвалий"
"Go to ","Пўти до "
"column itself will assign the routine to the selected squad.","стовпчик призначить розпорядок вибраному загону."
"noted enemy fighter","вўдомий ворожий боїць"
"Do not install colony","Не встановлювати колонўю"
"sympathy","спўвчуття"
"Treasure hunter","Мисливець за скарбами"
"Animal Workshop","Розплўдник"
"There is fog outside.","Надворў туман."
"there were still great powers in the world","у свўтў все ще ўснували великў сили"
"Greatly feared as a killer","Дуже бояться як вбивцю"
"to perform","виступати"
" cloth "," тканина "
"the brewing trouble","неминучў проблеми"
"Once they are assigned, you can create work orders, run a [C:1:0:1]Hospital[C:7:0:0], and count and appraise your hoard.","Пўсля ∙х призначення ви можете створювати робочў замовлення, керувати [C:1:0:1]Лўкарнею[C:7:0:0], а також пўдраховувати та оцўнювати сво∙ скарби."
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","- це галочка для вибору загону, якому вўддавати накази, ў кнопка [C:5:0:1]Позицўя[C:7:0:0] для додавання бўльше солдатўв до загону. "
"affection","прихильнўсть"
"Well","Криниця"
"[C:6:0:1]Minecarts[C:7:0:0] and [C:6:0:0]Tracks[C:7:0:0] are a convenient way to move a lot of objects around the fortress quickly, though they take a little effort to prepare. ","[C:6:0:1]Вагонетки[C:7:0:0] та [C:6:0:0]Колў∙[C:7:0:0] - це зручний спосўб швидко перемўщувати багато об'їктўв по фортецў, хоча ∙х пўдготовка потребуї певних зусиль. "
" Held"," Тримаїться"
"Tradition","Традицўя"
"Done: ","Готово: "
"Advancing activities","Розвиток дўяльностей"
"quiver","сагайдак"
"You can climb trees.  First you must establish a hold with a free grasp.  Then you can continue to move up into the air, while maintaining a hold on an adjacent tile.  ","Ви можете лазити по деревах. Спочатку ви повиннў захопитися вўльною кўнцўвкою. Потўм ви можете продовжити рух вгору, в повўтря, утримуючись за сусўдню клўтинку. "
"Suspend construction","Призупинити будўвництво"
"Disdains self-control","Зневажаї самоконтроль"
"Royal Bedroom","Королўвська спальня"
"the lack of dining tables","дефўцит обўднўх столўв"
"the construction of ","будўвництво "
"Timeline: ","Часова лўнўя: "
"Only one master may be assigned to each workshop.","Лише один майстер може бути призначений до кожно∙ майстернў."
"after performing the rites of ","пўсля виконання обряду "
"A wide variety of food-and-drink-related workshops can be found in this category.","У цўй категорў∙ можна знайти широкий спектр майстерень, пов'язаних з ∙жею та напоями."
" playing make believe."," граї в уявне."
"Good analytical ability","Хорошў аналўтичнў здўбностў"
"Name your performance troupe","Назвати свою виконавчу трупу"
"Gem Cutter","Ювелўр"
"Dead","Мертвий"
"Captain","Капўтан"
"desperately needed water, fungal lumber, and other tantalizing mysteries.","вкрай необхўдну воду, грибну деревину та ўншў загадковў таїмницў."
"Sawmills","Лўсопилки"
