"more presumptious","bardziej arogancki"
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","to znacznik wyboru, aby wybraÜ oddziaà do wydawania rozkaz¢w, oraz przycisk  [C:5:0:1]Pozycja[C:7:0:0] do dodawania wi©kszej iloòci æoànierzy do oddziaàu. "
"Convicts","Oskaræeni"
"affection","czuàoòÜ"
"That was satisfying.","To byào satysfakcjonuj•ce."
"Adding snow","Dodawanie òniegu"
"State feelings of nervousness","Uczucie nerwowoòci"
"Well","Studnia"
"[C:6:0:1]Minecarts[C:7:0:0] and [C:6:0:0]Tracks[C:7:0:0] are a convenient way to move a lot of objects around the fortress quickly, though they take a little effort to prepare. ","[C:6:0:1]Wagoniki[C:7:0:0] i [C:6:0:0]Tory[C:7:0:0] s• wygodnym sposobem na szybkie przemieszczanie wielu obiekt¢w po fortecy, chociaæ ich przygotowanie wymaga nieco wysiàku. "
"were added for the counteroffer:","zostaày dodane w ramach kontroferty:"
"A new chapter of dwarven history begins here at this place, ","W tym miejscu rozpoczyna si© nowy rozdziaà historii krasnolud¢w, "
" Held"," Trzymany"
"Tradition","Tradycja"
"Done: ","Gotowe: "
" became childhood friends"," zostali przyjaci¢àmi z dzieci‰stwa"
"simple passage","proste przejòcie"
"quiver","koàczan"
"You can climb trees.  First you must establish a hold with a free grasp.  Then you can continue to move up into the air, while maintaining a hold on an adjacent tile.  ","Moæesz wspinaÜ si© na drzewa. Najpierw musisz zàapaÜ si© za drzewo, trzymaj•c je swobodnie. Nast©pnie moæesz wspinaÜ si© wyæej, trzymaj•c si© s•siedniej pàytki. "
"Suspend construction","Zawieszenie budowy"
"Disdains self-control","Gardzi samokontrol•"
"Royal Bedroom","Kr¢lewska sypialnia "
"the lack of dining tables","brak stoà¢w w jadalni"
"I'm at my best under pressure.","Najlepiej radz© sobie pod presj•."
"Learned to ","Nauczyà si© "
"the construction of ","budowa "
"Recenter on the surface at this location.","Wycentruj na powierzchni w tym miejscu."
"Processing creatures...","Przetwarzanie stworze‰..."
"the fall of","upadek"
"acquired artifact","nabyty artefakt"
"Timeline: ","Linia czasowa: "
"is incredibly short yet has extremely strong muscles hidden under massive lardy rolls","jest niewiarygodnie niski, lecz ma ekstremalnie silne mi©ònie ukryte pod ogromnymi zwaàami sadàa"
" somewhere "," gdzieò "
"disappointed nobility","rozczarowana szlachta"
"Merchants unloading","Kupcy wyàadowuj• towary"
"watery","wodnisty"
"Only one master may be assigned to each workshop.","Tylko jeden mistrz moæe zostaÜ przypisany do kaædego warsztatu."
"tough","twardy"
"after performing the rites of ","po wykonaniu rytuaà¢w "
" shadowed"," zacieniony"
"Friendly","Przyjazny"
"A wide variety of food-and-drink-related workshops can be found in this category.","W tej kategorii moæna znale´Ü szeroki wyb¢r warsztat¢w zwi•zanych z jedzeniem i piciem."
"feeling self-pity","czuje æal za siebie"
" playing make believe."," bawiÜ si© w udawanie."
"Good analytical ability","Dobre zdolnoòci analityczne"
"Name your performance troupe","Nadaj nazw© swojej grupie artystycznej"
"You need to assign a ","Musisz przydzieliÜ "
"Gem Cutter","Szlifierz"
"Dead","Martwy"
"discussing father's problems","omawianie problem¢w ojca"
"ash paste","pasta popioàowa"
"astronomy:path of the moon","astronomia:òcieæka ksi©æyca"
" has been misplaced.  No doubt "," zostaà ´le umieszczony. Bez w•tpienia "
"favorable ","korzystny "
" a reflective"," odblaskowy"
" with"," z"
"The world generator is having trouble placing swamps and marshes.  ","Generator òwiata ma problemy z umieszczaniem bagien i mokradeà. "
"quintain","manekin Üwiczebny"
"Captain","Kapitan"
"The world generator is having trouble placing glaciers.  ","Generator òwiata ma problemy z umiejscowieniem lodowc¢w. "
"State minor feeling of dislike","Nieznaczne uczucie niech©ci"
"desperately needed water, fungal lumber, and other tantalizing mysteries.","rozpaczliwie potrzebn• wod©, drewno grzybowe i inne kusz•ce tajemnice."
"a loyal soldier","lojalny æoànierz"
"Gladly.  I will be your ","Z przyjemnoòci•.  B©d© twoim "
"Each of the ","Kaædy z "
"Sawmills","Tartaki"
"will be made into","zostan• przerobione na"
"Masterwork?  Why should I care?","Arcydzieào?  Dlaczego powinienem si© przejmowaÜ?"
"fortress","twierdza"
"being afraid","b©d•c przeraæonym"
"An earnest effort at any required tasks.  That's all that's needed.","Maksymalny wysiàek przy kaædym moæliwym zadaniu. To wszystko czego potrzeba."
"the construction and use of the camera obscura","budowa i zastosowanie camera obscura"
"I'm unhappy.","Jestem niescz©òliwy."
"I am a ","Jestem "
"Guard post","Posterunek straæy"
"next to no willpower","brak siày woli"
"less depressed","mniej depresyjny"
"Wild Animal","Dzikie Zwierz©"
"What shall I do?  This is a disaster!","Co mam zrobiÜ?  To katastrofa!"
"been executed by drowning.","zostaà stracony przez utopienie."
"ceased to be a claimant for ","przestaà byÜ powodem dla "
"translation","tàumaczenie"
"I cannot abandon my pilgrimage.","Nie mog© porzuciÜ mojej pielgrzymki."
"State that you love ribald poems","Stwierdzenie, æe uwielbiasz rubaszne wiersze"
"Body parts","Cz©òci ciaàa"
"Create","Stw¢rz"
"Tactical mode can be set by a button near the companion mode button on the main menu if you have multiple party members.","Jeòli masz wielu czàonk¢w druæyny, tryb taktyczny moæna wà•czyÜ za pomoc• przycisku znajduj•cego si© obok przycisku trybu towarzysza w menu gà¢wnym."
"I only work so hard, but sometimes you have to do what you have to do.","Tylko ci©æko pracuj©, ale czasami musisz zrobiÜ to, co zrobiÜ trzeba."
"Vermin Hunting","Polowanie na Robactwo"
"Lustful","Poæ•dliwy/a"
"arranged in double braids","uàoæone w podw¢jne warkocze"
"I am a slave of ","Jestem niewolnikiem "
"prefers a noisy, bustling life to boring days without activity","woli haàaòliwe, t©tni•ce æyciem otoczenie od nudnych dni bez æadnych zaj©Ü"
"the hourglass","klepsydra"
"There's nothing to be upset about.","Nie ma czym si© denerwowaÜ."
", Pos ",", Poz "
"I don't feel isolated.","Nie czuj© si© izolowany."
"is tall and very skinny","jest wysoki i bardzo chudy"
"snatcher","zàodziej"
"Depression-prone","Skàonny do depresji"
"possibly unknown director","prawdopodobnie nieznany reæyser"
"the equality of the base angle of isosceles triangles","r¢wnoòÜ k•t¢w podstawy tr¢jk•t¢w r¢wnoramiennych"
"That's incredibly suspicious!","To jest niewiarygodnie podejrzane!"
"living pits (20,50,40)","doày mieszkalne (20,50,40)"
"Frozen Here","Zamroæenie Tutaj"
"a shell","muszla"
" legwear"," odzieæ na nogi"
".  Will you have me?",". Przyjmiesz mnie?"
"Only organized religions can have recognized priesthoods.","Jedynie zorganizowane religie mog• posiadaÜ uznane kapàa‰stwo."
"the mace","buzdygan"
"What can you tell me about ","Co moæesz mi powiedzieÜ o "
"Patient not resting","Pacjent nie odpoczywa"
"[C:6:0:0].Minor melting","[C:6:0:0].Lekkie stopienie"
" casket"," szkatuàa"
"participation","branie udziaàu"
"a verse","wers"
"Like others in ","Jak pozostali w "
"No mud/soil for farm","Brak bàota/gleby pod upraw©"
" from behind"," od tyàu "
"becomes frenzied as it proceeds","staje si© szale‰czy w miar© post©p¢w"
"Pick up","Podnieò"
"the axe","top¢r"
"frenetic","szalony"
"the Pulley","koào pasowe"
"is scrawny yet extremely tall","jest wychudzony, lecz ekstremalnie wysoki"
"have thin irises","ma cienie tencz¢wki"
"That sounds like the ","To brzmi jak "
"Fail to grab hold","Nieudana pr¢ba chwycenia"
"visitors drinks. There is also an option to allow outsiders to come to your [C:1:0:1]Tavern[C:7:0:0].","goòciom napoje. Jest teæ opcja pozwolenia postronnym na przychodzenie do twojej [C:1:0:1]Karczmy[C:7:0:0]."
"Make sure your parameters and presets aren't so variable that biomes change frequently.  ","Upewnij si©, æe parametry i ustawienia wst©pne nie s• tak zmienne, æe biomy zmieniaj• si© cz©sto. "
"laired within","uàoæone wewn•trz"
"philosophy:logic:syllogistic logic","filozofia:logika:logika sylogistyczna"
"is stubborn","jest uparty"
"Beating.","Bicie."
"the Center","Centrum"
"Give food","DaÜ jedzenie"
"in order to admire architecture","w celu podziwiania architektury"
"Justice","Prawo"
"was too unsettled by death to face it and agreed","byà zbyt zaniepokojony òmierci•, by stawiÜ temu czoàa i zgodzià si©"
"covers its entire range","obejmuje caày jej zakres"
"The musician ","Muzyk "
"display on ","wyòwietlacz wà•czony "
"Sort by distance from the depot.","Posortuj wedle odlegàoòci od magazynu."
" bruising"," siniacz•c"
"Failed to find vanilla creatures graphics header.","Nie udaào si© znale´Ü nagà¢wka grafiki vanilla creatures."
"that war might rage forever","æe wojna moæe trwaÜ wiecznie"
"the Battle","Bitwa"
"dialectic reasoning","rozumowanie dialektyczne"
"Early morning","Wczesny poranek"
"fantastic creatures were but mere stories told by travelers.","fantastyczne stworzenia byày tylko opowieòciami podr¢ænik¢w."
"Move keyboard cursor down and left","Przesuni©cie kursora klawiatury w d¢à i w lewo"
" exposition"," ekspozycja"
"the Negation","Negacja"
"the source of the voice","´r¢dào gàosu"
"legendary intruder","legendarny intruz"
"Thank you.  I will take excellent care of this majestic creature.","Dzi©kuj© ci. ówietnie zajm© si© tym majestatycznym stworzeniem."
" is here, and "," jest tu i "
"Adventure awaits","Przygoda czeka"
"a masterpiece","arcydzieào"
"having a mandate ignored","ignorowanie mandatu"
"legendary trade partner","legendarny partner handlowy"
"the Orrery","Orrery"
"You have a weapon available to draw.  Click to draw it.","Masz dost©pn• bro‰ do wyci•gni©cia. Kliknij, aby j• dobyÜ."
"ancient force of nature","staroæytna siàa natury"
"the tactics of ","taktyka "
"in order to relax","w celu zrelaksowania si©"
" indiv choice, melee"," indyw wyb¢r, wr©cz"
"after being unable to be extravagant","po braku moæliwoòci bycia ekstrawaganckim"
"content","zadowolony"
"Width","szerokoòÜ"
"Petition ignored","Petycja zignorowana"
"scuffle","b¢jka"
"A festival commemorating ","Festiwal upami©tniaj•cy "
"metal crafter shop (128,128,128)","sklep dla rzemieòlnik¢w metalu (128,128,128)"
"minced ","mielony "
"lye slush","breja àugowa"
"You must designate a tomb","Musisz przypisaÜ grobowiec"
"has incredible muscles over a small build","ma niewiarygodne mi©ònie, choÜ jest drobnej budowy"
"Twilight","Zmierzch"
"The signs lead south.","Znak prowadzi na poàudnie"
"throne","tron"
"It would be wonderful if ","Byàoby wspaniale gdyby "
"left troupe","lewy zesp¢à"
"choking on smoke underground","dàawienie si© dymem pod ziemi•"
"Tent (Bld)","Namiot (Bld)"
"Erosion Cycle Count","Liczba cykli erozji"
"Seventeenth","Siedemnasty"
"Empty market","Opustoszaày rynek"
"tenth eldest daughter","dziesi•ta c¢rka"
"sees war as a useful means to an end","postrzega wojn© jako uæyteczny òrodek do celu"
"Tanning Workshop","Warsztat Garbarski"
"The world generator is having trouble placing enough ocean squares along the edges.  ","Generator òwiata ma problem z umieszczeniem wystarczaj•cej liczby kwadrat¢w oceanu wzdàuæ kraw©dzi. "
"Knife User","Noæownik"
"Detect","Wykryto"
"Left click to choose corners of a rectangle.","Kliknij lewym, aby wybraÜ naroæniki prostok•ta."
"Archery target","Cel àuczniczy"
"falling-rising","opadaj•cy-wznosz•cy si©"
" slabs engraved"," wygrawerowanych pàyt"
"(spans ","(rozci•ga si© na "
"Reply to greeting (impersonation)","Odpowiedz na powitanie (podszywanie si©)"
"  I'll show you calm!","  Ja ci pokaæ© spok¢j!"
"from afar","z daleka"
" my "," m¢j "
" often points and shakes "," cz©sto wskazuje i potrz•sa "
"Pull out and drop item","Wyci•ganie i upuszczanie przedmiotu"
" always smiles nervously"," zawsze nerwowo si© uòmiecha"
"judges","s©dziowie"
"Unlike [C:6:0:0]Stockpiles[C:7:0:0], multiple [C:3:0:0]Zones[C:7:0:0] can overlap.","W przeciwie‰stwie do [C:6:0:0]Magazyn¢w[C:7:0:0], kilka [C:3:0:0]Stref[C:7:0:0] moæe na siebie nachodziÜ."
"[C:5:0:1].Moderate rot","[C:5:0:1].Umiarkowana zgnilizna"
" is trying to remember something"," pr¢buje sobie coò przypomnieÜ"
" life by any means"," æycie za wszelk• cen©"
"the friendship of ","przyja´‰ "
"powder grinding","mielenie proszku"
"yourself","ciebie"
"[C:6:0:1]Summer","[C:6:0:1]Lato"
"Seek Ladder to Climb","Szukaj drabiny do wspinaczki"
"colored","kolorowy"
"is short with well-defined muscles","jest niski z dobrze zarysowanymi mi©òniami"
"chaining up a creature","uwi•zanie stworzenia na àa‰cuchu"
"Stuck in ","Utkn•Ü w "
"Some things should never change.","Pewne rzeczy nie powinny si© zmieniaÜ."
"star charts","wykresy gwiazd"
"bookkeeper","ksi©gowy"
" by melting"," przez stopienie"
"armorsmith shop (0,0,0)","zbrojownia (0,0,0)"
"Conversations occur over time, like movements and attacks.  ","Rozmowy tocz• si© w czasie, podobnie jak ruchy i ataki. "
"ichorous ","ichoryczny "
"series of","seria"
"Partially paralyzed","Cz©òciowo sparaliæowany"
"miner","g¢rnik"
"Armor stand","Stojak na zbroje"
" fall"," spadek"
"Upon creation of the [C:1:0:1]Location[C:7:0:0] you must choose which deity to dedicate the [C:1:0:1]Temple[C:7:0:0] to, if any. ","Przed stworzeniem [C:1:0:1]Lokacji[C:7:0:0] musisz wybraÜ, kt¢remu b¢stwu, jeòli w og¢le kt¢remuò, poòwi©ciÜ [C:1:0:1]ówi•tyni©[C:7:0:0]. "
"I didn't sleep soundly due to the noise.","Nie spaàem spokojnie z powodu haàasu."
" straight-lined"," prosty"
"I'm very empathetic.","Mam w sobie duæo empatii."
"claims it as a family heirloom","twierdzi, æe jest to pami•tka rodzinna"
"has an extremely short body that is incredibly muscular","ma ekstremalnie niskie ciaào, b©d•ce niewiarygodnie umi©ònione"
"less swayed by others' emotions","mniej pod wpàywem cudzych emocji"
" armor stand"," stojak na zbroj©"
" is ready to be recognized (from the temple's location menu.)  This will satisfy the agreement."," jest got¢w do rozpoznania (z menu lokalizacji òwi•tyni). To wypeàni warunki umowy."
"Belief","Wiara"
"Macros","Makra"
"Meeting place, ","Miejsce spotkania, "
"Any image data you've changed will be lost.","Wszystkie zmienione dane obraz¢w zostan• utracone."
"somewhat concave","doòÜ wkl©sày"
"Legendary brawler","Legendarny awanturnik"
"Demand forgotten","Zapomnieno o æ•daniu"
"wind","wiatr"
"finely-prepared ","precyzyjnie przygotowany "
"be very soft","byÜ bardzo mi©kki"
"Armorsmithing Pit","Jama Pàatnerska"
"West","Zach¢d"
"a secret identity","sekretna toæsamoòÜ"
"This person is ","Ta osoba jest "
"yet ","jeszcze "
"Incapable of carrying","Niezdolny do noszenia"
"epenthesis","epiteza"
"greatly respects the shrewd and guileful","bardzo szanuje spryt i przebiegàoòÜ"
"list","lista"
"the shape of the world","ksztaàt òwiata"
" returned"," powr¢cià"
"is very fat and extremely tall","jest bardzo gruby i ekstremalnie wysoki"
"The gods surely want you to dig deeper still!","Bogowie z pewnoòci• chc•, abyò kopaà jeszcze gà©biej!"
"Feared for violent opposition","Budz•cy strach gwaàtownymi konfrontacjami"
" cloth"," tkanina"
"Pond","Staw"
"the traction bench","àawka trakcyjna"
"Remove this building.","Usu‰ t© budowl©."
"Slight Need","Niewielka potrzeba"
"be soft","byÜ mi©kki"
"Bins, bags, and barrels","Kosze, torby i beczki"
" to view the message log."," aby wyòwietliÜ dziennik komunikat¢w."
"items that a person is carrying.  You don't have to pick up an item in a store before you purchase it, but feel free to do so as long ","przedmioty, kt¢re dana osoba ma przy sobie. Nie musisz braÜ przedmiotu do r©ki w sklepie przed zakupem, ale moæesz to zrobiÜ, o ile "
"aroused","rozbudzony"
"Click a citizen or creature","Kliknij obywatela albo inne stworzenie"
"corrupt position holder","skorumpowany posiadacz stanowiska"
