"more presumptious","mer‚szebb"
"is muscular and very broad","izmos ‚s nagyon sz‚les"
" a solemn"," egy nnep‚lyes"
" own nature as "," saj t term‚szete, mint "
"the construction and use of the water wheel","a v¡zker‚k ‚p¡t‚se ‚s haszn lata"
"""Congratulations!  Now you must return this precious object to its proper home.""",",,Gratul lok! Most pedig vissza kell vinned ezt az ‚rt‚kes t rgyat a hely‚re."""
"What's going on?!","Mi folyik itt?!"
"Keep","Tov bb"
" has self-referential diplomacy state"," ”nreferenci lis diplom ciai  llapotban van"
"Wilderness population changes","A vadon ‚l‹  llatpopul ci¢k v ltoz sai"
"Everybody does this","Mindenki ezt csin lja"
"philosophy:ethics:applied military","filoz¢fia:etika:alkalmazott katonai etika"
" completely paralyzed!"," teljesen megb‚nult!"
"Slayer of ","A ... legy‹z‹je "
"being forced to endure the decay of a spouse","k‚nytelen elviselni a h zast rs hanyatl s t"
"the Wheel-and-Axles","a ker‚k ‚s a tengelyek"
"Your citizens will collect clay at this zone if a clay floor or clay wall is included.  This task is initiated manually at the kiln.","A polg raid ebben a z¢n ban agyagot gyûjtenek, ha az agyagpadl¢val vagy agyagfallal van kialak¡tva. Ezt a feladatot k‚zzel kell elind¡tani a kemenc‚n‚l."
"Popup: Hauling","Felugr¢ ablak: Sz ll¡t s"
"for the purpose of","a k”vetkez‹ c‚lb¢l:"
" engaged me to infiltrate "," megb¡zott azzal, hogy be‚pljek "
"Poem recitation","Versmond s"
"the Rank","a rang"
"seven thousand","h‚tezer"
"Hillock","Dombocska"
"[C:7:0:0:]Diagnosed with ","[C:7:0:0:]A diagn¢zis: "
" pushes "," nyom sok "
"magma sea","magmatenger"
" not found -- using default."," nem tal lhat¢ -- alap‚rtelmezett haszn lata."
"The sky above you is hazy and white.","A fejed feletti ‚g k”d”s ‚s feh‚r."
"    --> Tolerates differences","    --> Elfogadja a kl”nbs‚geket"
"Friendly fighter","Bar ts gos harcos"
" a cloud of "," egy felh‹ "
"Arena: Conflict state up","Arena: A konfliktus szintje emelkedett"
"more austere","szigor£bb"
"The lyrics of the accompaniment are way too serious.","A k¡s‚ret sz”vege t£ls gosan komoly."
"septuplets","h‚tes ikrek"
"Time","Id‹"
"is rarely happy or enthusiastic","ritk n boldog vagy lelkes"
"The vomit splatters into the shallow puddle of water.","A h nyad‚k a sek‚ly v¡zfoltba fr”ccsen."
"Unnamed dump","N‚vtelen lerak¢hely"
"has a broad, recessed","sz‚les, bem‚lyed‹"
"while ","m¡g "
"a horrible dining room","egy sz”rnyû ‚tkez‹"
"Clean","Tiszta"
" concerning "," a k”vetkez‹ t‚m ban "
"And what exactly do you want?","s pontosan mit akarsz?"
"a specific wilderness region","egy meghat rozott vadonvid‚k"
"I feel so isolated!","Olyan elszigeteltnek ‚rzem magam!"
"Cups/Mugs/Goblets","Cs‚sz‚k/B”grek/Poharak"
"It's wrong.","Ez helytelen."
"A drone string is","A dr¢nzsin¢r az"
"is muscular and incredibly tall","izmos ‚s hihetetlenl magas"
"make weapon","fegyvert k‚sz¡teni"
"began dreaming of falling in love","elkezdett arr¢l  lmodozni, hogy szerelmes lesz"
"tomb","s¡r"
"the Effect","a hat s"
"No designated area","Nincs kijel”lt terlet"
"You will best serve by finishing your quest.","A legjobban azzal szolg lsz, ha befejezed a kldet‚sedet."
"jovial","vid m"
"Normal shot","Norm l felv‚tel"
"You are paralyzed.","Megb‚n¡tottak."
" finished the construction of "," befejezt‚k az ‚p¡tkez‚st "
"No charge attack: you are on a projectile","T mad s v‚delem n‚lkl: egy l”ved‚ken vagy"
"Track (NSE)","R‚szv‚ny (NSE)"
"Unnamed office","N‚vtelen iroda"
"mechanical clocks","mechanikus ¢r k"
"second eldest child","a m sodik legid‹sebb gyermek"
"state bias"," llami elfogults g"
"Seek Fish Trap","Halcsapda keres‚se"
"The topic being discussed is ","A t rgyalt t‚ma a k”vetkez‹: "
"Saving schedules...","Mentsem el a menetrendeket..."
": Id #",": Azonos¡t¢sz m #"
"Alternatively, you can reduce the number of ocean squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt ¢ce nn‚gyzetek ‚s r‚gi¢k sz m t."
"Taken by a fright!","A f‚lelem elragadta!"
"Your Animals","Az  llataid"
"Scheduled Meal","El‹re megtervezett ‚tkez‚s"
"You have been ordered to drive these forces out.","Parancsot kapott, hogy ûzze ki ezeket a csapatokat."
"medicine:tool:forceps","orvostudom ny:eszk”z:fog¢"
"Set the weather, temperature, and time.","µll¡tsa be az id‹j r st, a h‹m‚rs‚kletet ‚s az id‹t."
"the classification of creatures by their physical features","a l‚nyek fizikai jellemz‹k szerinti oszt lyoz sa"
"nerves","idegek"
"Somebody help!","Valaki seg¡tsen!"
"Noted fighter","Elismert harcos"
", to be delivered from ",", sz ll¡t si hely: "
"That is amazing.","Ez elk‚peszt‹."
"Every note is named.  ","Minden hangjegy meg van nevezve. "
" by a flying object"," egy repl‹ t rgy  ltal"
"beating somebody with a hammer","kalap ccsal megverni valakit"
"law-givers","t”rv‚nyhoz¢k"
" is gelded.  "," kastr lt.  "
"Overall, the choreography is great","™sszess‚g‚ben a koreogr fia remek"
"Put on item","Term‚k felv‚tele"
"barons consort","feles‚gkkel ‚l‹ b r¢k"
"Export XML","XML-export l s"
"Select a category below to begin.","Kezd‚shez v lasszon ki egy kateg¢ri t az al bbiak k”zl."
"You hear ","Hallod "
"Acknowledge lack of isolation","Ismerje el az elszigetelts‚g hi ny t"
"the Peaks","a Cs£csok"
"Have they gone on adventures or moved on to richer delving at new frontier settlements? ","Kalandokra indultak, vagy ink bb az £j hat rvid‚ki telepl‚seken folytatt k a kincskeres‚st? "
"Give","Add"
"theft","lop s"
"Plant Gathering","N”v‚nygyûjt‚s"
"Move down to the southwest.","Haladj lefel‚ d‚lnyugat fel‚."
"Yes, let's move on.","Igen, folytassuk."
"Removing mining/chopping/gathering/smoothing orders","B ny szati, fakitermel‚si, gyûjt‚si ‚s sim¡t si megb¡z sok t”rl‚se"
"Jubilant","™r”mteli"
"the ascension","a mennybemenetel"
"medicine:tool:plants as surgical models","orvostudom ny:eszk”z:n”v‚nyek mint seb‚szeti modellek"
"the Knowledge","a Tud s"
"a performance of ","a c¡mû el‹ad s "
"fearlessness","b tors g"
" Civilians"," Polg rok"
"'s annoyed","'s bossz£s"
"Comment on natural surroundings","Megjegyz‚s a term‚szeti k”rnyezetr‹l"
"the theory and methods involved in the extraction of a constituent liquid from one solution to another","az egyik oldatb¢l egy alkot¢ folyad‚k m sik oldatba t”rt‚n‹ kivon s val kapcsolatos elm‚let ‚s m¢dszerek"
" have "," van "
"every season","minden ‚vszakban"
"Migrants were too nervous to make the journey this season to this unhappy fortress.","A migr nsok t£ls gosan idegesek voltak ahhoz, hogy ebben a szezonban elinduljanak ebbe a szomor£ er‹dbe."
"Performer","El‹ad¢"
"suspicious","gyan£s"
"Audio","Hang"
"agreed to adventure with","beleegyezett, hogy vele tartson a kalandra"
"Move keyboard cursor down and right, fast","Mozgasd a billentyûzet kurzor t gyorsan lefel‚ ‚s jobbra"
"was killed by falling rocks","sziklaoml s k”vetkezt‚ben ‚let‚t vesztette"
"State minor feeling of guilt","Enyhe bûntudat"
"Wait, what?","V rj, mivan?"
"I was beaten with the hammer.","Megvertek a kalap ccsal."
"Citizen kidnapped","Egy polg rt elraboltak"
"Allow non-plant/animal","A n”v‚nyi ‚s  llati eredetû anyagokon k¡vli anyagok enged‚lyez‚se"
"There is no gaiety.","Nincs vid ms g."
"mind and body","elme ‚s test"
" imprint in the "," nyom a "
"Create new route","éj £tvonal l‚trehoz sa"
" reciting"," szaval s"
"There is a basic movement ","Van egy alapvet‹ mozg s "
"Mouse-context scrollbar page up","Eg‚rkontextus£ g”rget‹s v - Oldal fel"
" drums "," dobok "
"Terrified","Rettegve"
"finds nature somewhat disturbing","a term‚szetet kiss‚ nyugtalan¡t¢nak tartja"
"Be careful, for their leader ","L‚gy ¢vatos, mert a vezet‹jk... "
"Climb down","M ssz le"
"wonderful","csod latos"
"Disdains craftwork","Megveti a k‚zmûvess‚get"
"dreams of crafting a masterwork someday","arr¢l  lmodozik, hogy egy nap remekmûvet alkot"
"State feelings of bitterness","A keserûs‚g ‚rz‚seinek kifejez‚se"
"bone-chilling horror","hidegv‚rû horror"
"The world generator is having trouble placing grasslands.  ","A vil ggener tor probl‚m kat tapasztal a gyepterletek elhelyez‚s‚vel.  "
"Add or choose a location.","Adjon hozz  vagy v lasszon ki egy helysz¡nt."
"Clothing","Ruh zat"
": Negative precedence changed to zero",": A negat¡v priorit s ‚rt‚ke null ra v ltozott"
"Tyranny","Zsarnoks g"
"tastefully arranged ","¡zl‚sesen elrendezett "
" attack "," t mad s "
"Animal Survival","Az  llatok t£l‚l‚se"
"Ice Upward Track (NW)","J‚gfeljut¢ ”sv‚ny (NY)"
" line."," sor."
"Crutches (Desired): ","Mank¢k (k¡v natos): "
"Creatures do not trigger","A l‚nyek nem v ltanak ki hat st"
"Large Profile","R‚szletes bemutat s"
"unbreakable focus","megingathatatlan koncentr ci¢"
"animated","anim lt"
" gets excited, "," izgatott  v lik, "
"                 --> Vengeful","                 --> Bossz£ ll¢"
"It has no writing.","Nincs rajta semmilyen felirat."
"Climb to ","M ssz fel a "
" introduction"," bevezet‚s"
"I do not scheme.","Nem sz‹”k cselsz”v‚seket."
"the reasons why the wedge is effective","azok az okok, amelyek miatt az ‚k hat‚kony"
"Geographer","f”ldrajztud¢s"
" family"," csal d"
"Seek infant","Csecsem‹ keres‚se"
"You are considered an integral part of the opposition.","T‚ged az ellenz‚k szerves r‚sz‚nek tekintenek."
"the rise of the sun according to the season","a napkelte az ‚vszakok szerint"
" have been disturbed."," megzavart k ‹ket."
"doubt","k‚ts‚g"
"Invaders can build floors and stairs","A betolakod¢k emeleteket ‚s l‚pcs‹ket ‚p¡thetnek"
"is short and scrawny","alacsony ‚s sov nys g£"
"I've forgotten what I was going to say...","Elfelejtettem, mit akartam mondani..."
"Rebuilding temporary information...","Az ideiglenes adatok £jrak‚sz¡t‚se..."
"engineering:machine:warded lock","m‚rn”ki munka:g‚p:biztons gi z r"
"unfathomably weak","felfoghatatlanul gyenge"
" destroyed "," elpusztult "
"Anatomies","Anat¢mi k"
"I give to you this fine beast, ","Neked adom ezt a csod s  llatot, "
"State your amusement","Fejezd ki a sz¢rakoz sodat!"
" passive"," passz¡v"
"Affects physical size, attack power, charging, armor ungainliness, throwing power, carrying capacity, and movement speed.","Befoly solja a fizikai m‚retet, a t mad si er‹t, a rohamoz st, a p nc‚l  ltal okozott mozg skorl tozotts got, a dob si er‹t, a teherb¡r¢k‚pess‚get ‚s a mozg si sebess‚get."
"Select materials for the ","V lassza ki az anyagokat a "
"I really enjoyed that!","Nagyon tetszett!"
"as part of a trade negotiation","kereskedelmi t rgyal sok keret‚ben"
"infamous thief","h¡rhedt tolvaj"
"Built","plt"
"assign schedules.","menetrendek kijel”l‚se."
" is gone.  "," elment.  "
"Watch ","N‚z "
" Logs"," Napl¢k"
"chemistry:laboratory:glass ampoule","k‚mia:laborat¢rium:vegampulla"
"The Home Tree","Az Otthonfa"
"animals"," llatok"
"a composition of ","egy ”sszet‚tel "
" and maybe something to drink as well!"," ‚s tal n valami innival¢t is!"
"improved skill","fejl‹d”tt k‚szs‚g"
"Invaders can free creatures from cages","A betolakod¢k kiszabad¡thatj k a l‚nyeket a ketrecekb‹l"
"has a broad body","sz‚les testû"
"Thread (yarn)","C‚rna (fonal)"
"noted enemy","h¡res ellens‚g"
"begins to talk louder when ","hangosabban kezd besz‚lni, amikor "
"decomposing","leboml¢"
"bring peace to the world","b‚k‚t teremteni a vil gban"
"I can now reside in ","Most m r ott lakhatok, ahol "
"I'm very worried.","Nagyon agg¢dom."
"degrees of the octave scale","az okt vsk la fokai"
"This is a masterpiece.","Ez egy remekmû."
"pressing keys to stop holes","gombok megnyom s val a furatok le ll¡t sa"
"a legendary hero","egy legend s h‹s"
"Set origin","Kezd‹pont be ll¡t sa"
"an improvised recital of ","egy r”gt”nz”tt el‹ad s "
" attack with "," t mad s "
"less anger-prone","kev‚sb‚ hajlamos a haragra"
"known loyal soldier","ismert hûs‚ges katona"
"Cleaning","Tiszt¡t s"
"Legendary thief","A legend s tolvaj"
"Unprepared fish","El‹k‚sz¡tetlen hal"
"chews ","r g sok "
"under","alatt"
"failed mood","rossz hangulat"
"Taken by mood","A hangulat hat s ra"
"Shocked","Megd”bbent"
"several","t”bb"
"Demand the listener's identity","K‚rje meg a hallgat¢ szem‚lyazonoss g nak megad s t"
"Slaughter ","M‚sz rl s "
"blacksmith shop (64,64,64)","kov csmûhely (64,64,64)"
" as the plot unfolded, "," ahogy a cselekm‚ny kibontakozott, "
"Spatial Sense","T‚r‚rz‚k"
" were"," voltak"
"to make a concession","engedm‚nyt tenni"
"Delayed repeat","K‚sleltetett ism‚tl‚s"
"Percussion Instrument","št‹s hangszer"
"addition of masterful spikes","mesteri cs£cspontok be‚p¡t‚se"
"the sight of ","a l tv nya "
"drinking slime","iv¢iszap"
"I am so nervous!","Annyira izgulok!"
"has a very broad body but it is frail","testalkata nagyon sz‚les, de t”r‚keny"
" mind about things"," a dolgokkal kapcsolatos gondolatok"
" and the chosen!  "," ‚s a kiv lasztottak!  "
"You are thinking about this all wrong.","Ezt teljesen rosszul l tod."
"being unable to find a hammer","nem sikerlt kalap csot tal lni"
"Large instruments must be placed in taverns or temples before they will be used.  These instruments must be assembled at a workshop first.","A nagy m‚retû hangszereket kocsm kban vagy templomokban kell elhelyezni, miel‹tt haszn latba vehet‹k lenn‚nek. Ezeket a hangszereket el‹sz”r egy mûhelyben ”ssze kell szerelni."
"finds sacrifice to be the height of folly","az  ldozatot a bolonds g cs£cspontj nak tartja"
"medicine:theory:surgical models","orvostudom ny:elm‚let:seb‚szeti modellek"
"Accept equipment","Berendez‚s  tv‚tele"
"quite clumsy","el‚g gyetlen"
"Surveying and War","F”ldm‚r‚s ‚s h bor£"
"swamps","mocsarak"
"astonishment","csod lkoz s"
"Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.","A lakosok h l¢szob kban alszanak majd. Ennek tartalmaznia kell egy  gyat! Pr¢b ld meg falakkal ‚s/vagy ajt¢kkal k”rlz rni. Ne legyen  tfed‚sben m s helyis‚gekkel."
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","Ez a munkav llal¢ szakosodott, ‚s kiz r¢lag azokat a feladatokat v‚gzi el, amelyek megfelelnek a mûhelybeli beoszt s nak, a munkak”ri le¡r s nak ‚s a foglalkoz s nak.  Kattintson a megjelen¡t‚s/elrejt‚shez."
"the warded lock","a v‚dett z r"
"An animal was convicted of a crime.","Egy  llatot bûncselekm‚ny elk”vet‚s‚ben el¡t‚ltek."
"the struggle for survival among creatures","a l‚nyek k”z”tti t£l‚l‚si kzdelem"
"Druid","Druida"
"State feelings of hopelessness","A rem‚nytelens‚g ‚rz‚s‚nek kifejez‚se"
"Undead attack","Az ‚l‹halottak t mad sa"
"The musician cannot control the volume.  ","A zen‚sz nem tudja szab lyozni a hanger‹t.  "
"the pit","a g”d”r"
"You are in a fey mood.","El‚g furcsa hangulatban vagy."
"No weapon","Nincs fegyver"
"Saving work quotas...","A munkakv¢t k ment‚se..."
"Musicality","Zenei ‚rz‚k"
"left site","bal oldali oldal"
"finds the idea of laws abhorrent","undor¡t¢nak tartja a t”rv‚nyek gondolat t"
"a special occasion","egy kl”nleges alkalom"
"Anybody that sticks to something a moment longer than they have to is an idiot.","Aki egy pillanattal tov bb ragaszkodik valamihez, mint amennyire szks‚ges, az idi¢ta."
