"World","Mundo"
" still views loyalty in a dim light, at least in the abstract"," Todavía ve la lealtad en una luz tenue, al menos en lo abstracto."
", although ",", aunque "
" finds this can conflict with "," descubre que esto puede entrar en conflicto con "
" sense of independence"," sentido de la independencia"
" still holds the idea of freedom itself in low regard"," todavía mantiene la idea de la libertad misma en baja estima"
" is conflicted by this because "," la causa del conflicto es "
" considers tranquility preferable to tumult, conceptually"," considera la tranquilidad preferible al tumulto, conceptualmente"
" feels intellectually that life should be more tumultuous"," siente intelectualmente que la vida debería ser más tumultuosa"
" values artwork and its creation"," Valora la obra de arte y su creación"
" is torn by this since "," está desgarrado por esto desde "
" sees the whole pursuit of art as a waste"," ve toda la búsqueda del arte como un desperdicio"
" holds nature in high regard"," mantiene la naturaleza en una alta consideración"
" is troubled by this since "," está preocupado por esto desde "
" dislikes the natural world"," no le gusta el mundo natural"
" is currently "," es actualmente "
"more love-prone","más propenso a enamorarse"
"less love-prone","menos propenso a enamorarse"
"more hate-prone","más propenso al odio"
"less hate-prone","menos propenso al odio"
"more envy-prone","más propenso a la envidia"
"less envy-prone","menos propenso a la envidia"
"more prone to cheerfulness","más propenso al buen humor"
"less prone to cheerfulness","menos propenso al buen humor"
"more depression-prone","muy propenso a la depresión"
"less depression-prone","menos propenso a la depresión"
"more anger-prone","más propenso al enfado"
"less anger-prone","menos propenso a enfadarse"
"more anxiety-prone","más propenso a la ansiedad"
"less anxiety-prone","menos propenso a la ansiedad"
"more lust-prone","más propenso a la lujuria"
"less lust-prone","menos propenso a la lujuria"
"more vulnerable","más vulnerable"
"less vulnerable","menos vulnerable"
"more greedy","más codicioso"
"more intemperant","más exaltado"
"less intemperant","menos exaltado"
"more violent","más violento"
"less violent","menos violento"
"more wasteful","más malgastador"
"more discordant","más discordante"
"more harmonious","más armonioso"
"more friendly","más amistoso"
"more disdainful","mas desdeñoso"
"more prudent","más prudente"
"more grateful","más agradecido"
"less grateful","menos gratificado"
"more humble","más humilde"
"more singleminded","más resuelto"
"more presumptious","más presuntuoso"
"more despairing","más desesperado"
"more attentive","más cortés"
"less attentive","menos atento"
"less open-minded","menos imparcial"
"more obsessive","más obsesivo"
"less obsessive","menos obsesivo"
"more sensitive","mas sensible"
"less sensitive","menos sensible"
"more thoughtless","más desconsiderado"
"more deliberate","más deliberado"
"more sloppy","más descuidado"
"more distrustful","más desconfiado"
"more of a thrill seeker","más que un buscador de emociones"
"less of a thrill seeker","menos de un buscador de emociones"
"more inclined to the practical","más inclinado a la práctica"
"more inclined to create","más inclinado a crear"
"less inclined to create","menos inclinado a crear"
"while in ","mientras en "
"experiencing trauma","experimentando trauma"
"seeing ","viendo "
" die"," morir"
" dead body"," Cuerpo muerto"
"somebody's","de alguien"
"at ","en "
"the unexpected death of somebody","la inesperada muerte de alguien"
"somebody's death","la muerte de alguien"
"while ","Mientras "
"killing somebody","Matando a alguien"
"being reunited with a loved one","reuniendose con un ser querido"
"being caught sneaking","siendo atrapado escabullendose"
"joining an existing conflict","uniéndose a un conflicto existente"
"giving a sermon","dando un sermón"
"attending a sermon","asistiendo a un sermón"
"watching a performance","viendo una actuación"
"producing a masterwork","produciendo una obra maestra"
"creating an artifact","creando un artefacto"
"upon ","sobre "
"improving ","mejorando "
"mastering ","dominando "
"a break up","una ruptura"
"getting divorced","divorciándose"
"as ","como "
"you were","tu eres"
" caught up in "," atrapado en "
"a new romance","Un nuevo romance"
"realizing ","Realizando "
"playing make believe","jugando a imaginar"
"playing with ","Jugando con "
"becoming a parent","llegando a ser padre"
"being near to a conflict","estar cerca de un conflicto"
"an agreement was cancelled","un acuerdo fue cancelado"
"joining a traveling group","uniéndose a un grupo viajero"
"a site was controlled","un sitio era controlado"
"a tribute cancellation","una cancelación de tributo"
"an incident","Un incidente"
"hearing a rumor","Escuchar un rumor"
"leaving a performance troupe","dejando una compañía artística"
"being removed from a performance troupe","siendo retirado de una compañía de espectáculos"
"being removed from a military group","Ser eliminado por un grupo militar"
"when a stranger advanced with a weapon","Cuando un extraño avanzo con un arma"
"seeing a stranger sneaking around","ver a un extraño escabullirse"
"witnessing a night creature drinking blood","presenciando una criatura nocturna bebiendo sangre"
"petitioning for citizenship","petición para ciudadanía"
"bringing up job scarcity in a meeting","tratando la escasez de trabajo en una reunión"
"making suggestions about work allocations","haciendo sugerencias sobre asignaciones de trabajo"
"requesting weapon production","solicitando producción de armas"
"yelling at a priest","gritándole a un sacerdote"
"crying on a priest","llorando a un sacerdote"
"yelling at somebody in charge","gritando a alguien al cargo"
"crying on somebody in charge","llorando a alguien a cargo"
