"more presumptious","domìçlivØjç¡"
" after an attack by a "," po £toku "
"and they cannot be controlled directly.  Some followers leave when their task is completed, while others will stay until they are asked to leave.  ","a nelze je pý¡mo ovl dat.  NØkteý¡ n sledovn¡ci odejdou po splnØn¡ sv‚ho £kolu, zat¡mco jin¡ z…stanou, dokud je nepo§ d ç, aby odeçli.  "
"Open the task information menu.","Otevý¡t nab¡dku informac¡ o £kolu."
"age","vØk"
"somebody's","nØŸ¡"
"Agreement abandoned","Dohoda opuçtØna"
"emotion","emoce"
"""I must have ","""Mus¡m m¡t "
"I slept in the grass.","Spal jsem v tr vØ."
"a troublesome poltergeist","probl‚movì poltergeist"
"Greatly respected for fighter","Velmi respektovanì jako bojovn¡k"
"feeling loathing","c¡t¡c¡ odpor"
"values loyalty","v §¡ si loajality"
"Sloppy","Nedbalì"
"eradicate beasts","vyhubit nestv…ry"
"LOW ELEVATION REJECTION","ODMÖTNUTÖ NÖZK NADMOüSK VíæKY"
" bolt thrower parts"," Ÿ sti vrhaŸe ç¡p…"
"give to","d vat do"
"If a gait has two numbers, the first number is the starting speed for the gait, and the second is the maximum speed.  ","Pokud m  ch…ze dvØ Ÿ¡sla, prvn¡ pýedstavuje poŸ teŸn¡ rychlost a druh‚ maxim ln¡ rychlost.  "
"extremely agile","nesm¡rnØ mrçtnì"
"lord consort","choœ lorda"
"is not the type to fall in love or even develop positive feelings","nen¡ to ten typ, kterì by se zamiloval nebo dokonce rozv¡jel pozitivn¡ vztahy"
"killer","zabij k"
"herbalist","bylink ý"
"Channel mining blueprint","Pl n hlouben¡ kan lu"
"discourse on the meaning of individual happiness","diskuze o vìznamu individu ln¡ho çtØst¡"
"State feelings of joviality","Vyj dýit §ovi lnost"
"State feelings of great satisfaction","Vyj dýit velk‚ uspokojen¡"
"curved walks","zakýivenìmi kroky"
"I was expelled.","Byl jsem vyhozen."
"love propensity","sklon k l sce"
"Follow Command","N sledovat rozkaz"
"Yes, I want more.  Is that so bad?","Ano, chci v¡c. Je to tak çpatn‚?"
"Skill 2","Dovednost 2"
"after a lack of introspection","po nedostatku introspekce"
"Bribery","Podpl cen¡"
"Place track vehicle","Um¡stit p sov‚ vozidlo"
"No automatic butchery","¦ dn‚ automatick‚ por §en¡"
"Unit lists: Sort by category","Seznam jednotek: Tý¡dit podle kategorie"
"clothing import market (50,30,35)","trh s dovozem odØv… (50,30,35)"
"I've become so disillusioned.  What now?","Jsem tak zklamanì... co teÔ?"
"Meager Study","Uboh  pracovna"
"[C:4:0:1]Slight fever","[C:4:0:1]M¡rn  horeŸka"
"Recommended!","DoporuŸeno!"
"They do not feel challenged at all.","Nec¡t¡ se v…bec ohro§eni."
" in a magma mist"," v magmatick‚ mlze"
"divination","vØçtØn¡"
" half of"," polovina z"
" were a population within "," byli populac¡ v r mci "
"from the mercenary service of"," ze §oldn‚ýsk‚ slu§by "
" has the following structure: "," m  n sleduj¡c¡ strukturu: "
"discourse on the relationship between objects and their properties","dskuze o vztahu mezi pýedmØty a jejich vlastnostmi"
"This is your ","Toto je v ç "
"I requested that more weapons be produced in a meeting.","Po§ dal jsem na sch…zi o vìrobu v¡ce zbran¡."
"I cried on my priest.","Plakal jsem u sv‚ho knØze."
"doesn't try to get things done perfectly","nesna§¡ se dØlat vØci dokonale"
"Ungrateful","NevdØŸnì"
"Animals, Toggle Available","Zv¡ýata, pýepnout dostupnost"
"Consoling","UtØçov n¡"
"Collect hive products","Posb¡rat produkty z £lu"
"Potash Maker","Vìrobce Hnojiva"
"small stationary","malì stacion rn¡"
"Elevation Mesh Size","Velikost s¡tØ nadmoýsk‚ vìçky"
"Rumor spread by citizen","ObŸan ç¡ý¡ zvØsti"
"discussing a child's problems","diskutov n¡ probl‚m… d¡tØte"
" fled "," uprchl z "
"a few months ago","pýed p r mØs¡ci"
"glide from note to note","klouzat mezi t¢ny"
"during ","bØhem "
"Burial","Rakev"
"expected","oŸek van‚"
"Mouse-context scrollbar down","Posuvn¡k dol… (myç)"
"is very weak and small","je velmi slabì a malì"
"Lake","Jezero"
"I cannot give in to sadness.","Nesm¡m podlehnout smutku."
"Aqua Regia","LuŸavka kr lovsk "
"Identify yourself!","Identifikuj se!"
" recapitulation"," rekapitulace"
"(Adventure) Cackling fades","(Dobrodru§stv¡) Chichot n¡ utich "
"Overall, the poetry is very, very bad","CelkovØ je poezie velmi, velmi çpatn "
"Visual Stealth Factors","Faktory vizu ln¡ nen padnosti"
"the Counting House","éŸetn¡ d…m"
"Chords and Sides","TØtivy a strany"
"Reports","Zpr vy"
"selected squads.","vybran‚ odd¡ly."
":string:strings:STANDARD]",":struna:struny:STANDARD]"
"Desired bait: ","Po§adovan  n vnada: "
"the reasons why screws are effective","d…vod, proŸ jsou çneky/çrouby tak efektivn¡"
"high priest","veleknØz"
"Lover: ","Milenec: "
"Arena: Fluids, magma","Ar‚na: Kapaliny, magma"
"younger sister","mladç¡ sestra"
"a recapitulation","rekapitulace"
" rejected (already in use.)"," odm¡tnuto (ji§ pou§¡v no.)"
"Get provisions","Z¡skat z soby"
" under the influence of "," pod vlivem "
"Stored Instruments (Desired): ","Ulo§en‚ n stroje (po§adov no): "
"Armoring","Vìroba zbroje"
"being taxed","bìt zdanØn"
"Paroxysm","Paroxysmus"
" is pretty good."," je docela dobrì."
"deductive reasoning","deduktivn¡ uva§ov n¡"
"is very broad and fat","je velmi çirokì a tlustì"
"noted brigand","zn mì zbojn¡k"
"pray","modlit se"
"Dismiss minor feeling of mortification","Ignorovat m¡rnì pocit pon¡§en¡"
"luck","çtØst¡"
"Parry","Parov n¡"
"has a very distinct laugh for when ","m  velmi vìraznì sm¡ch, kdy§ "
"You haven't named any position symbols yet.","Zat¡m jsi nepojmenoval § dn‚ symboly pozic."
"For simplicity, only the party leader needs to eat and drink, though all party members will sleep aside from whoever is on watch.  ","Pro zjednoduçen¡ mus¡ j¡st a p¡t pouze v…dce dru§iny, i kdy§ vçichni Ÿlenov‚ dru§iny budou sp t kromØ toho, kdo je na hl¡dce.  "
"perseverance","vytrvalost¡"
"Danger Room","NebezpeŸn  m¡stnost"
"State minor feeling of pleasure","Vyj dýit m¡rn‚ potØçen¡"
"I've been wounded.","Byl jsem zranØn."
"panic","panika"
"stole treasure and livestock from","ukradl poklady a dobytek od"
"I'm a little gloomy.","Jsem trochu skl¡Ÿenì."
"My punishment was reduced.","M…j trest byl zm¡rnØn."
"Ask listener to come closer","Po§ dat posluchaŸe, aby pýiçel bl¡§"
" an intruder."," je vetýelec."
"that it might bathe in misery forever","aby se nav§dy koupalo v utrpen¡"
"  In retrospect, interrogator may have completely misjudged subject's character.","  S odstupem Ÿasu mohl vyçetýovatel zcela mylnØ posoudit povahu subjektu."
"smooth ","vyhladit "
"Job item lost or destroyed","PýedmØt £kolu ztracen nebo zniŸen"
"the Troupe","Soubor"
" would be a safe place to stay."," by bylo bezpeŸnìm m¡stem k pobytu."
"[C:4:0:1].Smashed open","[C:4:0:1].Rozbito"
"Why are they so fixated on these baubles?","ProŸ jsou tak posedl¡ tØmi cetkami?"
"Quivers","Toulce"
"drums","bubny"
"wood","dýevo"
" head is"," hlava je"
"engineering:optics:parabolic mirror","in§enìrstv¡:optika:parabolick‚ zrcadlo"
"I need time to contemplate.","Potýebuji Ÿas na rozj¡m n¡."
"State feelings of great elation","Vyj dýit velk‚ nadçen¡"
"From the [C:5:0:1]Tavern Info Menu[C:7:0:0] you can choose to assign [C:5:0:0]Performers[C:7:0:0] or a [C:5:0:0]Tavern Keeper[C:7:0:0] who will serve the ","V [C:5:0:1]Informac¡ch o hospodØ[C:7:0:0] m…§eç pýiýadit [C:5:0:0]UmØlce[C:7:0:0] nebo [C:5:0:0]VìŸepn¡ho[C:7:0:0], kterì bude pod vat "
" the first to reach the summit of "," jako prvn¡ dos hli vrcholu "
"Don't tell me to calm myself.","Neý¡kej mi, abych se uklidnil."
"State feelings of great awe","Vyj dýit velkì £§as"
"tends to scratch ","m  tendenci çkr bat "
"Recenter on this item.","Vycentrovat na tento pýedmØt."
"Something truly horrifying has vomited itself forth from the depths of the world.","NØco skuteŸnØ dØsiv‚ho se vyvrhlo z hlubin svØta."
"the construction and use of the astrolabe","stavba a pou§it¡ astrol bu"
"Engineering","In§enìrstv¡"
"the construction and use of the crankshaft","stavba a pou§it¡ klikov‚ho hý¡dele"
"Suck Blood","S t krev"
"This is your owner.","Toto je v ç vlastn¡k."
" is aware of "," si znovu uvØdomuje "
"thinks friendship is important","mysl¡ si, §e pý telstv¡ je d…le§it‚"
" has been possessed!"," byl posedlì!"
"corrupt and pacify","zkorumpovat a uklidnit"
" during mining"," pýi tØ§bØ"
"A holy period dedicated to ","Svat‚ obdob¡ zasvØcen‚ "
"has a once-thin frame, now belarded","m  dý¡ve hubenou postavu, nyn¡ obalenou tukem"
" item."," pýedmØt."
" acquired a copy of "," z¡skal kopii "
"active sermon sphere","aktivn¡ k z n¡ - sf‚ra"
"has a very small body bedecked with lardy rolls","m  velmi mal‚ tØlo ozdoben‚ tukovìmi z hyby"
"thresher","ml tiŸ"
"residency petition rejected","§ dost o pobyt zam¡tnuta"
"full","plnì"
"new buddy","novì kamar d"
"a hospital","nemocnici"
" in fulfillment of a promise"," na splnØn¡ slibu"
"Verbally struggle against great horror","SlovnØ bojovat proti velk‚ hr…ze"
"is a coward, completely overwhelmed by fear when confronted with danger","je zbabØlec, zcela ochromenì strachem pýi stýetu s nebezpeŸ¡m"
"This passage typically has some sparse chords.  ","Tato pas § obvykle obsahuje nØkolik ý¡dkìch akord….  "
"Can you tell me where I can find myself?","M…§ete mi ý¡ct, kde se najdu?"
" through the efforts of "," d¡ky £sil¡ "
"infamously quarrelsome","proslule haçteýivì"
"dreams of attaining rank in society","sn¡t o dosa§en¡ spoleŸensk‚ho postaven¡"
"Counting Tree","éŸetn¡ strom"
"Later you can assign [C:5:0:0]Doctors[C:7:0:0] to specific roles such as the [C:5:0:0]Diagnostician[C:7:0:0]. ","PozdØji m…§eç l‚kaý…m pýiýadit konkr‚tn¡ role, napý¡klad "
"the moon's path","dr ha MØs¡ce"
"Exhort to finish current quest","Pob¡dnout k dokonŸen¡ souŸasn‚ho £kolu"
"an unknown artifact","nezn mì artefakt"
"available to play.","dostupn¡ ke hran¡."
"the master-apprentice relationship of","vztah mistr-uŸeå "
"bone","kost"
"When placed, a female bird will claim the box and start laying eggs, if one is available.","Po um¡stØn¡ si samice pt ka box pýivlastn¡ a zaŸne sn çet vejce, pokud je k dispozici."
"the Crank","Klika"
" became embroiled in a dispute over "," se zapletl do sporu o "
" from the lead"," od vedouc¡ho"
" quatrain"," kvartet"
"grandmother","babiŸka"
"Parabolic Mirror","Parabolick‚ zrcadlo"
"Ruined hillock","ZniŸenì kopeŸek"
"Recover pet","Zachr nit mazl¡Ÿka"
"Toggle whether goods banned by export mandates are listed.","Pýepnout, zda se zobrazuj¡ zbo§¡ zak zan  exportn¡mi pý¡kazy."
"the end of the apprenticeship of","konec uŸednictv¡ "
"This is travel mode.","Toto je cestovn¡ re§im."
"This is my favorite music.","Tohle je m  obl¡ben  hudba."
"Attack Building","Za£toŸit na budovu"
"the mixture of metals to produce alloys","m¡sen¡ kov… k vìrobØ slitin"
"There is no hope!","Nen¡ § dn  nadØje!"
" leap"," skok"
"unprepared ","nepýipravenì "
" bellows to send air over interior reeds.  "," mØchy k veden¡ vzduchu pýes vnitýn¡ jazìŸky.  "
"Brawl","RvaŸka"
"Rude","Hrubì"
"Too close to edge","Pý¡liç bl¡zko okraje"
" prefers to consume "," preferuje konzumovat "
"This isn't exasperating.","Tohle nen¡ frustruj¡c¡."
" pull off"," strh v "
"I have been away from people for a long time.","Byl jsem dlouho pryŸ od lid¡."
"Your most trusted companions have made the journey to meet you here today.","Tvoji nejd…vØryhodnØjç¡ spoleŸn¡ci sem dnes dorazili, aby se s tebou setkali."
"crime of attempted theft","zloŸin pokusu kr de§e"
"belief","v¡ra"
"Remove assignment","Odebrat pýiýazen¡"
"the Undergrowth","Podrost"
"Templates","æablony"
"does not go out of ","nejde ze sv‚ "
"I don't know ","Nev¡m "
"vent at boss","vyl¡t si srdce u nadý¡zen‚ho"
"Z Levels Above Layer 1","Z-£rovnØ nad vrstvou 1"
"Difficulty only affects starting skills and equipment.","Obt¡§nost ovlivåuje pouze poŸ teŸn¡ dovednosti a vybaven¡."
"State that you hate reflective poetry","Uv‚st, §e nesn ç¡ç zamyçlenou poezii"
"the notion of paroxysm","pojem z chvatu"
"State feelings of great freedom","Vyj dýit velkou svobodu"
"coal slush","uheln  býeŸka"
"Wander Vermin Catch Location","Potulovat se v m¡stØ chyt n¡ çk…dc…"
":blowpipe:blowpipes",":dmychac¡ trubice:dmychac¡ trubice"
"No appropriate ammunition","¦ dn  vhodn  munice"
"Unhappy","Neçœastnì"
"Cannot raid your civilization","Nemohou napadnout vaçi civilizaci"
"naturalist:observation:social behavior","pý¡rodovØdec:pozorov n¡:soci ln¡ chov n¡"
"broke up with lover","rozeçel se s milencem"
"Unknown site","Nezn m‚ m¡sto"
" swore to support "," pý¡sahal podporu "
"Social Animals","SpoleŸensk  zv¡ýata"
", and you belong to ",", a patý¡ç k "
"shrine","svatynØ"
"Fire ballista","Vystýelit balistu"
"has a low voice","m  n¡zkì hlas"
"  It is rumored that the dead rise and stalk the living!","  ü¡k  se, §e mrtv¡ vst vaj¡ a pron sleduj¡ §iv‚!"
"Number of Evil Rain Types","PoŸet typ… zl‚ho deçtØ"
"is enormous yet skinny"," je obrovskì, ale pýitom hubenì"
"a word but you cannot read","slovo, ale neum¡ç Ÿ¡st"
" from the follower"," od n sledovn¡ka"
"[C:6:0:1]Ability to stand somewhat impaired","[C:6:0:1]Schopnost st t m¡rnØ naruçena"
"was scuttled","byl potopen"
"The chain is ","üetØz je "
"Miller","Mlyn ý"
" made "," uŸinila "
"turns","otoŸkami"
"I hear the call.  Let us stop this war.","Slyç¡m vol n¡. UkonŸeme tuto v lku."
"Right click to dismiss the information sheet.","Kliknut¡m pravìm tlaŸ¡tkem myçi zavýete informaŸn¡ list."
"the lithotomy surgery","lithotomie"
"Tell a story about a person or creature","Vypr vØjte pý¡bØh o osobØ nebo stvoýen¡."
"I am so ashamed!","Tak se styd¡m!"
"has a long, thin body, thickened by muscle and fat","m  dlouh‚, huben‚ tØlo zes¡len‚ svaly a tukem"
"When the caravan arrives at the [C:6:0:0]Trade Depot[C:7:0:0], you must click on the depot and select [C:5:0:1]""Bring Goods to Depot""[C:7:0:0]. ","Kdy§ karavana doraz¡ k [C:6:0:0]Obchodn¡mu depu[C:7:0:0], mus¡ç na depo kliknout a vybrat [C:5:0:1]""Pýin‚st zbo§¡ do depa""[C:7:0:0]. "
"Unnamed","Bezejmenn‚"
"Move downward.","Pohnout se dol…."
"being unnaturally ageless","nepýirozenØ nest rnouc¡"
"is very muscular and very short","je velmi svalnatì a velmi malì"
"Here's something you might be interested in...","Tady je nØco, co by tØ mohlo zaj¡mat..."
"grabs"," chyt "
" be made "," byl(a) jmenov n(a) "
"clear","Ÿistì"
"Traps and levers","Pasti a p ky"
" rapport in order to elicit information."," vztah, aby z¡skal(a) informace."
" preset attempted beyond Y range"," pýedvolba se pokusila pýekroŸit rozsah Y"
"ethics and the state","etika a st t"
" finely-crafted"," preciznØ vyrobenì"
"Setting plant","Nastaven¡ rostliny"
"No butchery tool available.","¦ dnì n stroj na por §ku nen¡ k dispozici."
"State feelings, greatly expectant","Vyj dýit velk‚ oŸek v n¡"
"flooding","zaplavuj¡c¡"
"Rollers","V leŸky"
"a murderous ghost","vra§ednì duch"
"Throw at ","Hodit na "
"What will you say about the end of the insurrection?","Co ýekneç o konci povst n¡?"
"I am overmastered by your presence!","Tv  pý¡tomnost mØ zcela ovl dla!"
"Add new task","Pýidat novì £kol"
"I feel so defeated...","C¡t¡m se tak pora§enì..."
"Thought","Myçlenka"
"not consumed","nespotýebov no"
"the glass lens","sklenØn  ŸoŸka"
"stone boulders","kamenn‚ balvany"
"feel mournful","zn¡t truchlivØ"
"Grouchy","Mrzutì"
"Affects movement speed.","Ovlivåuje rychlost pohybu."
"reputation","povØst"
"Sorting plants...","Tý¡dØn¡ rostlin..."
"So I overindulge sometimes.","Tak se obŸas pýej¡m, no a co."
"Content","spokojenì"
"created a masterful image set","vytvoýil(a) mistrovskou sadu obraz…"
