"its","suo"
" after a horrific combat"," dopo un orribile combattimento"
" after a punishing fight"," dopo un combattimento violento"
"a scuffle between ","una rissa tra "
" in which the former emerged victorious"," in cui il primo ä uscito vittorioso"
"independently discovered","scoperto in modo indipendente"
"was the very first to discover","ä stato il primo a scoprire"
"discourse on ethics as it regards the benefit of the state","discorso sull'etica per quanto riguarda il beneficio dello Stato"
"discourse on the meaning of individual happiness","discorso sul significato della felicitÖ individuale"
"discourse on medical ethics","discorso sull'etica medica"
"discourse on the nature of truth","discorso sulla natura della veritÖ"
"discourse on the nature of perception","discorso sulla natura della percezione"
"discourse on the nature of belief","discorso sulla natura della fede"
"discourse on the relationship between wholes and parts","discorso sul rapporto tra intero e parti"
"discourse on the relationship between objects and their properties","discorso sulla relazione tra gli oggetti e le loro proprietÖ"
"discourse on the nature of mind and body","discorso sulla natura della mente e del corpo"
"discourse on the nature of time","discorso sulla natura del tempo"
"discourse on the nature of existence","discorso sulla natura dell'esistenza"
"discourse on the nature of events","discorso sulla natura degli eventi"
"discourse on ethics as applied to war","discorso sull'etica applicata alla guerra"
"discourse on the nature of processes","discorso sulla natura dei processi"
"discourse on ethics as applied to interpersonal conduct","discorso sull'etica applicata alla condotta interpersonale"
"discourse on education","discorso sull'educazione"
"discourse on law","discorso sulla legge"
"discourse on grammar","discorso sulla grammatica"
"discourse on social welfare","discorso sul benessere sociale"
"discourse on economic policy","discorso sulla politica economica"
"discourse on government","discorso sul governo"
"discourse on diplomacy","discorso sulla diplomazia"
"the notion of etymology","la nozione di etimologia"
"discourse on the value of art","discorso sul valore dell'arte"
"discourse on the nature of beauty","discorso sulla natura della bellezza"
"the idea of using symbolic notation for addition","l'idea di utilizzare la notazione simbolica per l'addizione"
"the notion of conflict between members of a community","la nozione del conflitto tra i membri di una comunitÖ"
"the notion of bonds between members of a community","la nozione dei legami tra i membri di una comunitÖ"
"the notion of historical, governmental and social cycles","la nozione di cicli storici, governativi e sociali"
"discourse on the causes of historical events","discorso sulle cause degli eventi storici"
"the idea of source reliability","l'idea di affidabilitÖ delle fonti"
"became obsessed with ","ä diventato ossessionato da "
" own mortality and sought to extend "," propria mortalitÖ e ha cercato di estendere "
" life by any means"," vita con qualsiasi mezzo"
"began dreaming of starting a family","ha iniziato a sognare di formare una famiglia"
"came to desire to rule the world","ä arrivato a desiderare di regnare sul mondo"
"began dreaming of making a great discovery","ha iniziato a sognare di fare una grande scoperta"
"began dreaming of creating a great work of art","ha iniziato a sognare di creare una grande opera d'arte"
"began dreaming of crafting a masterwork","ha iniziato a sognare di realizzare un capolavoro"
"began dreaming of bringing peace to the world","ha iniziato a sognare di portare la pace nel mondo"
"began dreaming of becoming a legendary warrior","cominciato a sognare di divenire un guerriero leggendario"
"began dreaming of mastering a skill","ha iniziato a sognare di padroneggiare un'abilitÖ"
"began dreaming of falling in love","ha iniziato a sognare d'innamorarsi"
"began dreaming of seeing the great natural wonders of the world","ha iniziato a sognare di vedere le grandi meraviglie naturali del mondo"
"began dreaming of attaining rank in society","ha iniziato a sognare di raggiungere un rango nella societÖ"
"came to desire to bathe the world in chaos","ä arrivato a desiderare d'immergere il mondo nel caos"
"became obsessed with an inscrutable goal","ä diventato ossessionato da un obiettivo imperscrutabile"
" was brought back from the dead"," ä stato riportato in vita dalla morte"
" was disturbed from eternal rest"," ä stato disturbato dal riposo eterno"
" came back from the dead"," ä tornato dal mondo dei morti"
" once more, this time"," ancora una volta, questa volta"
"a murderous ghost","un fantasma assassino"
"a sadistic ghost","un fantasma sadico"
"a violent ghost","un fantasma violento"
"an angry ghost","un fantasma arrabbiato"
"a moaning spirit","uno spirito lamentoso"
"a howling spirit","uno spirito ululante"
"a secretive poltergeist","un poltergeist riservato"
"an energetic poltergeist","un poltergeist energico"
"a troublesome poltergeist","un poltergeist molesto"
"a restless haunt","un infestatore irrequieto"
" as a "," come un "
" burned "," bruciato "
" in dragon fire"," nel fuoco del drago"
" to death"," a morte"
" shot and killed "," colpito e ucciso "
" mortally wounded "," ferito a morte "
", who bled to death",", che ä morto dissanguato"
", who suffocated",", che ä soffocato"
" hacked "," fatto a pezzi "
" to pieces"," a pezzi"
" executed "," giustiziato "
" beheaded "," decapitato "
" crucified "," crocifisso "
" buried "," sepolto "
" alive"," vivo"
" left "," lasciato "
" out in the air"," nell'aria"
" drowned "," annegato "
" fed "," dato in pasto "
" to beasts"," alle bestie"
" struck down "," abbattuto "
" slaughtered "," massacrato "
" drained "," prosciugato "
" of blood"," di sangue"
" murdered "," assassinato "
" threw "," gettato "
" against an obstacle, causing immediate death"," contro un ostacolo, causando la morte immediata"
" into a pit of spikes"," in una fossa di spuntoni"
" scared "," spaventato "
"solidified","solidificato"
"was encased in cooling lava","ä stato racchiuso nella lava in raffreddamento"
"was encased in cooling magma","ä stato racchiuso nel magma in raffreddamento"
"was encased in ice","ä stato racchiuso nel ghiaccio"
"fell into a deep chasm","ä caduto in un profondo abisso"
"died of old age","morto di vecchiaia"
"burned up in magma","bruciato nel magma"
"burned up in ","bruciato nel "
" dragon fire"," fuoco del drago"
"'s dragon fire"," fuoco del drago"
"dragon fire","fuoco di drago"
"was burned to death by ","ä stato bruciato a morte da "
" fire"," fuoco"
"was burned to death by a ","ä stato bruciato a morte da un "
"burned up in a magma mist","bruciato nella foschia magmatica"
"was crushed by a drawbridge","ä stato schiacciato da un ponte levatoio"
"was crushed under a collapsing ceiling","ä stato schiacciato dal crollo di un soffitto"
"was killed by falling rocks","ä stato ucciso da rocce cadute"
", slain by ",", ucciso da "
", slain by a ",", ucciso da un "
", slain",", ucciso"
"succumbed to infection","ha ceduto all'infezione"
"was left out in the air","ä stato lasciato all'aria in una gabbia sospesa"
"was drowned","ä stato annegato"
"was struck down","ä stato abbattuto"
"was killed by a trap","ä stato ucciso da una trappola"
"was killed by a vehicle","ä stato ucciso da un veicolo"
"was killed by a flying object","ä stato ucciso da un corpo volante"
"was banished by ","ä stato bandito da "
"was banished by a ","ä stato bandito da un "
", struck down by ",", abbattuto da "
", struck down by a ",", abbattuto da un "
", struck down ",", abbattuto "
"died after colliding with an obstacle","ä morto dopo essersi scontrato con un ostacolo"
"was impaled on spikes","ä stato impalato su spuntoni"
"independent discovery","scoperta indipendente"
"initial discovery","scoperta iniziale"
"the new desire of","il nuovo desiderio di"
"the new dream of","il nuovo sogno di"
"the new obsession of","la nuova ossessione di"
"to rule the world","per governare il mondo"
"to start a family","per creare una famiglia"
"to make a great discovery","per fare una grande scoperta"
"to create a great work of art","per creare una grande opera d'arte"
"to craft a masterwork","per realizzare un capolavoro"
"to bring peace to the world","per portare la pace nel mondo"
"to become a legendary warrior","per diventare un guerriero leggendario"
"to master a skill","per padroneggiare un'abilitÖ"
"to fall in love","per innamorarsi"
"to see the great natural wonders of the world","per vedere le grandi meraviglie naturali del mondo"
"with extending ","con estensione "
" own life"," propria vita"
"to attain rank in society","per raggiungere il rango sociale"
"to bathe the world in chaos","per sommergere il mondo nel caos"
"with an inscrutable goal","con un obiettivo imperscrutabile"
" from the dead"," dai morti"
", once more,",", ancora una volta,"
"the death of ","la morte di "
" in a cage"," in gabbia"
"the fall of ","la caduta di "
