"more presumptious","aanmatigender"
"I'm so mortified...","Ik schaam me zo..."
"mathematics:geometry:inscribed triangle on diameter is right","wiskunde:meetkunde:ingeschreven driehoek op diameter is rechthoekig"
"Disdains leisure time","Minacht vrije tijd"
"crying on a priest","uithuilen bij een priester"
"The rest of the vomit falls away into the underworld.","De rest van het braaksel valt weg in de onderwereld."
"Set a low traffic area.  Citizens will look for better routes.","Stel een gebied met weinig verkeer in. Burgers zoeken betere routes."
" vials"," flesjes"
"the classification of mental illnesses","de classificatie van psychische aandoeningen"
"is very short yet impressively muscular and enormously fat","is zeer kort maar impressively gespierd en enormously dik"
"Ask listener to guide you to a location","Vraag de luisteraar je naar een locatie te begeleiden"
"you will need to unretire or recruit","je moet uit pensioen halen of rekruteren"
"State that this is your favorite poetry","Zeg dat dit je favoriete po‰zie is"
"Unknown GAIT flag ","Onbekende GAIT-vlag "
" (no barracks)"," (geen barakken)"
"a break up","een breuk"
"I am filled with wonder.","Ik ben vervuld van verwondering."
"Medicine","Geneeskunde"
" amputated"," geamputeerd"
"Fail the struggle against great agony","Verlies de strijd tegen grote pijn"
"northwestern","noordwestelijk"
"The ","De "
"medicine:method:hernia surgery","geneeskunde:methode:herniaoperatie"
"allowed ","toegestaan "
"Failed to find vanilla environment header.","Kan vanilla-header voor omgeving niet vinden."
"Sorting buildings...","Gebouwen sorteren..."
"companion","metgezel"
"Minimum number of","Minimumaantal"
"a week ago","een week geleden"
"guildhall petition rejected","gildehalverzoek afgewezen"
"Failed to find vanilla text header.","Kan vanilla-header voor tekst niet vinden."
"  The plan worked.","  Het plan werkte."
", the deity of ",", de godheid van "
"A migrant has decided to brave this terrifying place.","Een migrant heeft besloten deze angstaanjagende plek te trotseren."
" abilities"," vaardigheden"
"engineering:optics:height of atmosphere","techniek:optica:hoogte van de atmosfeer"
"Acknowledge lack of jubilation","Gebrek aan jubilation erkennen"
"Acquiescing","Toegevend"
"I'm proud.","Ik ben trots."
"The world generator is having trouble placing enough volcanos.  ","De wereldgenerator heeft moeite met het plaatsen van genoeg vulkanen.  "
" enemies"," vijanden"
"Restarts if completed, checked yearly","Start opnieuw na voltooiing, jaarlijks gecontroleerd"
"Button ","Knop "
"State minor feeling of unhappiness","Licht gevoel van unhappiness uiten"
"You lower the bucket.","Je laat de emmer zakken."
"I am reunited with my ","Ik ben herenigd met mijn "
"Kiln","Oven"
"Shoot ","Schieten "
"Soap","Zeep"
"Play Make Believe","Doen alsof"
"has a broad body with little fat","heeft a breed body met little dik"
"5 years","5 jaar"
"fine","goed"
"This is the ","Dit is de "
" as an alias"," als alias"
"Bolt Thrower","Boutwerper"
"marsh","moeras"
" a murderer."," een moordenaar."
" (religious worshippers)[R]"," (religieuze aanbidders)[R]"
"Demand an item (barter screen)","Een voorwerp eisen (ruilscherm)"
"Potash","Potas"
"No trader needed at depot","Geen handelaar nodig bij depot"
"resentful","wrokkig"
"You emerged from the wilds and came to be a ","Je kwam uit de wildernis tevoorschijn en werd een "
"are fuse-lobed","hebben vergroeide lobben"
" bells.  "," bellen.  "
"bliss","gelukzaligheid"
"Disband the squad.","Squad ontbinden."
"You are bound to obey me.","Je bent gebonden mij te gehoorzamen."
"admiration","bewondering"
"body level changes","lichaamsniveauwijzigingen"
" denotes the default cultural value."," duidt de standaard culturele waarde aan."
"is incredibly muscular if a little short","is ongelooflijk gespierd if a little kort"
"weak","zwak"
"expectant","verwachtingsvol"
"Acquiescent","Toegeeflijk"
"Cavern Layer Water Max","Max. water grotlaag"
"Civilization: ","Beschaving: "
"I shared a personal insight with my mother.","Ik deelde een persoonlijk inzicht met mijn moeder."
"the surgical method of incision","de chirurgische methode van incisie"
"Monster slayer petitions: reject","Monsterdodersverzoeken: afwijzen"
"is long and thin but very weak","is lang en dun but zeer zwak"
"You first, coward!","Jij eerst, lafaard!"
"bring a sense of motion","een gevoel van beweging brengen"
"Compressed saves (recommended!)","Gecomprimeerde saves (aanbevolen!)"
"Cooking","Koken"
"!  Amazing ability.","! Verbazingwekkend talent."
"Autumn has come.","De herfst is gekomen."
"a former slave of","een voormalige slaaf van"
"became a ","werd een "
"Spear","Speer"
"has a short, broad build overall but is somewhat skinny","heeft a kort, breed build overall but is somewhat mager"
"jackal","jakhals"
"is long","is lang"
"has a large body made larger still by mounds of fat","heeft een groot lichaam made larger still by mounds of dik"
"I'm not feeling very grateful.","Ik voel me niet erg dankbaar."
"the election","de verkiezing"
" window"," venster"
"vigorous","krachtig"
"Moderate","Matig"
"ranger","woudloper"
"medicine:theory:fracture classification","geneeskunde:theorie:fractuurclassificatie"
"began worshipping","begon te aanbidden"
"believes that the mastery of a skill is one of the highest pursuits","gelooft dat het beheersen van een vaardigheid een van de hoogste doelen is"
"Animal Training","Dier Training"
"I was rejected by ","Ik werd afgewezen door "
"Give an order based on ","Geef een opdracht op basis van "
"The wonder!","Het wonder!"
" has "," heeft "
" defeated "," verslagen "
"Dance floor in common area: ","Dansvloer in gemeenschappelijke ruimte: "
"hardness","hardheid"
"the verse paragraph","de strofe"
"after abducting ","na het ontvoeren van "
"valves","kleppen"
"Assume control of this party member.","Neem de controle over dit groepslid over."
"pits","putten"
"began dreaming of starting a family","begon te dromen van een gezin stichten"
"What will you say about your plots and scheming?","Wat wil je zeggen over je complotten en gekonkel?"
"Needs","Behoeften"
"the method of collecting and evaluating artifacts to learn about history and culture","de methode om artefacten te verzamelen en te beoordelen om over geschiedenis en cultuur te leren"
"return","terugkeren"
"speaks","spreekt"
"'s withdrawal from ","s terugtrekking uit "
"Seek Food for Target","Voedsel zoeken voor doelwit"
"'s flight","s vlucht"
"is incredibly skinny and very small","is ongelooflijk mager en zeer small"
"Make sugar, flour, and various useful slurries here.  Tasks are completed very slowly compared to the powered millstone.","Maak hier suiker, meel en verschillende nuttige brijen. Taken worden zeer langzaam voltooid vergeleken met de aangedreven molensteen."
"Draining","Afwateren"
"is tiny overall and in particular incredibly skinny","is piepklein overall en in particular ongelooflijk mager"
"Assume an identity","Neem een identiteit aan"
"the mead hall","de medehal"
"children","kinderen"
"I have no regrets.","Ik heb geen spijt."
"deceased spouse","overleden echtgenoot"
"I was out in a blizzard.","Ik was buiten in een sneeuwstorm."
"Convict list","Lijst veroordeelden"
"Metal","Metaal"
"Claim Site","Locatie opeisen"
"Bar/Block ","Staaf/Blok "
" body level"," lichaamsniveau"
"discussing somebody's problems","iemands problemen bespreken"
"Affects ability to withstand pain and stress.","Be‹nvloedt het vermogen om pijn en stress te weerstaan."
"Cloth (Plant)","Doek (plant)"
"the Guildhall","de Gildehal"
"brag","pochen"
" collapses into a lump of gore!"," stort in tot een bloederige massa!"
"Stone","Steen"
"Demand period (more = fewer)","Eisperiode (meer = minder vaak)"
"Fearful","Angstig"
"Acknowledge lack of nervousness","Gebrek aan nervousness erkennen"
"chef","kok"
"a poor kinesthetic sense","een slecht kinesthetisch gevoel"
"edible produce market (0,255,0)","markt voor eetbare producten (0,255,0)"
"Delete this recenter location.","Deze hercentreerlocatie verwijderen."
"convulse and retch","stuiptrekken en kokhalzen"
"acute and chronic conditions","acute en chronische aandoeningen"
" attack on "," aanval op "
"is very large yet quite skinny as well","is zeer groot maar vrij mager as well"
" made an outright foolish plan"," maakte een ronduit dwaas plan"
" take"," nemen"
" of"," van"
"discussing an acquaintance's problems","problemen van een kennis bespreken"
"You have been such a good trade partner.","Je bent zo'n goede handelspartner geweest."
"Ammunition inaccessible","Munitie onbereikbaar"
"has a long, thin body with some fat on it","heeft een lang, smal lichaam met some dik"
" against"," tegen"
"Capture and train small animals here.  Requires animal traps.","Vang en train hier kleine dieren. Vereist dierenvallen."
"State feelings of great arousal","Sterke opwinding uiten"
"Constructions","Constructies"
"Coins","Munten"
"Anxious","Angstig"
"Custom world name","Aangepaste wereldnaam"
"Dig canceled (warm)","Graven geannuleerd (warm)"
"medicine:method:professional hospital staff","geneeskunde:methode:professioneel ziekenhuispersoneel"
"State that listener protected the defenseless from outlaws","Zeg dat de luisteraar de weerlozen tegen vogelvrijen beschermde"
"Religion","Religie"
"I feel hopeless.","Ik voel me hopeloos."
"Seek out ","Zoek op "
"rancid","ranzig"
" artfully deliver"," kunstzinnig brengen"
"engineering:fluid:theory of siphon","techniek:vloeistoffen:theorie van de sifon"
" Seed: "," Zaad: "
"quite long","vrij lang"
"This isn't the time for jubilation.","Dit is niet het moment voor gejubel."
"soldiers","soldaten"
" (cannot follow order)"," (kan bevel niet volgen)"
"duodecaplets","twaalflingen"
"You are too injured to hold the terrain.","Je bent te gewond om het terrein vast te houden."
"Cloth (metal)","Doek (metaal)"
"Cleaning stranded objects...","Gestrande objecten opruimen..."
"Patrol","Patrouille"
"autumn","herfst"
"State intention to flee conflict","Zeg dat je van het conflict wilt vluchten"
"bolt","bout"
"eighth eldest child","achtste oudste kind"
"rotten","rot"
"has many worshippers in","heeft veel aanbidders in"
"State feelings of astonishment","Verbijstering uiten"
" block "," blok "
"caught in snow","gevangen in sneeuw"
"Disdains independence","Minacht onafhankelijkheid"
"flimsy","iel"
"The color ","De kleur "
"Legendary enemy fighter","Legendarische vijandelijke strijder"
" fabric"," stof"
"The signs lead north.","De sporen leiden naar het noorden."
"Relations","Relaties"
"Profile ","Profiel "
"because it was destined","omdat het voorbestemd was"
"gleeful","verheugd"
"town","stad"
"Your workers will rarely make them on their own.","Je werkers zullen ze zelden uit zichzelf maken."
"Cold cases","Onopgeloste zaken"
" keyboard"," toetsenbord"
"made a great show of flattery","maakte een groot vertoon van vleierij"
"scribe","schrijver"
"burned","verbrand"
"the construction and use of the tumbler lock","de bouw en het gebruik van klavierslot"
"does not have a great aesthetic sensitivity","heeft geen grote esthetische gevoeligheid"
"Market","Markt"
"collapsed.","ingestort."
"Automatically butcher carcasses","Kadavers automatisch slachten"
"disappointment","teleurstelling"
" dancers"," dansers"
"Minimum Number of Low-Drainage Squares","Minimumaantal vakken met lage drainage"
"Acknowledge lack of arousal","Gebrek aan opwinding erkennen"
"State feelings of pride","Trots uiten"
" throne"," troon"
"Spirit","Geest"
"the method of bandaging wounds","de methode om wonden te verbinden"
"has a habit of clicking ","heeft de gewoonte om te klikken "
"Seek this place if you hunt ","Zoek deze plek op als je jaagt op "
"Finalizing languages...","Talen afronden..."
" which you cannot read"," die je niet kunt lezen"
"Set conditions for the minecart to move on to the next stop.","Stel voorwaarden in waaronder de mijnkar naar de volgende halte rijdt."
"Agreements","Overeenkomsten"
"a castle courtyard","een kasteelbinnenplaats"
"Not in contact","Niet in contact"
"energetic","energiek"
"State feelings of nostalgia","Nostalgia uiten"
"Choose a stockpile to which the track stop's vehicle will give items.","Kies een voorraad waaraan het voertuig van de spoorhalte voorwerpen zal geven."
"local ","lokaal "
"astronomy:summer winter moon","astronomie:zomer-wintermaan"
"Save and continue playing","Opslaan en doorspelen"
"thick ","dik "
"Hold","Vasthouden"
"Tropical Saltwater River","Tropisch Zoutwater Rivier"
"wooden ","houten "
"Seek Drink Item","Zoek drank Voorwerp"
"metals","metalen"
"a very good dining room","een zeer goede eetzaal"
"Population: ~50","Bevolking: ~50"
"a few days ago","een paar dagen geleden"
"casual ","gewoon "
"I had an intellectual discussion with my sibling.","Ik had een intellectueel gesprek met mijn broer of zus."
"wealth","rijkdom"
" thread"," draad"
"flee","vluchten"
"I am in complete accord with this!","Ik ben het hier volledig mee eens!"
"bolt thrower parts","ballista-onderdelen"
"chain ","ketting "
"Crutch-walking","Kruklopen"
"Minimum Number of Low-Savagery Squares","Minimumaantal vakken met lage wildheid"
"[C:4:0:1].Heavy bleeding","[C:4:0:1].Zwaar bloeding"
"Citizenship petitions: reject","Burgerschapverzoeken: afwijzen"
" foot armor"," voetpantser"
"Carve upward staircase","Trap omhoog uithakken"
"Change","Wijzigen"
"Create a tree to place in the arena.","Maak een boom om in de arena te plaatsen."
