"more presumptious","pli bravaæa"
"Come see me at the trade depot sometime.","Venu vidi min al la komerca stacidomo iam."
"Clumsy","Mallerta"
"didn't feel ","ne sentis "
"a previous insurrection","antaýa ribelo"
"blade","akra¼o de tranæilo"
", but at what price?",", sed je kiu prezo?"
" lust for murder"," avido por murdo"
" was given away."," estis fordonita."
"An army is invading!","Armeo invadas!"
" could be better."," povus esti pli bona."
"Track (SW)","Trako (Su-Ok)"
"Spinning","Þpinado"
"consonance","konsonanco"
"Mill","Mueli"
" spirited"," sprita"
"I'm feeling so ferocious!","Mi estas sentanta tian ferocecon!"
"Rain","Pluvo"
"geography:surveying:triangulation","geografio:termezurado:triangulado"
"the Scalpel","la Skalpelo"
"Hills","Montetaj"
"fate","sorto"
"died","mortis"
"Spearmaster","Majstro de Lancoj"
"I was attacked.","Mi estas atakita."
"Ocean","Oceanaj"
"Bags (Leather)","Sakoj (Ledaj)"
"The abduction of ","La abdukto de "
"very little linguistic ability","tre malmulton da lingva kapablo"
"potash","potaso"
"Accept","Jesi"
"believes that honesty is a high ideal","kredas, la honesto estas alta idealo"
"Cavern Layer Openness Min","Minimuma Malfermiteco de Kavernega Tavolo"
"astronomy","kosmoscienco"
"a tone pattern of ","tona skemo de "
"wove a masterful sewn image","teksis majstran kudrobildon"
"Last I remember, I had it.","Lastfoje mi memoras, mi havis øin."
"monument","monumento"
" is throwing objects around the fortress!"," dis¼etas objektojn en la fortreso!"
"Placing other beasts...","Lokante aliajn monstrojn..."
"me","mi"
"frozen lye powder","glaciiøita pulvoro de lesivo"
"huge ","grandega "
"Not that it's your business!  Harumph!","Øi ne estas via afero! Aæ!"
"Murder","Vola mortigo"
"I can't describe the contempt I feel...","Mi ne povas priskribi la malestimon sentanta de mi..."
"animals as surgical models","bestoj kiel ¶irurgiaj modeloj"
"suffering a minor injury","suferi malgravan vundon"
"doesn't often feel envious of others","ne ofte sentas envion pri aliaj"
" of the music.  "," de la muziko. "
"almost never feels discouraged","preskaý neniam sentas sin senkuraøa"
"Continue generating","Daýru generante"
"Make sure your parameters and presets can support high elevation areas.  ","Certiøu, æu viaj parametroj kaj antaýagordoj povas apogi areojn de altaj altitudoj. "
"some of my kind ","iuj el miaj specoj "
"Climbing","Grimpo"
"Hunters","Æasistoj"
"You have selected the smallest possible area.","Vi elektis la plej malgrandan eblan areon."
"engineering:optics:crystal lens","inøenierarto:optiko:kristalaj lensoj"
"Activity Zone #","Aktivecareo #"
" place"," placo"
"great intuition","bonegan intuicion"
"It isn't boring.","Øi ne estas enua."
"mathematics:geometry:pythagorean triples 4 digit","matematiko:geometrio:pitagoraj triopoj 4 ciferoj"
"Potash Making","Potasfarado"
"beekeeper","abelisto"
"the height of the tides, the moon and the sun","la alto de la tajdoj, la luno kaj la suno"
"not having enough chests","ne havi sufiæajn kestojn"
"People should be able to control themselves, but it's fine to follow impulses that aren't too harmful.","Homoj eblu regu sin mem, sed estas bone sekvi impulsojn ne tro malutila."
"braided","plektita"
"Worship","Kulti"
"Stone Carver","Þtontajlisto"
"Clerk","Komizo"
"epidemic disease","epidemia malsano"
"pump operator","operaciisto de pumpiloj"
"Listen to Poetry","Aýskulti Poezia¼on"
"Cavern dweller scale (increase per attack)","Skalo de kaverneg-loøantoj (pliiøo po atako)"
" plectrum"," plektro"
" from this capital as well"," el æi tiu æefurbo ankaý"
"Judge of Intent","Prijuøanto de Intencoj"
"I will have my revenge.","Mi havos mian venøon."
" respect of martial prowess"," respekto de milita lerteco"
"discourse on the nature of perception","diserta¼o pri la naturo de la percepto"
"bracelet","braceleto"
"Unpause","Malpaýzu"
"to the music's ","al la muzika "
" task"," farinda¼o"
"does not care about friendship","ne zorgas pri amikeco"
"in a time before time","en tempo antaý tempo"
" for instrument piece "," por peco de instrumento "
"gets off track from time to time","eliras el trako de tempo al tempo"
"Furniture ","Meblo "
".  These criminals have been allowed to thrive for too long.",". Æi tiuj krimuloj estas permesitaj prosperi tro longe."
" surrendered "," kapitulacis "
"Fish Cleaner","Purigisto de Fiþo"
"Numb","Sensenta"
"Thank you for preserving our legacy of wisdom.","Dankon por konservi nian legacon de saøo."
"Wait here until I return.","Atendu æi tie øis mi revenos."
"Grab Unfill Bucket","Preni Malplenan Sitelon"
"I feel much jubilation.","Mi sentas multan jubilecon."
" poetic "," poezia "
"Temperate Conifer Forest","Mezvarma Koniferarbaro"
"analogical inference","analogia konkludo"
"likes to brawl","þatas lukti"
", but you can't talk your way out of this.",", sed vi ne povas paroli vian vojon el æi tio."
"very slowly ","tre malrapide "
"performed in retrograde","interpretata kankrire"
"they ","ili "
" the joint lock of "," la artikolfiksado de "
"Allow artist to choose","Permesi al la artisto elekti"
"Critical Thinking","Kritika Pensado"
" dead"," mortinto"
" player"," ludisto"
"Grab Instrument","Preni Instrumenton"
"Diplomacy","Diplomatio"
"Thrilling.","Ekscitante."
"the naming of ","la nomado de "
"Maximum number of sites","Maksimuma nombro da situoj"
"Multigrasp","Plurmana"
"stacked cloth","staplita þtofo"
"relief","malpezigo"
"seventh eldest child","sepa plej aøa infano"
"How are you feeling right now?","Kiel vi sentas nun?"
"oceans","oceanoj"
" debauched"," diboæa"
"guards","gardistoj"
" and tumble"," kaj falas"
"Justification","Pravigo"
":pipe:pipes",":þalmo:þalmoj"
"Allow Necromancer Lieutenants","Permesu Nekromanciajn Leýtenantojn"
"Not enough medium altitudes after shift down","Ne sufiæe da mezaltaj altecoj post þanøi malsupren: "
"green glass","verda vitro"
"an incident involving a lost diplomat","incidento engaøante perditan diplomaton"
"Initial mountain square count fails by ","Komenca kalkulo de montaj æeloj malsukcesis je "
"eating without a proper dining room","manøi sen taýga manøoæambro"
"A howling spirit.  The ceaseless noise is making sleep difficult.","Hurlema spirito. La senæesa bruo malfaciligas la dormon."
"I love the reflective lyrics.","Mi amas la pripensantan kantotekston."
"has a tendency toward forming deep emotional bonds with others","havas emon al formado de profundaj emociaj ligoj kun aliaj"
"V Fast","T Rapida"
"Water Wheel","Akvorado"
"th","a"
"talking with somebody","interparoli kun iu"
" neck connecting to a "," kolo aligante al "
" until you've stopped the bleeding."," øis vi haltos la sangadon."
"feeling ambivalent","hezitantan"
", and ",", kaj "
"I am ashamed.","Mi estas hontanta."
"put on quality worn item","surmetis altkvalita eluzita¼o"
"Speaking","Parolante"
"the Voice","la Voæo"
"I feel no displeasure.","Mi ne sentas malplezuron."
"Evaporation","Vaporigo"
" calm"," trankvila"
"emptiness","malpleno"
"Fighting","Proksima Batalado"
"Disdains peace","Malestimas pacon"
"Stone Crafter","Þtonmetiisto"
"Stoicism","Stoikeco"
"punishment of victimizer delayed","puno de viktimiganto malfruita"
"hard ","malmola "
"several years ago","antaý pluraj jaroj"
"We should all be as one.  Why all the struggling?","Ni æiuj devu esti kiel unu. Kial æiom da lukto?"
"This makes me question it all.","Æi tio faris min dubi pri æion."
"Died peacefully","Mortis pace"
"Symbols","simboloj"
"Page selector down","Paø-rulumi elektilon malsupren"
"relaxed","malstreæita"
"buffalo","bubalo"
"I am very satisfied.","Mi estas tre satita."
"[DESCRIPTION:The musician uses the ","[DESCRIPTION:La muzikisto uzas la "
"notation","skribado"
"scholar","klerulo"
"mallet","maleo"
"chemistry:chemicals:sulfuric acid","¶emio:¶emia¼oj:sulfata acido"
"Use Creature Seed","Uzu Esta¼an Stokasto-semon"
" as a musical form"," kiel muzika formo"
"more private","pli rezervata"
"very little patience","tre malmultan paciencon"
"does not really value cunning and guile","ne vere valoras sagacon nek ruzecon"
"the beasts","la bestojn"
"the Hypotenuse","la Hipotenuzo"
"constantly ","konstante "
"grandfather","aviæo"
" is absolutely flawless."," estas tute perfekta."
"hangout","kunvenejo"
"It's frustrating.","Øi estas frustranta."
"Seek Target for Food","Seræi Celon por Manøa¼o"
"tenth eldest child","deka plej aøa infano"
"To change the camera's elevation, press ","Por þanøi la kameraan altecon, premu "
"the nature of time","la naturo de la tempo"
"Must the lyrics of the accompaniment be so off-putting?","Æu la kantoteksto de la akompana¼o devus esti tiel disturba?"
"the crossbow","la arbalesto"
"an awful setting","malbonega loko"
"a woven clothing shop","butiko de þtofaj vestoj"
"Music","Muziko"
"Entity ","Ento "
"Acknowledge lack of anxiety","Agnoski mankon de anksio"
"I will take revenge!","Mi venøos!"
"is made deeply uncomfortable by differences in culture or appearance","estas profunde malkomforta pro diferencoj en kulturo aý aspekto"
"I slept on ice.","Mi dormis sur glaco."
"stinking","fetorante"
"Move keyboard cursor left","Movi klavar-kursoron maldekstren"
"Acknowledge lack of enjoyment","Agnoski mankon de øuo"
"Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.","Traktu defiojn kiam ili aperos, kaj vi eble trovos, ke via setlejo kreskis por fariøi Montohejmo, la centro de via civilizacio."
"Acknowledge lack of righteous indignation","Agnoski mankon de justa indigno"
"Click the help button","Alklaku la helpbutonon"
"less vengeful","malpli venøema"
"Finalizing interactions...","Finante interagojn..."
"Several","Pluraj"
"greasy","grasa"
"splendid","pompa"
"martial","milita"
"Civilizations can attack","Civilizacioj eblu ataki"
"Breathing","Spirado"
"potter","ceramikisto"
"Everything's ","Æio estas "
"Image information","Informoj de bildo"
"we can both agree you are by far the most persuasive!","ni ambaý povas kongrui, ke vi estas senkompare la plej persvada!"
"the World","la Mondo"
"Seek Fish Catch Location","Seræi Loko por Fiþkaptadon"
"Alternatively, you can reduce the number of mountain caves required by the parameters.","Alikaze, vi povas redukti la nombron da montaj kavernoj postulotaj de la parametroj."
"The world generator is having trouble placing rivers.  ","La mondogenerilo havas problemon por loki riverojn. "
"You might want to adjust the parameters governing rainfall.  ","Vi eble volas aløustigi la parametrojn por difini precipita¼on. "
" is really dead."," estas vere mortinta."
"spring","printempo"
"Incurious","Malscivola"
"inclined to avoid excitement","inklina eviti eksciton"
"the color of stars","la koloro de steloj"
"Mace Lord","Majstro de Madzoj"
"the Trip Hammer","la Martelmaþino"
"Skills","Kapabloj"
"Siege Operator","Operaciisto de Sieøo"
"This magnificent hunt has saved us from a fearsome enemy!","Æi tiu belega æaso savis nin el timinda malamiko!"
"site","lokigi"
" Old"," maljuna"
"gem setter","geminkrustisto"
"molten clear glass","fandita klara vitro"
"Dist: ","Disdono: "
"Dining Room","Manøoæambro"
"Mason","Þtontranæisto"
"masters of beasts","estroj de bestoj"
", though ",", kvankam "
"Acknowledge lack of uneasiness","Agnoski mankon de malkomforto"
"raised arms","levitaj brakoj"
"Must be after ","Devas esti post "
"self-pity","memkompaton"
"State minor feeling of aggravation","Deklari malgrandan senton de agaco"
"axeman","hakilisto"
"Come with me and I'll bring you to safety.","Venu kun mi kaj mi alportos vin al sekureco."
"What am I even doing here?","Kion mi estas faranta æi tie?"
"of","de"
"Pause after loading","Paýzu post þargi"
"You mock me?!","Vi mokas min?!"
"Trap Baited:","Kaptilo Allogigita:"
"I have trouble controlling my temper.","Estas malfacila por mi regi mian humoron."
"Click ""Embark"" to place your fortress.  Right click to zoom out.","Alklaku ""Ekloøi"" por loki vian fortreson. Dekstre klaku por malzomi."
"First","Unua"
"You cannot ","Vi ne povas "
"Loading world information...","Þargante mondan informon..."
" earring"," orelringo"
"silk ","silko "
"[C:4:0:1]Starving","[C:4:0:1]Malsatega"
"Trapper","Kaptisto"
" (improper barracks)"," (maltaýga kazerno)"
"Individual Combat Drill","Individua Batala Simulado"
"crude","kruda"
"  This vile fiend "," Æi tiu malnobla malamiko "
"It is performed ","Estas interpretita "
"bison","bizono"
"Splendid","Pompa"
"does not have feelings of emotional attachment and has never felt even a moment's connection with another being","ne havas sentojn de emocia alligiteco kaj neniam sentis eæ momentan rilaton kun alia esta¼o"
"Make sure your parameters and presets allow as many mid-elevation squares as you are requiring low-lying caves.  ","Certiøu, æu viaj parametroj kaj antaýagordoj permesas tiom da mezalte altitudaj æeloj kiom viaj postulotaj subaj kavernoj. "
"I played with ","Mi ludis kun "
"Enable weather","Ebligu veteron"
"history:sourcing:role of cultural differences","historio:fonto:rolo de kulturaj diferencoj"
"with the lead advancing against the main line of motion","kun la kondukanto antaýenirante kontraý la æefa linio de movo"
"Tame/mountable","Malsovaøa/sidiøebla"
"Locks","Seruroj"
"Age of Emptiness","Malplen-epoko"
"great fortresses built and tested","bonegan fortresojn konstrui kaj provi"
"I feel remorse.","Mi sentas rimorson."
"Herbalism","Herbario"
"the ghost of my spouse","la fantomo de mia ejdzo"
"a legendary brawler","legenda luktisto"
"the new dream of","la nova revo de"
"mercenary","dungosoldato"
"is somewhat quarrelsome","estas ioma kverelemo"
"Wrestle using ","Lukti per "
"No Dining Room","Nenia Manøoæambro"
"mandate ignored","komision ignoritan"
" gaining of "," gajnante de "
"only rarely feels strong cravings or urges","nur malofte sentas fortajn avidojn aý instigojn"
"Overall, the composition is passable","Entute, la kompona¼o estas aprobebla"
"Covered","Kovrado"
"Agile","Facilmova"
"One ","Unu "
"I have attained a higher rank of nobility.","Mi akiris superan nobelan rangon."
"Powders","Pulvoroj"
"creeping thing","rampa a¼o"
"was born to","naskis al"
"I visited ","Mi vizitis "
"less violent","malpli perfortema"
"Engravings start obscured","Gravura¼oj komencu malklaraj"
"Rest","Ripozi"
"I was released from confinement.","Mi estis liberigita el æirkaýbarado."
