"more presumptious","ngÕo mÕn h½n"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings from the woodlands.  We have much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: L¶i chào t× vùng r×ng. Chúng ta có nhi«u ği«u c¥n thäo lu§n."
"Dodge projectile","Né v§t th¬ bay"
"metal ","kim loÕi "
"smear","vªt b¦n"
"pikemen","Các lính thß½ng"
"Workers gather outdoor vermin remains","Công nhân thu gom xác b÷ hÕi ngoài tr¶i"
"meat cleaving","chë th¸t"
"requesting weapon production","Yêu c¥u sän xu¤t vû khí"
"fish cleaner","Ngß¶i làm sÕch cá"
"a violent ghost","mµt h°n ma hung bÕo"
"the murder of ","vø giªt ngß¶i cüa "
"I have so many regrets...","Ta có quá nhi«u ği«u h¯i tiªc..."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: I don't know very much about the outside world.  I wish I had more to tell you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Tôi không biªt nhi«u v« thª gi¾i bên ngoài. ¿¾c gì tôi có nhi«u ği«u h½n ğ¬ k¬ cho bÕn."
"deep-voiced","gi÷ng tr¥m"
"bone carver shop (128,255,255)","cØa hàng thş kh¡c xß½ng (128,255,255)"
"sometimes acts with little determination and confidence","ğôi khi hành ğµng v¾i ít quyªt tâm và tñ tin"
"rumored treasure hunter","thş sån kho báu theo l¶i ğ°n"
"Seeking artifact","Ğang tìm kiªm c± v§t"
"kicked out of squad","B¸ trøc xu¤t khöi ğµi"
": No tissue thickness",": Không có ğµ dày mô"
"altruism","V¸ tha"
"'s thinking hard, ","ğang suy nghî r¤t nhi«u, "
" sound-chest of the instrument vibrates with the strings, producing sound.]"," hµp cµng hß·ng cüa nhÕc cø rung ğµng cùng v¾i các dây ğàn, tÕo ra âm thanh.]"
"Greetings.  Let's trade.","Chào m×ng. Hãy giao d¸ch."
"extremely wrinkled","cñc kÏ nhån nheo"
"Metals","Kim loÕi"
"A highly-organized military order is threatening our people.","Mµt quân ğoàn quân sñ có t± chÑc cao ğang ğe d÷a dân tµc chúng ta."
"Restarts if completed, checked daily","Kh·i ğµng lÕi nªu hoàn thành, ki¬m tra h¢ng ngày"
"has an overbearing personality","Có tính cách áp ğ£t"
" become friends over a shared love of athletics"," tr· thành bÕn bè nh¶ có chung ni«m ğam mê th¬ thao"
"A ferocious wild animal has been set on us by nature.","Mµt loài ğµng v§t hoang dã hung dæ ğã b¸ tñ nhiên ğ¦y ğªn ch¯ng lÕi chúng ta."
"an algorithm for computing the greatest common divisor of two numbers","thu§t toán ğ¬ tính ß¾c s¯ chung l¾n nh¤t cüa hai s¯"
"The well is operational.","Giªng ğang hoÕt ğµng."
"State feelings of great rejection","Cäm th¤y b¸ ru°ng bö sâu s¡c."
"Finish placing zones.","Hoàn t¤t vi®c ğ£t các khu vñc."
"Their strength has been broken.","SÑc mÕnh cüa chúng ğã b¸ phá vŞ."
"defeating somebody","Ğánh bÕi mµt ai ğó"
"The melody has ","Giai ği®u có "
" has drifted nearby!"," ğã trôi dÕt g¥n ğây!"
"""Do you feel the pull?  You sense the direction of my representative.  It is possible to travel quickly to reach them, or you may journey more deliberately.  It is your decision.""","Ngß½i có cäm th¤y lñc hút không? Ngß½i cäm nh§n ğßşc hß¾ng cüa ğÕi di®n ta. Có th¬ di chuy¬n nhanh ğ¬ ğªn ch² h÷, ho£c ngß½i có th¬ ği mµt cách c¦n tr÷ng h½n. Ğó là quyªt ğ¸nh cüa ngß½i."
"I am not mortified.","Ta không h« h± th©n."
"State feelings of great grim satisfaction","Bày tö cäm giác thöa mãn tåm t¯i tµt ğµ"
"It is too soon to forgive.","Còn quá s¾m ğ¬ tha thÑ."
" open."," m·."
"Available Items","V§t ph¦m có sÇn"
" to offer condolences"," ğ¬ bày tö l¶i chia bu°n"
"ceased to be a ","không còn là mµt "
"Hard work is great.  Finding a way to work half as hard is even better.","Công vi®c chåm chï thì tuy®t v¶i. Tìm ra cách ğ¬ làm vi®c chï b¢ng mµt nØa công sÑc thì còn tuy®t h½n."
"State feelings of disillusionment","Bày tö cäm xúc vŞ mµng"
"finds the ideas of independence and freedom somewhat foolish","Th¤y nhæng ı tß·ng v« ğµc l§p và tñ do h½i ng¾ ng¦n."
"nearly a day's travel","g¥n mµt ngày ğß¶ng"
"Cancel removal","Hüy loÕi bö"
"relative expelled","ngß¶i thân b¸ trøc xu¤t"
"I feel empty.","Tôi cäm th¤y tr¯ng r²ng."
"had a gated courtyard added to","ğã có mµt sân trong có c±ng ğßşc thêm vào"
"Historical figure growing up","Nhân v§t l¸ch sØ trß·ng thành"
" jealousy"," sñ ghen t¸"
"Alternatively, you can reduce the number of volcanos required by the parameters.","Ho£c, bÕn có th¬ giäm s¯ lßşng núi lØa ğßşc yêu c¥u b·i các tham s¯."
"Related to site","Liên quan ğªn ğ¸a ği¬m"
"played for sympathy","tìm kiªm sñ ğ°ng cäm"
"engraving ","chÕm kh¡c "
"that more might be murdered","ğ¬ nhi«u ngß¶i h½n có th¬ b¸ sát hÕi"
"advice","L¶i khuyên"
" originally devised by "," ban ğ¥u ğßşc nghî ra b·i "
" of the theme"," cüa chü ğ«"
"a very good sense of empathy","mµt khä nång ğ°ng cäm r¤t t¯t"
"Save to new timeline","Lßu vào dòng th¶i gian m¾i"
"shakes ","l¡c "
"a house","Mµt ngôi nhà"
" is an example of "," là mµt ví dø v« "
"Raise alarm","Báo ğµng"
"by the manager before they become","b·i ngß¶i quän lı trß¾c khi chúng tr· nên"
"No recent announcements.","Không có thông báo g¥n ğây."
"has an incredibly thin body with little fat","có thân hình vô cùng g¥y gò v¾i ít mŞ."
" gets annoyed"," cäm th¤y khó ch¸u"
"pulmonary circulation","Tu¥n hoàn ph±i."
"a turn-around ","mµt sñ xoay chuy¬n "
"This item is bait.","V§t ph¦m này là m°i."
"I guess it could be considered grimly satisfying.","Tôi ğoán ği«u ğó có th¬ ğßşc coi là thöa mãn mµt cách u ám."
"You must be convinced.","Ngß½i nh¤t ğ¸nh phäi b¸ thuyªt phøc."
" was sent to "," ğã ğßşc gØi ğªn "
"Something evil is emerging from this newly exposed pocket!","Mµt thÑ tà ác ğang tr²i d§y t× cái h¯c m¾i lµ ra này!"
"Make raw ","Chª tÕo nguyên li®u thô "
"I'm dejected.","Tôi chán nän."
"The creative impulse is so valuable.","SÑc sáng tÕo th§t ğáng quı."
"Cumulonimbus (rain)","Mây vû tích (mßa)"
"Seek Manage Office","Tìm ğªn Vån phòng Quän lı"
"in order to maintain balance in the universe","ğ¬ duy trì cân b¢ng trong vû trø"
"Your fortress has settled into the rhythm of day-to-day living, beyond your meticulous concern.","Pháo ğài cüa bÕn ğã ği vào nh¸p s¯ng thß¶ng ngày, vßşt ra ngoài sñ quan tâm tï mï cüa bÕn."
"is an absolute believer in the rule of law","là mµt ngß¶i tuy®t ğ¯i tin tß·ng vào pháp quy«n"
"no one can deny your genius!","không ai có th¬ phü nh§n thiên tài cüa ngß½i!"
"the sacrilegious","kë báng b±"
"squad","Ğµi hình"
"the Settlement","Khu ğ¸nh cß"
"Toys","Ğ° ch½i"
"seeing a stranger sneaking around","Th¤y mµt kë lÕ m£t lén lút quanh ğây"
"[C:6:0:1]Fertilizer[C:7:0:0] is not needed to farm.","Không c¥n [C:6:0:1]Fertilizer[C:7:0:0] ğ¬ tr°ng tr÷t."
"Given name","Tên g÷i"
"Uninvited Guest","Khách không m¶i"
"apathetic","th¶ ½"
"Place Holders","Dæ li®u giæ ch²"
"Werebeast Attack Exported Wealth Rating","Xªp hÕng cüa cäi xu¤t kh¦u b¸ Ngß¶i thú t¤n công"
"a really bad memory","mµt trí nh¾ thñc sñ t®"
"Philosopher","Triªt gia"
"The overall text emphasizes ","Toàn bµ vån bän nh¤n mÕnh "
"Guard tax collector","Hµ t¯ng ngß¶i thu thuª"
"You know of no appropriate stones.","BÕn không biªt v« b¤t kÏ loÕi ğá phù hşp nào."
"enraptured","Mê ğ¡m"
"is very stubborn","r¤t cÑng ğ¥u"
"jamming the","k©t vào"
" The "," Kë "
"enthusiasm","nhi®t tình"
"Quickly shoot ","B¡n nhanh "
"Remove this stop.","GŞ bö ği¬m d×ng này."
"rings","vòng"
"silently ","l£ng l¨ "
"admire arranged building","Chiêm ngßŞng công trình ğßşc s¡p ğ£t"
"doesn't feel ","không cäm th¤y "
"Shape","Hình dÕng"
"Just facts - Flights of fancy","Thñc tª - M½ mµng"
"I won't go down without a fight!","Tôi s¨ không gøc ngã mà không ch¯ng cñ!"
"by preserving part of body","b¢ng cách bäo quän mµt ph¥n thi th¬"
"You will wait, staying awake for ","BÕn s¨ ch¶, giæ mình tïnh táo trong "
"Wrestling","Ğ¤u V§t"
"Fertilize field","Bón phân cho ruµng"
"lamination","ép l¾p"
"Your efforts are legend there.  Let us trade!","N² lñc cüa ngß½i ğã thành huy«n thoÕi · ğó. Hãy giao thß½ng nào!"
"I wish to become a ","Ta mong mu¯n tr· thành mµt "
"renderable ","có th¬ tinh chª "
"the Tavern","Quán rßşu"
"No automatic web collection","Không tñ ğµng thu th§p mÕng nh®n"
"Too sad","Quá bu°n bã."
"Locations can be created from zones.","Các ğ¸a ği¬m có th¬ ğßşc tÕo t× các khu vñc."
"this keep","tòa tháp chính này"
"psycho","kë tâm th¥n"
"philosophy:logic:formal reasoning","triªt h÷c:logic:l§p lu§n hình thÑc"
"Cage ","Nh¯t vào l°ng "
"the Nerves","Các Dây Th¥n Kinh"
"is corpulent","Béo phì."
"with a touch of","phäng ph¤t"
"Quests and reputation","Nhi®m vø và danh tiªng"
"You can't take me alive!","Ngß½i không th¬ b¡t s¯ng ta!"
" met with "," ğã g£p gŞ "
"talks very quickly when ","nói r¤t nhanh khi "
"more altruistic","v¸ tha h½n"
"is adorned with hanging rings of ","ğßşc tô ği¬m b¢ng các vòng treo "
"I drank slime.","Tôi ğã u¯ng ch¤t nh¥y."
"It is good to be outdoors.","Th§t t¯t khi ğßşc · ngoài tr¶i."
"This type is allowed to be cooked.","LoÕi này ğßşc phép n¤u ån."
"mug","chén"
"Light and Color","Ánh sáng và Màu s¡c"
"Combat with any creature will put you in immediate peril.  Wounds can be serious and long-lasting, and most enemies ","Chiªn ğ¤u v¾i b¤t kÏ sinh v§t nào cûng s¨ ğ£t bÕn vào nguy hi¬m tÑc thì. Vªt thß½ng có th¬ nghiêm tr÷ng và kéo dài, và h¥u hªt kë thù "
"Acknowledge lack of gloom","Th×a nh§n không có sñ äm ğÕm"
"I shared a personal insight with my sibling.","Tôi ğã chia së mµt cái nhìn sâu s¡c cá nhân v¾i ngß¶i anh ch¸ em cüa tôi."
"Artistically inclined","Có khuynh hß¾ng ngh® thu§t"
"has a tall, thin frame with very little fat on it","s· hæu vóc dáng cao, g¥y, v¾i r¤t ít mŞ."
"Choose origin civilization","Ch÷n n«n vån minh kh·i ngu°n"
"metal furniture shop sign","bi¬n hi®u ti®m nµi th¤t kim loÕi"
"Recovering after shooting","H°i sÑc sau khi b¡n"
" Track (NSE)"," Ğß¶ng ray (B¡c-Nam-Ğông)"
"Smoothing rough floors and walls","Làm nhÇn sàn và tß¶ng thô"
"Owner: ","Chü s· hæu: "
"the Castle","Lâu ğài"
"stop holes","b¸t các l²"
"just","ngay"
"Diplomat / ","Nhà ngoÕi giao / "
"ate vermin while starving","ğã ån v§t gây hÕi khi ğang ğói"
" concerning"," liên quan ğªn"
"the dungeon","h¥m ngøc"
"Job","Công vi®c"
"State feelings of bliss","Cäm th¤y hÕnh phúc viên mãn."
"Saving armies...","Ğang lßu các quân ğµi..."
" timbre.  "," âm s¡c. "
"View the positions in this squad.","Xem các v¸ trí trong ğµi hình này."
"hanging","treo"
"Strike somebody adjacent with a melee attack.  Also allows available parry, block, and dodge moves.","Ğánh mµt ngß¶i · cÕnh bên b¢ng ğòn t¤n công c§n chiªn. Cûng cho phép các ğµng tác ğŞ ğòn, ch£n ğòn và né tránh khä døng."
"thin","möng"
"to bring peace to the world","mang hòa bình ğªn thª gi¾i"
"Encyclopedia","Bách khoa toàn thß"
"alkali and acids","ki«m và axit"
"created a masterful illustration","tÕo ra mµt minh h÷a b§c th¥y"
"a corpse","mµt cái xác"
"tooth","rång"
"Loading object files...","Ğang täi t§p tin ğ¯i tßşng..."
"has a sense of duty","có ı thÑc v« nghîa vø"
"Weapon twist","Vû khí xo¡n ch£t"
"Minerals and Maps","Khoáng V§t và Bän Ğ°"
"Nearly a day's travel","G¥n mµt ngày ğß¶ng"
"State feelings of enjoyment","Bày tö cäm xúc thích thú"
"boundaries","ranh gi¾i"
"The Fool","Kë Ng¯c"
"Flat/rough areas not evenly distributed: ","Khu vñc b¢ng phÆng/g° gh« không ğßşc phân b¯ ğ«u: "
"Metal Crafter","Thş kim loÕi"
" family heirloom"," di v§t gia truy«n"
" include a "," bao g°m mµt "
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","Mµt vån phòng ho£c phòng nghiên cÑu ğßşc yêu c¥u cho mµt s¯ nhi®m vø chính thÑc nh¤t ğ¸nh, nhß phê duy®t l®nh công vi®c và kª toán. Mµt chiªc ghª ho£c ngai vàng ğßşc yêu c¥u cho các chÑc nång này."
"Have no fear.","Ğ×ng sş hãi."
"reunited","ğoàn tø"
"official meeting without room","Cuµc h÷p chính thÑc không có phòng"
"I cannot just stand by.","Tôi không th¬ chï ğÑng nhìn."
"Citizen birth","Cß dân chào ğ¶i"
"I don't work here.","Ta không làm vi®c · ğây."
"Leather Works","Xß·ng Da"
"Final ocean region count fails by ","S¯ lßşng vùng bi¬n cu¯i cùng chênh l®ch "
"Values romance","Trân tr÷ng tình yêu"
"after being unable to practice a martial art","Sau khi không th¬ luy®n t§p võ thu§t"
"Armorsmith's shop","CØa Hàng Thş Rèn Giáp"
"to","ğªn"
"There aren't enough dining tables.","Không có ğü bàn ån."
"Accuses: ","Buµc tµi: "
"Stone Engraving","Kh¡c Ğá"
"Tactics","Chiªn Thu§t"
" to remove "," ğ¬ gŞ bö "
"Let there be peace throughout the world.","Hãy ğ¬ hòa bình ngñ tr¸ kh¡p thª gi¾i."
"News and rumors","Tin tÑc và tin ğ°n"
"Bone Carving Workshop","Xß·ng ChÕm kh¡c Xß½ng"
"bash","ğ§p"
"grieves","ğau bu°n"
"leadership overthrown","lãnh ğÕo b¸ l§t ğ±"
"Animal Courtship","Hành Vi Tán Tïnh · Ğµng V§t"
"You won't perform your action if you leave.","BÕn s¨ không thñc hi®n hành ğµng nªu r¶i ği."
"ballista parts","bµ ph§n máy b¡n ğÕn l¾n"
"have attained a general familiarity with ","ğã ğÕt ğßşc sñ quen thuµc chung v« "
"I want to see a great beast.","Tôi mu¯n nhìn th¤y mµt quái thú kh±ng l°."
"Zoom Out","Thu nhö"
" and "," và "
"My father shared a personal insight with me.","Cha cüa tôi ğã chia së mµt cái nhìn sâu s¡c cá nhân v¾i tôi."
"deftly ","Khéo léo "
"is thin and weak","g¥y và yªu ¾t."
"Log world generation map rejects","Ghi nh§t kı các bän ğ° b¸ t× ch¯i khi tÕo thª gi¾i"
"Mud is left by water","Bùn ğßşc tÕo ra b·i nß¾c"
" vapor"," h½i"
"the loss of a hist fig entry","sñ m¤t ği mµt møc nhân v§t l¸ch sØ"
"Traction Bench","Bång Ghª Kéo Giãn"
"the Denial","Sñ Phü Nh§n"
"Overall, the poetry is not awful, but not very good either","Nhìn chung, ph¥n th½ ca không t®, nhßng cûng không hay l¡m"
"a procession","mµt cuµc di­u hành"
"This creature is a monster slayer.","Sinh v§t này là mµt thş di®t quái."
" has gone berserk!"," ğã phát ğiên!"
"by pushing together","b¢ng cách ğ¦y sát vào nhau"
"Acknowledge lack of remorse","Xác nh§n sñ thiªu v¡ng ån nån"
"Gambling","C¶ BÕc"
"Overall, the prose is splendid","Nhìn chung, ph¥n vån xuôi tuy®t di®u"
"There are two sides to every story.","M²i câu chuy®n ğ«u có hai m£t."
"And remember: [C:2:0:1]Losing is fun, and now it's personal![C:7:0:0]","Và hãy nh¾: [C:2:0:1]Thua cuµc là ni«m vui, và gi¶ ğây nó là chuy®n cá nhân![C:7:0:0]"
"I ate a meal.","Tôi ğã ån mµt bæa."
"Guest arrives","Khách ğã ğªn"
"waterfall mist","H½i nß¾c thác"
"the use of models and templates in engineering","vi®c sØ døng mô hình và khuôn mçu trong kÛ thu§t"
"Loading art forms...","Ğang täi loÕi hình ngh® thu§t..."
"Be generous today.","Hôm nay, hãy rµng lßşng."
"Weaponsmithing","Rèn vû khí"
"citizenship petition accepted","ğ½n xin nh§p t¸ch ğßşc ch¤p thu§n"
"Prefix","Ti«n t¯"
"the Straight-Beam Balance","Chiªc cân ğòn ngang"
"Metalsmith","Thş kim loÕi"
"the Numbers","Các con s¯"
"Skill 9","KÛ nång 9"
"eating without chair","Ån không có ghª"
"Rope/chain","Dây th×ng/xích"
"Alcohol, good food, and personal rooms go a long way. ","Rßşu, thÑc ån ngon và phòng riêng s¨ mang lÕi nhi«u lşi ích. "
"Untitled","Không có tiêu ğ«"
"the Uprising","Cuµc N±i D§y"
"You must compose a piece first (or learn an improvisational form).","BÕn phäi sáng tác mµt tác ph¦m trß¾c (ho£c h÷c mµt th¬ loÕi ngçu hÑng)."
"Enemies:","Kë thù:"
"Ordinary","Ngß¶i thß¶ng"
"The sky above you is a uniform and dark gray.","B¥u tr¶i phía trên bÕn mµt màu xám ğ°ng nh¤t và t¯i s¥m."
"   --> Inclined to create art"," --> Có xu hß¾ng sáng tÕo ngh® thu§t"
"State feelings of great nostalgia","Cäm th¤y hoài ni®m sâu s¡c."
" equipment by "," trang b¸ b·i "
"Complaints","Nhæng l¶i phàn nàn"
"Cause trouble for","Gây r¡c r¯i cho"
"Thread (Desired): ","Chï (Mong mu¯n): "
"Megabeast attack period (seasons)","Chu kÏ t¤n công cüa siêu thú (mùa)"
"[C:6:0:1]Meat[C:7:0:0] from [C:2:0:0]Livestock[C:7:0:0] you slaughter is a source of food. ","[C:6:0:1]Th¸t[C:7:0:0] t× [C:2:0:0]Gia súc[C:7:0:0] bÕn m± là mµt ngu°n thñc ph¦m. "
"This option allows long-term residents of the fortress to enter this location.","Tùy ch÷n này cho phép cß dân dài hÕn cüa pháo ğài vào ğ¸a ği¬m này."
